Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (A)
0.0,-1.63500000E-06,-1.635e-05
0.460000038147,-1.73400000E-06,-1.734e-05
0.902000188828,-1.62300000E-06,-1.623e-05
1.34500002861,-1.73400000E-06,-1.734e-05
1.78700017929,-1.56100000E-06,-1.561e-05
2.22900009155,-1.74700000E-06,-1.747e-05
2.67100000381,-1.66000000E-06,-1.66e-05
3.11400008202,-1.64800000E-06,-1.648e-05
3.55599999428,-1.57300000E-06,-1.573e-05
3.99800014496,-1.40000000E-06,-1.4e-05
4.44000005722,-1.59800000E-06,-1.598e-05
4.88300013542,-1.62300000E-06,-1.623e-05
5.3259999752,-1.66000000E-06,-1.66e-05
5.76700019836,-1.54900000E-06,-1.549e-05
6.21000003815,-1.72200000E-06,-1.722e-05
6.65200018883,-1.37500000E-06,-1.375e-05
7.09400010109,-1.42500000E-06,-1.425e-05
7.53600001335,-1.62300000E-06,-1.623e-05
7.97900009155,-1.52400000E-06,-1.524e-05
8.42100000381,-1.82100000E-06,-1.821e-05
8.8630001545,-1.64800000E-06,-1.648e-05
9.30500006676,-1.71000000E-06,-1.71e-05
9.74800014496,-1.52400000E-06,-1.524e-05
10.1900000572,-1.47400000E-06,-1.474e-05
10.6320002079,-1.47400000E-06,-1.474e-05
11.0750000477,-1.85800000E-06,-1.858e-05
11.5170001984,-2.01900000E-06,-2.019e-05
11.9590001106,-1.88300000E-06,-1.883e-05
12.4010000229,-1.64800000E-06,-1.648e-05
12.8430001736,-1.79600000E-06,-1.796e-05
