Time (s) 	 Counter 	 SQUID voltage (V) 	 SQUID Loop Voltage (V) 	 Calculated Squid Current (uA) 	 Temp Probe Voltage (V) 					 Calculated Squid Current (uA) 	 SQUID voltage (V) 
0	0	0.000168264	-0.003006427	-29.61997044	0.000088432					-29.61997044	0.000168264
2.351999998	1	0.000168278	-0.003006689	-29.62255172	0.000088042					-29.62255172	0.000168278
4.41899991	2	0.000168275	-0.003005982	-29.61558621	0.000088328					-29.61558621	0.000168275
6.486000061	3	0.000168273	-0.003006506	-29.62074877	0.000088224					-29.62074877	0.000168273
8.553999901	4	0.000168263	-0.003006427	-29.61997044	0.000088224					-29.61997044	0.000168263
10.62100005	5	0.00016826	-0.003006479	-29.62048276	0.000088094					-29.62048276	0.00016826
12.68799996	6	0.000168269	-0.003006427	-29.61997044	0.000088458					-29.61997044	0.000168269
14.75600004	7	0.000168265	-0.00300627	-29.61842365	0.000088211					-29.61842365	0.000168265
16.82299995	8	0.00016828	-0.003006401	-29.61971429	0.00008864					-29.61971429	0.00016828
18.89100003	9	0.000168285	-0.003006113	-29.61687685	0.000088185					-29.61687685	0.000168285
20.95799994	10	0.000168273	-0.003006322	-29.61893596	0.000088211					-29.61893596	0.000168273
23.02499986	11	0.00016829	-0.003006715	-29.62280788	0.000088133					-29.62280788	0.00016829
25.09299994	12	0.000168283	-0.003006479	-29.62048276	0.000088146					-29.62048276	0.000168283
27.16000009	13	0.000168286	-0.003006453	-29.6202266	0.000087938					-29.6202266	0.000168286
29.227	14	0.000168283	-0.00300627	-29.61842365	0.000088146					-29.61842365	0.000168283
31.296	15	0.000168288	-0.003006165	-29.61738916	0.000088354					-29.61738916	0.000168288
33.36299992	16	0.000168276	-0.003006584	-29.62151724	0.000088276					-29.62151724	0.000168276
35.43000007	17	0.000168272	-0.003006349	-29.61920197	0.000088315					-29.61920197	0.000168272
37.49699998	18	0.000168281	-0.003006388	-29.61958621	0.000088159					-29.61958621	0.000168281
39.56399989	19	0.000168269	-0.003006139	-29.617133	0.000088367					-29.617133	0.000168269
41.63100004	20	0.00016828	-0.003006349	-29.61920197	0.000088341					-29.61920197	0.00016828
43.69799995	21	0.000168288	-0.003006375	-29.61945813	0.000088224					-29.61945813	0.000168288
45.76499987	22	0.00016828	-0.003006506	-29.62074877	0.00008825					-29.62074877	0.00016828
47.83299994	23	0.000168289	-0.00300661	-29.6217734	0.000088341					-29.6217734	0.000168289
49.90100002	24	0.000168283	-0.003006414	-29.61984236	0.000088211					-29.61984236	0.000168283
51.96799994	25	0.000168291	-0.003006113	-29.61687685	0.000088198					-29.61687685	0.000168291
54.03600001	26	0.000168281	-0.00300627	-29.61842365	0.000088432					-29.61842365	0.000168281
56.10299993	27	0.000168297	-0.003006584	-29.62151724	0.000088445					-29.62151724	0.000168297
58.17000008	28	0.000168285	-0.003006322	-29.61893596	0.000088159					-29.61893596	0.000168285
60.23799992	29	0.000168289	-0.003006637	-29.62203941	0.000088094					-29.62203941	0.000168289
62.30500007	30	0.000168293	-0.003006375	-29.61945813	0.000088042					-29.61945813	0.000168293
64.37199998	31	0.000168293	-0.003006244	-29.61816749	0.000088146					-29.61816749	0.000168293
66.44099998	32	0.000168291	-0.003006637	-29.62203941	0.00008838					-29.62203941	0.000168291
68.5079999	33	0.00016831	-0.003006453	-29.6202266	0.000088328					-29.6202266	0.00016831
70.57500005	34	0.00016831	-0.003006532	-29.62100493	0.000088224					-29.62100493	0.00016831
72.64299989	35	0.000168307	-0.003006663	-29.62229557	0.00008825					-29.62229557	0.000168307
74.71000004	36	0.000168311	-0.003006414	-29.61984236	0.000088341					-29.61984236	0.000168311
76.77699995	37	0.000168297	-0.003006283	-29.61855172	0.000088302					-29.61855172	0.000168297
78.84500003	38	0.000168316	-0.003006558	-29.62126108	0.000088094					-29.62126108	0.000168316
80.91199994	39	0.000168307	-0.00300644	-29.62009852	0.000088042					-29.62009852	0.000168307
