Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
0.0,+8.41496000E-05,-1.50206800E-03,-14.7986995074,+8.77040000E-05
2.16199994087,+8.41342400E-05,-1.50201600E-03,-14.7981871921,+8.79770000E-05
4.32199978828,+8.41419900E-05,-1.50209400E-03,-14.798955665,+8.77430000E-05
6.48299980164,+8.41398500E-05,-1.50206800E-03,-14.7986995074,+8.78990000E-05
8.64399981499,+8.41345100E-05,-1.50225200E-03,-14.8005123153,+8.79510000E-05
10.8039999008,+8.41403800E-05,-1.50214700E-03,-14.7994778325,+8.77430000E-05
12.9649999142,+8.41574800E-05,-1.50175400E-03,-14.7956059113,+8.77950000E-05
15.125,+8.41494700E-05,-1.50204200E-03,-14.7984433498,+8.79380000E-05
17.2860000134,+8.41576100E-05,-1.50167600E-03,-14.7948374384,+8.78470000E-05
19.4459998608,+8.41683000E-05,-1.50209400E-03,-14.798955665,+8.79380000E-05
21.6069998741,+8.41632200E-05,-1.50209400E-03,-14.798955665,+8.77950000E-05
23.7679998875,+8.41601500E-05,-1.50151900E-03,-14.7932906404,+8.78210000E-05
25.9289999008,+8.41711000E-05,-1.50185900E-03,-14.7966403941,+8.77950000E-05
28.0889999866,+8.41529400E-05,-1.50172800E-03,-14.7953497537,+8.77950000E-05
30.25,+8.41542700E-05,-1.50196400E-03,-14.7976748768,+8.76520000E-05
32.4099998474,+8.41588200E-05,-1.50201600E-03,-14.7981871921,+8.77430000E-05
34.5699999332,+8.41561400E-05,-1.50149200E-03,-14.7930246305,+8.76780000E-05
36.7299997807,+8.41386500E-05,-1.50204200E-03,-14.7984433498,+8.74310000E-05
38.8919999599,+8.41430500E-05,-1.50180600E-03,-14.7961182266,+8.75350000E-05
41.0519998074,+8.41445200E-05,-1.50199000E-03,-14.7979310345,+8.78470000E-05
43.2129998207,+8.41525400E-05,-1.50196400E-03,-14.7976748768,+8.78730000E-05
45.3729999065,+8.41421200E-05,-1.50154500E-03,-14.793546798,+8.76260000E-05
47.5339999199,+8.41601500E-05,-1.50183300E-03,-14.7963842365,+8.78470000E-05
49.6949999332,+8.41442600E-05,-1.50196400E-03,-14.7976748768,+8.74050000E-05
51.8549997807,+8.41486600E-05,-1.50191100E-03,-14.7971527094,+8.76910000E-05
54.015999794,+8.41492000E-05,-1.50209400E-03,-14.798955665,+8.77950000E-05
56.1759998798,+8.41481300E-05,-1.50206800E-03,-14.7986995074,+8.77170000E-05
58.3359999657,+8.41525400E-05,-1.50162300E-03,-14.7943152709,+8.82110000E-05
60.4979999065,+8.41572100E-05,-1.50183300E-03,-14.7963842365,+8.77430000E-05
62.6589999199,+8.41709700E-05,-1.50209400E-03,-14.798955665,+8.77040000E-05
64.8190000057,+8.41590800E-05,-1.50193700E-03,-14.797408867,+8.76520000E-05
66.9789998531,+8.41558800E-05,-1.50188500E-03,-14.7968965517,+8.78990000E-05
69.1399998665,+8.41558800E-05,-1.50199000E-03,-14.7979310345,+8.76780000E-05
71.3009998798,+8.41612200E-05,-1.50204200E-03,-14.7984433498,+8.78470000E-05
73.4609999657,+8.41625600E-05,-1.50222500E-03,-14.8002463054,+8.80940000E-05
75.621999979,+8.41628200E-05,-1.50199000E-03,-14.7979310345,+8.76910000E-05
77.7829999924,+8.41612200E-05,-1.50227800E-03,-14.8007684729,+8.80810000E-05
79.9429998398,+8.41693700E-05,-1.50201600E-03,-14.7981871921,+8.78600000E-05
82.1039998531,+8.41740400E-05,-1.50188500E-03,-14.7968965517,+8.75610000E-05
84.2649998665,+8.41679000E-05,-1.50185900E-03,-14.7966403941,+8.78730000E-05
86.4259998798,+8.41633600E-05,-1.50167600E-03,-14.7948374384,+8.79640000E-05
88.5859999657,+8.41721700E-05,-1.50191100E-03,-14.7971527094,+8.74310000E-05
90.7459998131,+8.41688300E-05,-1.50193700E-03,-14.797408867,+8.79250000E-05
92.9069998264,+8.41671000E-05,-1.50230400E-03,-14.8010246305,+8.79510000E-05
95.0679998398,+8.41703000E-05,-1.50212100E-03,-14.7992216749,+8.77430000E-05
97.2289998531,+8.41699000E-05,-1.50183300E-03,-14.7963842365,+8.77820000E-05
99.3899998665,+8.41671000E-05,-1.50162300E-03,-14.7943152709,+8.76650000E-05
101.549999952,+8.41546800E-05,-1.50170200E-03,-14.7950935961,+8.78990000E-05
103.710999966,+8.41717700E-05,-1.50128300E-03,-14.7909655172,+8.80810000E-05
105.870999813,+8.41616200E-05,-1.50178000E-03,-14.795862069,+8.78470000E-05
