Time (s) , Counter , SQUID voltage (V) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +2.22797130E-04 , -3.97998600E-03 , -39.2116847291 , +8.83540000E-05
2.06999993324 , 1 , +2.22804350E-04 , -3.98392600E-03 , -39.2505024631 , +8.80420000E-05
4.13700008392 , 2 , +2.21842280E-04 , -3.96835000E-03 , -39.097044335 , +8.83020000E-05
6.20600008965 , 3 , +2.72736840E-04 , -5.12329800E-03 , -50.4758423645 , +8.81980000E-05
8.27300000191 , 4 , +3.35942680E-04 , -6.01054900E-03 , -59.2172315271 , +8.86920000E-05
10.3410000801 , 5 , +3.31102390E-04 , -5.84783900E-03 , -57.6141773399 , +8.81460000E-05
12.4079999924 , 6 , +3.20418350E-04 , -5.73327100E-03 , -56.4854285714 , +8.82110000E-05
14.4749999046 , 7 , +3.20739170E-04 , -5.64332400E-03 , -55.5992512315 , +8.83020000E-05
16.5429999828 , 8 , +2.95535120E-04 , -5.07924100E-03 , -50.0417832512 , +8.83280000E-05
18.6099998951 , 9 , +2.84931360E-04 , -5.09150500E-03 , -50.1626108374 , +8.83540000E-05
20.6770000458 , 10 , +2.84933100E-04 , -5.09127000E-03 , -50.1602955665 , +8.82500000E-05
22.7449998856 , 11 , +2.84921070E-04 , -5.09147900E-03 , -50.1623546798 , +8.80160000E-05
24.8129999638 , 12 , +2.84926280E-04 , -5.09145300E-03 , -50.1620985222 , +8.83020000E-05
26.879999876 , 13 , +2.84928550E-04 , -5.09133500E-03 , -50.1609359606 , +8.86530000E-05
28.9479999542 , 14 , +2.84929220E-04 , -5.09134800E-03 , -50.1610640394 , +8.80810000E-05
31.0150001049 , 15 , +2.84922810E-04 , -5.09164900E-03 , -50.1640295567 , +8.82500000E-05
33.0820000172 , 16 , +2.84934560E-04 , -5.09170100E-03 , -50.1645418719 , +8.82370000E-05
35.1500000954 , 17 , +2.84923080E-04 , -5.09149200E-03 , -50.1624827586 , +8.81200000E-05
37.2170000076 , 18 , +2.84927220E-04 , -5.09133500E-03 , -50.1609359606 , +8.79380000E-05
39.2839999199 , 19 , +2.84938700E-04 , -5.09144000E-03 , -50.1619704433 , +8.82500000E-05
41.3529999256 , 20 , +2.84923610E-04 , -5.09175400E-03 , -50.1650640394 , +8.82240000E-05
43.4200000763 , 21 , +2.84941910E-04 , -5.09134800E-03 , -50.1610640394 , +8.84320000E-05
45.4869999886 , 22 , +2.84935230E-04 , -5.09123000E-03 , -50.1599014778 , +8.83800000E-05
47.5550000668 , 23 , +2.84931090E-04 , -5.09170100E-03 , -50.1645418719 , +8.82110000E-05
49.6229999065 , 24 , +2.84919340E-04 , -5.09107300E-03 , -50.1583546798 , +8.85620000E-05
51.6900000572 , 25 , +2.84933760E-04 , -5.09119100E-03 , -50.1595172414 , +8.83800000E-05
