Time (s) , Counter , SQUID voltage (V) , Mod Coil Voltage (V) , Calculated Mod Coil Current (uA) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +1.69017290E-04 , -3.03652600E-03 , -29.9165123153 , -3.02424100E-03 , -29.7954778325 , +8.75610000E-05
2.507999897 , 1 , +1.69002860E-04 , -3.03676100E-03 , -29.9188275862 , -3.02400600E-03 , -29.7931625616 , +8.76520000E-05
5.01399993896 , 2 , +1.69022630E-04 , -3.03645200E-03 , -29.9157832512 , -3.02407100E-03 , -29.7938029557 , +8.80420000E-05
7.51900005341 , 3 , +1.69007000E-04 , -3.03647700E-03 , -29.9160295567 , -3.02464700E-03 , -29.7994778325 , +8.76390000E-05
10.0250000954 , 4 , +1.69025830E-04 , -3.03653800E-03 , -29.9166305419 , -3.02464700E-03 , -29.7994778325 , +8.76260000E-05
12.5299999714 , 5 , +1.69031310E-04 , -3.03637700E-03 , -29.915044335 , -3.02438500E-03 , -29.7968965517 , +8.74570000E-05
15.0360000134 , 6 , +1.69017150E-04 , -3.03632800E-03 , -29.9145615764 , -3.02462100E-03 , -29.7992216749 , +8.76650000E-05
17.5429999828 , 7 , +1.69010470E-04 , -3.03637700E-03 , -29.915044335 , -3.02451600E-03 , -29.7981871921 , +8.75740000E-05
20.0499999523 , 8 , +1.68995780E-04 , -3.03613000E-03 , -29.9126108374 , -3.02456800E-03 , -29.7986995074 , +8.75610000E-05
22.5559999943 , 9 , +1.68986430E-04 , -3.03634000E-03 , -29.914679803 , -3.02434600E-03 , -29.7965123153 , +8.73530000E-05
25.0610001087 , 10 , +1.68988300E-04 , -3.03636500E-03 , -29.9149261084 , -3.02437200E-03 , -29.7967684729 , +8.77950000E-05
27.5669999123 , 11 , +1.68970940E-04 , -3.03632800E-03 , -29.9145615764 , -3.02405800E-03 , -29.7936748768 , +8.76390000E-05
30.0720000267 , 12 , +1.68984430E-04 , -3.03648900E-03 , -29.9161477833 , -3.02386200E-03 , -29.7917438424 , +8.74830000E-05
32.5789999962 , 13 , +1.68981360E-04 , -3.03610500E-03 , -29.912364532 , -3.02404500E-03 , -29.793546798 , +8.75480000E-05
35.0859999657 , 14 , +1.68982290E-04 , -3.03591900E-03 , -29.9105320197 , -3.01449000E-03 , -29.699408867 , +8.75480000E-05
37.5910000801 , 15 , +1.94762000E-04 , -3.03625400E-03 , -29.9138325123 , -3.48943700E-03 , -34.3786896552 , +8.73140000E-05
40.0970001221 , 16 , +1.95246040E-04 , -3.03626600E-03 , -29.9139507389 , -3.49798400E-03 , -34.4628965517 , +8.74700000E-05
