Counter,Time(s),Magnet Current(A)
0,0.0999999046326,0.002
1,0.207999944687,0.001
2,0.328000068665,0.0
3,0.448999881744,0.002
4,0.555999994278,0.002
5,0.674999952316,0.002
6,0.796000003815,0.003
7,0.917999982834,0.005
8,1.02500009537,0.005
9,1.14499998093,0.006
10,1.26699995995,0.01
11,1.38800001144,0.011
12,1.49499988556,0.015
13,1.61599993706,0.018
14,1.73699998856,0.021
15,1.85800004005,0.023
16,1.96499991417,0.028
17,2.08699989319,0.031
18,2.20899987221,0.037
19,2.35800004005,0.041
20,2.48000001907,0.046
21,2.60199999809,0.052
22,2.70899987221,0.056
23,2.82899999619,0.06
24,2.95000004768,0.066
25,3.07099986076,0.07
26,3.1779999733,0.075
27,3.2990000248,0.079
28,3.42100000381,0.085
29,3.54200005531,0.09
30,3.64899992943,0.097
31,3.76900005341,0.1
32,3.89100003242,0.104
33,4.01200008392,0.111
34,4.11899995804,0.116
35,4.24000000954,0.12
36,4.36100006104,0.123
37,4.48300004005,0.132
38,4.63400006294,0.136
39,4.75600004196,0.14
40,4.87800002098,0.144
41,4.9849998951,0.15
42,5.10500001907,0.155
43,5.22699999809,0.159
44,5.34899997711,0.165
45,5.45700001717,0.169
46,5.5759999752,0.174
47,5.69799995422,0.179
48,5.81999993324,0.184
49,5.94199991226,0.189
50,6.04999995232,0.196
51,6.17000007629,0.2
52,6.29099988937,0.205
53,6.44099998474,0.209
54,6.56200003624,0.215
55,6.66899991035,0.221
56,6.78799986839,0.225
57,6.91000008583,0.228
58,7.03099989891,0.235
59,7.13800001144,0.24
60,7.25900006294,0.245
61,7.37999987602,0.25
62,7.50200009346,0.255
63,7.60899996758,0.259
64,7.72900009155,0.262
65,7.84999990463,0.269
66,7.97199988365,0.274
67,8.07899999619,0.279
68,8.19899988174,0.283
69,8.32099986076,0.289
70,8.4430000782,0.293
71,8.55099987984,0.301
72,8.72000002861,0.306
73,8.84200000763,0.311
74,8.96300005913,0.315
75,9.06999993324,0.322
76,9.19099998474,0.326
77,9.31299996376,0.328
78,9.43400001526,0.335
79,9.54099988937,0.339
80,9.66000008583,0.343
81,9.78099989891,0.349
82,9.90299987793,0.356
83,10.0559999943,0.36
84,10.1779999733,0.364
85,10.2990000248,0.371
86,10.4059998989,0.375
87,10.5269999504,0.379
88,10.6480000019,0.384
89,10.7699999809,0.393
90,10.9219999313,0.397
91,11.0439999104,0.4
92,11.1649999619,0.406
93,11.2720000744,0.411
94,11.3929998875,0.415
95,11.513999939,0.42
96,11.6349999905,0.427
97,11.7419998646,0.429
98,11.8629999161,0.433
99,11.9839999676,0.439
100,12.1059999466,0.444
101,12.2130000591,0.448
102,12.3329999447,0.452
103,12.4549999237,0.459
104,12.5769999027,0.463
105,12.6840000153,0.469
106,12.8029999733,0.474
107,12.9249999523,0.478
108,13.0469999313,0.484
109,13.2019999027,0.49
110,13.3239998817,0.495
111,13.4459998608,0.499
112,13.5680000782,0.505
113,13.6900000572,0.509
114,13.7969999313,0.515
115,13.9170000553,0.519
116,14.0390000343,0.524
117,14.1610000134,0.528
118,14.2679998875,0.536
119,14.3880000114,0.541
120,14.5099999905,0.545
121,14.6319999695,0.549
122,14.7539999485,0.555
123,14.861000061,0.56
124,14.9819998741,0.564
125,15.1029999256,0.569
126,15.2239999771,0.573
127,15.3310000896,0.578
128,15.4509999752,0.582
129,15.5729999542,0.587
130,15.6949999332,0.589
131,15.8020000458,0.592
132,15.9219999313,0.597
133,16.0439999104,0.604
134,16.1649999619,0.611
135,16.2720000744,0.615
136,16.3929998875,0.62
137,16.513999939,0.625
138,16.635999918,0.631
139,16.7430000305,0.635
140,16.8629999161,0.64
141,16.9839999676,0.645
142,17.1059999466,0.651
143,17.2119998932,0.657
144,17.381000042,0.661
145,17.503000021,0.667
146,17.625,0.671
147,17.7319998741,0.676
148,17.8519999981,0.68
149,17.9739999771,0.687
150,18.0959999561,0.69
151,18.2030000687,0.696
152,18.3220000267,0.701
153,18.4440000057,0.705
154,18.5659999847,0.711
155,18.6730000973,0.716
156,18.7929999828,0.72
157,18.9149999619,0.724
158,19.0360000134,0.732
