Time (s),Temp Probe Voltage (V)
0.0,+1.34750210E+00
0.368000030518,+1.34335450E+00
0.726999998093,+1.33990760E+00
1.08599996567,+1.32561530E+00
1.44499993324,+1.30765290E+00
1.80399990082,+1.29634540E+00
2.16300010681,+1.28646290E+00
2.52200007439,+1.27972490E+00
2.88199996948,+1.27453510E+00
3.24000000954,+1.27079230E+00
3.59899997711,+1.26774520E+00
3.95799994469,+1.25094270E+00
4.31699991226,+1.19995460E+00
4.67599987984,+1.16853690E+00
5.03500008583,+1.13514140E+00
5.39400005341,+1.12125530E+00
5.75300002098,+1.11637960E+00
6.11199998856,+1.11343240E+00
6.47099995613,+1.11140920E+00
6.82999992371,+1.11005300E+00
7.18799996376,+1.10899530E+00
7.54600000381,+1.10795970E+00
7.90599989891,+1.10704480E+00
8.2650001049,+1.10626740E+00
8.62400007248,+1.10552640E+00
8.98300004005,+1.10487620E+00
9.34200000763,+1.10440380E+00
9.7009999752,+1.10369520E+00
10.0599999428,+1.10317480E+00
10.4200000763,+1.10278030E+00
10.7779998779,+1.10239230E+00
11.1370000839,+1.10197050E+00
11.4960000515,+1.10160190E+00
11.8550000191,+1.10128790E+00
12.2149999142,+1.10102310E+00
12.5739998817,+1.10083490E+00
12.9330000877,+1.10061430E+00
13.2929999828,+1.10037420E+00
13.6519999504,+1.10011990E+00
14.010999918,+1.09999530E+00
14.368999958,+1.09966950E+00
14.7279999256,+1.09889870E+00
15.0869998932,+1.09663150E+00
15.4460000992,+1.09574510E+00
15.8059999943,+1.09452000E+00
16.1649999619,+1.09367120E+00
16.5239999294,+1.09300810E+00
16.8840000629,+1.09220870E+00
17.2430000305,+1.09143260E+00
17.6010000706,+1.09085770E+00
17.9609999657,+1.09014260E+00
18.3199999332,+1.08957030E+00
18.6789999008,+1.08908880E+00
19.0369999409,+1.08851390E+00
19.3959999084,+1.08804800E+00
19.756000042,+1.08755230E+00
20.1150000095,+1.08697220E+00
20.4739999771,+1.08651920E+00
20.8329999447,+1.08604170E+00
21.1919999123,+1.08566270E+00
21.5509998798,+1.08511640E+00
21.9100000858,+1.08468940E+00
22.2690000534,+1.08425850E+00
22.628000021,+1.08386660E+00
22.9869999886,+1.08347600E+00
23.3459999561,+1.08307110E+00
23.7060000896,+1.08265840E+00
24.0639998913,+1.08228720E+00
24.4230000973,+1.08192640E+00
24.7820000648,+1.08148390E+00
25.1410000324,+1.08109070E+00
25.5,+1.08050020E+00
25.8589999676,+1.07979030E+00
26.2170000076,+1.07941660E+00
26.5759999752,+1.07918690E+00
26.9349999428,+1.07881830E+00
27.2939999104,+1.07844320E+00
27.6519999504,+1.07805910E+00
28.010999918,+1.07766330E+00
28.3699998856,+1.07729470E+00
28.7300000191,+1.07690930E+00
29.0889999866,+1.07646150E+00
