Counter,Time(s),Temperature Voltage(V)Magnet Current(A),Field Coil Current(mA),SQUID Voltage(uV),Mod Coil Currnet(uA),Pickup Loop Current(uA),
0,0.00300002098083,,,,-2.11723110E-02,0.00877557502738,
0,1.18700003624,,,,+1.08213810E-02,0.0087726177437,
0,2.2990000248,,,,+1.29766090E-02,0.0087278203724,
1,3.21399998665,,,,+1.21468440E-02,4.02687480832,
1,4.10100007057,,,,-3.63014940E-04,4.02718280394,
1,5.05900001526,,,,+1.10444580E-02,4.0273837897,
2,5.92300009727,,,,-3.60453130E-03,8.02229715225,
2,6.86199998856,,,,+8.33364280E-03,8.02324424973,
2,7.76900005341,,,,-1.10548060E-02,8.02372146769,
3,8.69900012016,,,,+1.09694760E-02,12.0792672508,
3,9.53500008583,,,,-1.28113740E-02,12.0797732749,
3,10.4930000305,,,,+1.81495510E-04,12.0801642935,
4,11.4070000648,,,,-1.20693820E-02,16.1011840088,
4,12.3120000362,,,,+1.29025360E-02,16.1010974808,
4,13.1700000763,,,,-1.32065530E-02,16.1011117196,
5,14.1319999695,,,,+5.84175220E-03,20.0518127054,
5,15.0350000858,,,,-5.28257730E-03,20.0596385542,
5,15.9449999332,,,,-3.79992300E-03,20.0631829135,
6,16.8589999676,,,,+1.29719690E-02,24.0687667032,
6,17.7160000801,,,,-1.14570820E-02,24.0707491785,
6,18.6730000973,,,,+1.07233010E-02,24.072354874,
7,19.5380001068,,,,-1.03044730E-02,28.0766122673,
7,20.4930000305,,,,-2.05823270E-04,28.0778554217,
7,21.4019999504,,,,-1.67609510E-02,28.0788247536,
8,22.3140001297,,,,-3.30383680E-03,32.1880898138,
8,23.2170000076,,,,+1.02234030E-02,32.1891456736,
8,24.0789999962,,,,+1.22445160E-02,32.1902311062,
