Counter,Time(s),Temperature Voltage(V)Magnet Current(A),Field Coil Current(mA),SQUID Voltage(uV),Mod Coil Current(uA),Pickup Loop Current(uA),
0,0.00300002098083,,,,-1.38478000E-02,0.00872059145674,
1,1.79800009727,,,,-7.24134220E-03,4.03204841183,
2,2.68200016022,,,,+1.05724460E-02,8.02488828039,
3,3.54299998283,,,,-5.48652270E-03,12.0728729463,
4,4.47600007057,,,,+1.09246100E-02,16.0923307777,
5,5.33800005913,,,,-1.47080890E-02,20.1084895947,
6,6.29400014877,,,,+1.32751370E-03,24.1228148959,
7,7.20600008965,,,,-1.47101770E-02,28.1355158817,
8,8.1130001545,,,,-1.79115610E-03,32.2525487404,
9,9.02400016785,,,,-4.20789260E-03,36.1903910186,
10,9.93099999428,,,,+3.69682200E-03,40.3216144578,
11,10.8400001526,,,,-3.43346870E-03,44.1856976999,
12,11.7339999676,,,,-7.18026110E-03,48.3177907996,
13,12.6410000324,,,,+1.25778710E-02,52.1511796276,
14,13.5190000534,,,,-1.35794070E-02,56.2803220153,
15,14.4769999981,,,,+1.77007910E-03,60.1166779847,
16,15.3870000839,,,,-1.48114930E-02,64.2477984666,
17,16.2940001488,,,,+4.98671740E-04,68.3757250821,
18,17.1890001297,,,,-6.69097330E-03,72.7007645126,
19,18.0950000286,,,,+7.13187840E-03,76.8569550931,
20,19.0050001144,,,,+1.91671620E-03,80.7257185104,
21,19.9140000343,,,,-5.91015700E-03,84.8852661555,
22,20.8400001526,,,,+1.07611760E-02,88.7498619934,
23,21.7039999962,,,,-2.14748360E-02,92.9112026287,
24,22.6590001583,,,,+3.08405200E-03,97.0149025192,
25,23.5690000057,,,,-1.24683250E-02,100.874475356,
26,24.478000164,,,,+1.12225110E-02,105.037383352,
27,25.3380000591,,,,-1.31843000E-02,108.899228916,
28,26.2950000763,,,,+4.02575710E-03,113.060273823,
29,27.1670000553,,,,-1.40703080E-02,116.923723987,
30,28.0740001202,,,,+1.27776430E-02,121.019507119,
31,28.9330000877,,,,-1.40487460E-02,125.18449069,
32,29.8900001049,,,,-1.61093740E-03,129.047907996,
33,30.8020000458,,,,-1.14767040E-02,133.208696605,
34,31.7090001106,,,,+1.99892200E-03,137.067918949,
35,32.618999958,,,,+1.05527100E-02,141.580536692,
36,33.478000164,,,,-7.07559430E-03,145.497382256,
37,34.4379999638,,,,+1.41515760E-02,149.528335159,
38,35.2970001698,,,,+6.36457660E-03,153.442289157,
39,36.3330001831,,,,+2.01022720E-02,157.607272727,
40,37.1150000095,,,,-6.15833740E-03,161.768061336,
41,38.0720000267,,,,+1.35875260E-02,165.567064622,
