Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
0.0,-2.35100000E-08,+7.10700000E-06,0.0700197044335,+1.55977600E+00
2.09899997711,-3.00500000E-08,+6.97600000E-06,0.0687290640394,+1.55975390E+00
4.17999982834,-3.08500000E-08,+6.95000000E-06,0.0684729064039,+1.55974220E+00
6.26099991798,-3.67300000E-08,+7.26400000E-06,0.0715665024631,+1.55972280E+00
8.34200000763,-4.22100000E-08,+7.18600000E-06,0.0707980295567,+1.55968770E+00
10.4229998589,-5.22200000E-08,+7.13300000E-06,0.070275862069,+1.55965270E+00
12.5039999485,-4.02000000E-08,+6.84600000E-06,0.0674482758621,+1.55963970E+00
14.5849997997,-6.05100000E-08,+7.10700000E-06,0.0700197044335,+1.55965270E+00
16.6649999619,-7.49300000E-08,+7.00300000E-06,0.0689950738916,+1.55962020E+00
18.746999979,-6.94500000E-08,+6.89800000E-06,0.067960591133,+1.55958650E+00
20.8279998302,-7.65300000E-08,+7.01600000E-06,0.0691231527094,+1.55957610E+00
22.9079999924,-8.01400000E-08,+7.06800000E-06,0.0696354679803,+1.55955920E+00
24.9900000095,-6.63800000E-08,+7.34300000E-06,0.0723448275862,+1.55955150E+00
27.0709998608,-6.38400000E-08,+7.00300000E-06,0.0689950738916,+1.55952160E+00
29.1519999504,-7.25300000E-08,+7.23800000E-06,0.0713103448276,+1.55952420E+00
31.2329998016,-6.42400000E-08,+7.29100000E-06,0.0718325123153,+1.55949180E+00
33.3139998913,-3.78000000E-08,+7.21200000E-06,0.0710541871921,+1.55947100E+00
35.3949999809,-5.34300000E-08,+7.05500000E-06,0.0695073891626,+1.55945930E+00
37.4779999256,-3.49900000E-08,+7.18600000E-06,0.0707980295567,+1.55945670E+00
39.5590000153,-5.83700000E-08,+7.08100000E-06,0.069763546798,+1.55943210E+00
41.638999939,-8.09400000E-08,+6.95000000E-06,0.0684729064039,+1.55943470E+00
43.7200000286,-7.61300000E-08,+7.05500000E-06,0.0695073891626,+1.55936980E+00
45.8019998074,-7.84000000E-08,+7.08100000E-06,0.069763546798,+1.55939570E+00
47.882999897,-7.09200000E-08,+7.00300000E-06,0.0689950738916,+1.55936460E+00
49.9639999866,-7.41300000E-08,+6.92400000E-06,0.0682167487685,+1.55936200E+00
52.0449998379,-6.47800000E-08,+6.97600000E-06,0.0687290640394,+1.55933860E+00
54.126999855,-5.99700000E-08,+6.74100000E-06,0.0664137931034,+1.55929190E+00
56.2079999447,-5.67700000E-08,+7.34300000E-06,0.0723448275862,+1.55928670E+00
58.2899999619,-4.28700000E-08,+6.92400000E-06,0.0682167487685,+1.55929190E+00
60.3709998131,-5.12900000E-08,+6.89800000E-06,0.067960591133,+1.55927890E+00
62.4519999027,-5.43600000E-08,+7.05500000E-06,0.0695073891626,+1.55925040E+00
64.5329999924,-5.87700000E-08,+7.02900000E-06,0.0692512315271,+1.55922700E+00
66.6129999161,-6.98500000E-08,+6.92400000E-06,0.0682167487685,+1.55922960E+00
68.6940000057,-6.82500000E-08,+7.00300000E-06,0.0689950738916,+1.55921010E+00
70.7760000229,-8.10700000E-08,+6.81900000E-06,0.0671822660099,+1.55919330E+00
72.8569998741,-6.10400000E-08,+6.96300000E-06,0.0686009852217,+1.55918680E+00
74.9379999638,-8.98900000E-08,+7.02900000E-06,0.0692512315271,+1.55917510E+00
77.018999815,-8.93600000E-08,+7.05500000E-06,0.0695073891626,+1.55917900E+00
79.0999999046,-9.71000000E-08,+7.02900000E-06,0.0692512315271,+1.55914790E+00
81.1819999218,-1.07790000E-07,+6.97600000E-06,0.0687290640394,+1.55911410E+00
83.2630000114,-9.95100000E-08,+6.79300000E-06,0.0669261083744,+1.55909720E+00
85.3439998627,-9.43000000E-08,+6.76700000E-06,0.0666699507389,+1.55909590E+00
87.4249999523,-1.07650000E-07,+6.68800000E-06,0.0658916256158,+1.55908040E+00
89.5069999695,-1.09790000E-07,+7.02900000E-06,0.0692512315271,+1.55906610E+00
91.5879998207,-1.12730000E-07,+7.42100000E-06,0.0731133004926,+1.55904400E+00
93.6689999104,-1.07120000E-07,+6.89800000E-06,0.067960591133,+1.55904010E+00
95.75,-1.16200000E-07,+7.02900000E-06,0.0692512315271,+1.55899470E+00
97.8299999237,-1.04050000E-07,+6.79300000E-06,0.0669261083744,+1.55900770E+00
99.9119999409,-1.07520000E-07,+7.04200000E-06,0.0693793103448,+1.55899990E+00
101.993000031,-1.06180000E-07,+7.25100000E-06,0.0714384236453,+1.55895190E+00
104.073999882,-1.00170000E-07,+6.93700000E-06,0.0683448275862,+1.55894280E+00
106.155999899,-1.17270000E-07,+7.02900000E-06,0.0692512315271,+1.55893760E+00
108.236999989,-1.03650000E-07,+6.93700000E-06,0.0683448275862,+1.55891170E+00
110.31799984,-1.04850000E-07,+6.92400000E-06,0.0682167487685,+1.55889350E+00
112.398999929,-1.11660000E-07,+6.92400000E-06,0.0682167487685,+1.55890130E+00
114.480000019,-1.28890000E-07,+6.97600000E-06,0.0687290640394,+1.55889090E+00
116.56099987,-1.36900000E-07,+6.89800000E-06,0.067960591133,+1.55887010E+00
118.64199996,-1.42250000E-07,+7.06800000E-06,0.0696354679803,+1.55883900E+00
120.722999811,-1.69490000E-07,+7.23800000E-06,0.0713103448276,+1.55882340E+00
122.804999828,-1.57610000E-07,+6.79300000E-06,0.0669261083744,+1.55882080E+00
124.886999846,-1.54130000E-07,+7.26400000E-06,0.0715665024631,+1.55880520E+00
126.967999935,-1.45850000E-07,+6.84600000E-06,0.0674482758621,+1.55878450E+00
129.047999859,-1.26890000E-07,+6.76700000E-06,0.0666699507389,+1.55877930E+00
131.128999949,-1.08590000E-07,+6.74100000E-06,0.0664137931034,+1.55877670E+00
133.210999966,-1.17670000E-07,+7.05500000E-06,0.0695073891626,+1.55874300E+00
135.291999817,-1.10860000E-07,+6.58400000E-06,0.0648669950739,+1.55873910E+00
137.372999907,-1.26750000E-07,+6.63600000E-06,0.0653793103448,+1.55873260E+00
139.453999996,-1.33970000E-07,+6.68800000E-06,0.0658916256158,+1.55869880E+00
141.536000013,-1.34370000E-07,+6.97600000E-06,0.0687290640394,+1.55870660E+00
143.616999865,-1.29560000E-07,+6.89800000E-06,0.067960591133,+1.55865860E+00
145.697999954,-1.14470000E-07,+6.87200000E-06,0.0677044334975,+1.55863520E+00
147.778999805,-1.01780000E-07,+6.87200000E-06,0.0677044334975,+1.55864690E+00
149.859999895,-1.23150000E-07,+6.47900000E-06,0.0638325123153,+1.55863520E+00
151.940999985,-1.07920000E-07,+6.61000000E-06,0.0651231527094,+1.55861190E+00
154.021999836,-1.19940000E-07,+6.67500000E-06,0.065763546798,+1.55862490E+00
156.102999926,-1.15270000E-07,+6.66200000E-06,0.0656354679803,+1.55857290E+00
158.184000015,-1.24750000E-07,+6.21700000E-06,0.0612512315271,+1.55858200E+00
160.266000032,-1.11790000E-07,+6.40100000E-06,0.0630640394089,+1.55857550E+00
162.346999884,-1.30890000E-07,+6.76700000E-06,0.0666699507389,+1.55853010E+00
164.427999973,-1.25550000E-07,+6.79300000E-06,0.0669261083744,+1.55853790E+00
166.508999825,-1.59480000E-07,+6.95000000E-06,0.0684729064039,+1.55849770E+00
168.590999842,-1.62420000E-07,+6.91100000E-06,0.0680886699507,+1.55848990E+00
170.671000004,-1.62550000E-07,+6.80600000E-06,0.0670541871921,+1.55848080E+00
172.751999855,-1.89260000E-07,+6.80600000E-06,0.0670541871921,+1.55848080E+00
174.832999945,-2.05290000E-07,+6.85900000E-06,0.0675763546798,+1.55846910E+00
176.914999962,-1.81650000E-07,+6.70200000E-06,0.0660295566502,+1.55841720E+00
178.995999813,-1.83520000E-07,+6.64900000E-06,0.0655073891626,+1.55843540E+00
181.076999903,-1.80450000E-07,+6.64900000E-06,0.0655073891626,+1.55841200E+00
183.157999992,-1.91270000E-07,+6.53100000E-06,0.0643448275862,+1.55839900E+00
185.238999844,-1.73630000E-07,+6.72800000E-06,0.0662857142857,+1.55837830E+00
187.319999933,-1.93800000E-07,+6.79300000E-06,0.0669261083744,+1.55838870E+00
189.399999857,-1.91400000E-07,+6.61000000E-06,0.0651231527094,+1.55836270E+00
191.481999874,-1.89130000E-07,+6.66200000E-06,0.0656354679803,+1.55832380E+00
193.563999891,-1.97140000E-07,+6.63600000E-06,0.0653793103448,+1.55831600E+00
195.644999981,-1.80580000E-07,+6.55800000E-06,0.0646108374384,+1.55831340E+00
197.725999832,-1.88990000E-07,+6.71500000E-06,0.066157635468,+1.55828740E+00
199.806999922,-2.05690000E-07,+6.55800000E-06,0.0646108374384,+1.55826670E+00
201.888000011,-1.98610000E-07,+6.19100000E-06,0.0609950738916,+1.55824850E+00
203.968999863,-2.06220000E-07,+6.61000000E-06,0.0651231527094,+1.55825110E+00
206.05099988,-2.00610000E-07,+6.42700000E-06,0.0633201970443,+1.55824850E+00
208.131999969,-1.94740000E-07,+6.61000000E-06,0.0651231527094,+1.55821740E+00
210.211999893,-1.76970000E-07,+6.32200000E-06,0.0622857142857,+1.55819660E+00
212.29399991,-1.68960000E-07,+6.53100000E-06,0.0643448275862,+1.55819920E+00
214.375999928,-1.70560000E-07,+6.53100000E-06,0.0643448275862,+1.55818620E+00
216.457000017,-1.68560000E-07,+6.50500000E-06,0.0640886699507,+1.55816540E+00
218.537999868,-2.00350000E-07,+6.19100000E-06,0.0609950738916,+1.55814730E+00
220.618999958,-2.08360000E-07,+6.53100000E-06,0.0643448275862,+1.55814730E+00
222.699999809,-2.06220000E-07,+6.50500000E-06,0.0640886699507,+1.55813430E+00
224.780999899,-2.11030000E-07,+6.63600000E-06,0.0653793103448,+1.55811870E+00
226.861999989,-2.06360000E-07,+6.66200000E-06,0.0656354679803,+1.55808500E+00
228.944000006,-2.12900000E-07,+6.47900000E-06,0.0638325123153,+1.55808760E+00
231.024999857,-2.03020000E-07,+6.24300000E-06,0.0615073891626,+1.55806160E+00
233.105999947,-2.01150000E-07,+6.66200000E-06,0.0656354679803,+1.55803830E+00
235.186999798,-2.07560000E-07,+6.36100000E-06,0.0626699507389,+1.55804090E+00
237.267999887,-1.86320000E-07,+6.11300000E-06,0.0602266009852,+1.55800970E+00
239.348999977,-1.90330000E-07,+6.37400000E-06,0.0627980295567,+1.55801230E+00
241.429999828,-1.78840000E-07,+6.36100000E-06,0.0626699507389,+1.55798640E+00
243.50999999,-1.71500000E-07,+6.36100000E-06,0.0626699507389,+1.55799150E+00
245.590999842,-1.63080000E-07,+6.12600000E-06,0.060354679803,+1.55796820E+00
247.674000025,-1.56270000E-07,+6.20400000E-06,0.0611231527094,+1.55795260E+00
249.754999876,-1.53600000E-07,+6.36100000E-06,0.0626699507389,+1.55794220E+00
251.835999966,-1.60550000E-07,+6.38700000E-06,0.0629261083744,+1.55790590E+00
253.916999817,-1.58410000E-07,+6.19100000E-06,0.0609950738916,+1.55790070E+00
255.997999907,-1.46920000E-07,+6.19100000E-06,0.0609950738916,+1.55788120E+00
258.078999996,-1.40640000E-07,+6.29600000E-06,0.0620295566502,+1.55785660E+00
260.159999847,-1.44520000E-07,+6.13900000E-06,0.0604827586207,+1.55786180E+00
262.240999937,-1.50260000E-07,+6.29600000E-06,0.0620295566502,+1.55785140E+00
264.322999954,-1.34370000E-07,+5.85100000E-06,0.057645320197,+1.55782020E+00
266.403999805,-1.39840000E-07,+5.94200000E-06,0.0585418719212,+1.55782540E+00
268.484999895,-1.41450000E-07,+5.95500000E-06,0.0586699507389,+1.55780990E+00
270.565999985,-1.34770000E-07,+6.40100000E-06,0.0630640394089,+1.55777610E+00
272.646999836,-1.43320000E-07,+6.11300000E-06,0.0602266009852,+1.55778130E+00
274.727999926,-1.33700000E-07,+6.24300000E-06,0.0615073891626,+1.55775530E+00
276.809000015,-1.38510000E-07,+6.08600000E-06,0.059960591133,+1.55775020E+00
278.889999866,-1.43980000E-07,+6.19100000E-06,0.0609950738916,+1.55773590E+00
280.971999884,-1.49730000E-07,+6.03400000E-06,0.0594482758621,+1.55773070E+00
283.052999973,-1.52260000E-07,+6.08600000E-06,0.059960591133,+1.55770340E+00
285.133999825,-1.56810000E-07,+5.87700000E-06,0.0579014778325,+1.55767230E+00
287.214999914,-1.36370000E-07,+5.85100000E-06,0.057645320197,+1.55766710E+00
289.296000004,-1.42380000E-07,+5.85100000E-06,0.057645320197,+1.55766710E+00
291.375999928,-1.34630000E-07,+5.69400000E-06,0.0560985221675,+1.55764890E+00
293.457999945,-1.40910000E-07,+5.74600000E-06,0.0566108374384,+1.55762560E+00
295.538999796,-1.25420000E-07,+5.77200000E-06,0.0568669950739,+1.55761000E+00
297.619999886,-1.39170000E-07,+6.03400000E-06,0.0594482758621,+1.55759960E+00
299.701999903,-1.44920000E-07,+5.85100000E-06,0.057645320197,+1.55759700E+00
301.782999992,-1.45850000E-07,+5.79800000E-06,0.0571231527094,+1.55758270E+00
303.863999844,-1.42650000E-07,+5.69400000E-06,0.0560985221675,+1.55756980E+00
305.944999933,-1.46920000E-07,+5.53700000E-06,0.0545517241379,+1.55753860E+00
308.026000023,-1.54670000E-07,+5.72000000E-06,0.056354679803,+1.55752690E+00
310.106999874,-1.39840000E-07,+5.69400000E-06,0.0560985221675,+1.55751400E+00
312.187999964,-1.44650000E-07,+5.95500000E-06,0.0586699507389,+1.55748930E+00
314.268999815,-1.63080000E-07,+5.53700000E-06,0.0545517241379,+1.55748930E+00
316.350999832,-1.57070000E-07,+5.79800000E-06,0.0571231527094,+1.55747110E+00
318.431999922,-1.56540000E-07,+6.11300000E-06,0.0602266009852,+1.55745040E+00
320.513000011,-1.66560000E-07,+5.92900000E-06,0.0584137931034,+1.55744390E+00
322.593999863,-1.69630000E-07,+5.95500000E-06,0.0586699507389,+1.55740370E+00
324.674999952,-1.72300000E-07,+6.21700000E-06,0.0612512315271,+1.55741790E+00
326.754999876,-1.59480000E-07,+5.90300000E-06,0.058157635468,+1.55738420E+00
328.835999966,-1.78180000E-07,+6.06000000E-06,0.0597044334975,+1.55737510E+00
330.916999817,-1.56140000E-07,+6.03400000E-06,0.0594482758621,+1.55736990E+00
332.997999907,-1.63480000E-07,+5.94200000E-06,0.0585418719212,+1.55736730E+00
335.079999924,-1.84050000E-07,+6.00800000E-06,0.0591921182266,+1.55733100E+00
337.161000013,-1.89400000E-07,+6.17800000E-06,0.0608669950739,+1.55733100E+00
339.241999865,-1.88590000E-07,+6.08600000E-06,0.059960591133,+1.55730240E+00
341.323999882,-1.79380000E-07,+6.07300000E-06,0.0598325123153,+1.55728430E+00
343.403999805,-1.81110000E-07,+6.03400000E-06,0.0594482758621,+1.55728690E+00
345.484999895,-1.71900000E-07,+6.11300000E-06,0.0602266009852,+1.55727650E+00
347.565999985,-1.72170000E-07,+6.19100000E-06,0.0609950738916,+1.55723230E+00
349.648000002,-1.61480000E-07,+6.08600000E-06,0.059960591133,+1.55723750E+00
351.730000019,-1.55740000E-07,+6.34800000E-06,0.0625418719212,+1.55721680E+00
353.81099987,-1.69630000E-07,+6.03400000E-06,0.0594482758621,+1.55720380E+00
355.89199996,-1.55070000E-07,+6.24300000E-06,0.0615073891626,+1.55720640E+00
357.972999811,-1.52530000E-07,+6.00800000E-06,0.0591921182266,+1.55718560E+00
360.053999901,-1.43320000E-07,+5.95500000E-06,0.0586699507389,+1.55717780E+00
