Counter,Time(s),Magnet Current(A)
0,0.0179998874664,0.0
1,0.105000019073,0.0
2,0.181999921799,0.0
3,0.259000062943,0.0
4,0.343999862671,0.0
5,0.421999931335,0.0
6,0.498999834061,0.0
7,0.576999902725,0.0
8,0.65299987793,0.0
9,0.743000030518,0.0
10,0.819999933243,0.0
11,0.896999835968,0.0
12,0.974999904633,0.0
13,1.05099987984,0.0
14,1.12800002098,0.0
15,1.20499992371,0.0
16,1.28399991989,0.0
17,1.36100006104,0.0
18,1.43700003624,0.0
19,1.51399993896,0.0
20,1.59200000763,0.0
21,1.66999983788,0.0
22,1.75999999046,0.0
23,1.83699989319,0.0
24,1.91400003433,0.0
25,1.99099993706,0.0
26,2.06799983978,0.0
27,2.14499998093,0.0
28,2.23399996758,0.0
29,2.3109998703,0.0
30,2.38800001144,0.0
31,2.46700000763,0.0
32,2.54399991035,0.0
33,2.6210000515,0.0
34,2.69799995422,0.0
35,2.77699995041,0.0
36,2.85399985313,0.0
37,2.93099999428,0.0
38,3.007999897,0.0
