Counter,Time(s),
0,0.0169999599457,0.0
1,0.105999946594,0.0
2,0.183000087738,0.0
3,0.259999990463,0.0
4,0.338000059128,0.0
5,0.416000127792,0.0
6,0.506000041962,0.0
7,0.584000110626,0.0
8,0.661000013351,0.0
9,0.739000082016,0.0
10,0.815999984741,0.0
11,0.90499997139,0.0
12,0.982000112534,0.0
13,1.05800008774,0.0
14,1.13599991798,0.0
15,1.21300005913,0.0
16,1.28999996185,0.0
17,1.367000103,0.0
18,1.44400000572,0.0
19,1.52300000191,0.0
20,1.59999990463,0.0
21,1.67700004578,0.0
22,1.7539999485,0.0
23,1.83100008965,0.0
24,1.92000007629,0.0
25,1.99699997902,0.0
26,2.07299995422,0.0
27,2.15100002289,0.0
28,2.22799992561,0.0
29,2.30399990082,0.0
30,2.39400005341,0.0
31,2.47000002861,0.0
32,2.54800009727,0.0
33,2.625,0.0
34,2.70199990273,0.0
35,2.77900004387,0.0
36,2.85599994659,0.0
37,2.93499994278,0.0
38,3.01200008392,0.0
39,3.08899998665,0.0
40,3.16600012779,0.0
41,3.24300003052,0.0
42,3.33200001717,0.0
43,3.40899991989,0.0
44,3.48600006104,0.0
45,3.56299996376,0.0
46,3.6400001049,0.0
47,3.71700000763,0.0
48,3.80599999428,0.0
49,3.882999897,0.0
50,3.96000003815,0.0
51,4.03800010681,0.0
52,4.11599993706,0.0
53,4.1930000782,0.0
54,4.26999998093,0.0
55,4.34899997711,0.0
56,4.42499995232,0.0
57,4.50300002098,0.0
58,4.57999992371,0.0
59,4.65899991989,0.0
60,4.74799990654,0.0
61,4.82500004768,0.0
62,4.90100002289,0.0
63,4.97900009155,0.0
64,5.05599999428,0.0
