Time (s) 	 Counter 	 SQUID voltage (V) 	 Calculated Mod Coil Current (uA) 	 Calculated Squid Current (uA) 	 Temp Probe Voltage (V) 				
0	0	-1.45E-06	-19.76596059	-14.79869951	1.05E-04			19.76596059	-1.45E-06
3.924999952	1	-1.46E-06	-19.48094581	-14.80024631	1.06E-04			19.48094581	-1.46E-06
7.838000059	2	-1.47E-06	-18.26155665	-14.79664039	1.06E-04			18.26155665	-1.47E-06
11.75	3	-1.46E-06	-18.26069951	-14.80076847	1.06E-04			18.26069951	-1.46E-06
15.66100001	4	-1.44E-06	-18.26155665	-14.80231527	1.06E-04			18.26155665	-1.44E-06
19.57299995	5	-1.48E-06	-18.26606897	-14.79999015	1.06E-04			18.26606897	-1.48E-06
23.4849999	6	-1.48E-06	-19.80746798	-14.80024631	1.06E-04			19.80746798	-1.48E-06
27.39700007	7	-1.50E-06	-19.75180296	-14.79793103	1.05E-04			19.75180296	-1.50E-06
31.30900002	8	-1.50E-06	-19.75595074	-14.79740887	1.05E-04			19.75595074	-1.50E-06
35.22099996	9	-1.50E-06	-21.68942857	-14.80128079	1.06E-04			21.68942857	-1.50E-06
39.13199997	10	-1.53E-06	-21.69895567	-14.79999015	1.05E-04			21.69895567	-1.53E-06
43.04500008	11	-1.52E-06	-24.32865025	-14.79818719	1.06E-04			24.32865025	-1.52E-06
46.95600009	12	-1.53E-06	-24.28397044	-14.80282759	1.06E-04			24.28397044	-1.53E-06
50.86800003	13	-1.51E-06	-27.93130049	-14.80102463	1.06E-04			27.93130049	-1.51E-06
54.77999997	14	-1.53E-06	-27.73991133	-14.79895567	1.05E-04			27.73991133	-1.53E-06
58.69099998	15	-1.52E-06	-27.74650246	-14.80076847	1.05E-04			27.74650246	-1.52E-06
62.60400009	16	-1.45E-06	-32.59333005	-14.79767488	1.05E-04			32.59333005	-1.45E-06
66.5150001	17	-1.44E-06	-32.5524335	-14.79947783	1.06E-04			32.5524335	-1.44E-06
70.42700005	18	-1.45E-06	-32.55915271	-14.79611823	1.06E-04			32.55915271	-1.45E-06
74.33899999	19	-1.39E-06	-37.5735665	-14.79922167	1.06E-04			37.5735665	-1.39E-06
78.25099993	20	-1.38E-06	-38.59351724	-14.79999015	1.05E-04			38.59351724	-1.38E-06
82.16300011	21	-1.34E-06	-38.57032512	-14.79922167	1.06E-04			38.57032512	-1.34E-06
86.07500005	22	-1.26E-06	-43.78553695	-14.79715271	1.06E-04			43.78553695	-1.26E-06
89.98600006	23	-1.31E-06	-43.38176355	-14.79638424	1.06E-04			43.38176355	-1.31E-06
93.898	24	-1.31E-06	-43.47037438	-14.79844335	1.06E-04			43.47037438	-1.31E-06
97.80999994	25	-1.30E-06	-46.14853202	-14.7950936	1.06E-04			46.14853202	-1.30E-06
101.721	26	-1.27E-06	-46.16721182	-14.79793103	1.06E-04			46.16721182	-1.27E-06
105.6329999	27	-1.22E-06	-50.12567488	-14.79818719	1.06E-04			50.12567488	-1.22E-06
109.5439999	28	-1.23E-06	-50.28752709	-14.79715271	1.06E-04			50.28752709	-1.23E-06
113.457	29	-1.22E-06	-50.39848276	-14.79818719	1.06E-04			50.39848276	-1.22E-06
117.368	30	-1.17E-06	-57.17302463	-14.79715271	1.06E-04			57.17302463	-1.17E-06
121.28	31	-1.14E-06	-57.08941872	-14.79844335	1.06E-04			57.08941872	-1.14E-06
125.191	32	-1.16E-06	-57.08233498	-14.79715271	1.06E-04			57.08233498	-1.16E-06
129.1040001	33	-1.04E-06	-66.25834483	-14.79818719	1.06E-04			66.25834483	-1.04E-06
133.016	34	-1.04E-06	-66.31900493	-14.79638424	1.06E-04			66.31900493	-1.04E-06
136.927	35	-1.06E-06	-65.66170443	-14.79947783	1.06E-04			65.66170443	-1.06E-06
140.8399999	36	-1.09E-06	-64.7075468	-14.80051232	1.06E-04			64.7075468	-1.09E-06
