Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -4.73720700E-05 , -18.3173300493 , -64.0053694581 , +1.10238000E-04
3.75999999046 , 1 , -4.73982600E-05 , -18.3133103448 , -64.0118128079 , +1.10225000E-04
7.4849998951 , 2 , -4.73420200E-05 , -18.755408867 , -64.0196847291 , +1.10719000E-04
11.2109999657 , 3 , -4.72620300E-05 , -19.594591133 , -64.0177438424 , +1.10563000E-04
14.9370000362 , 4 , -4.71698700E-05 , -20.6810837438 , -64.0159408867 , +1.10641000E-04
18.6619999409 , 5 , -4.71428700E-05 , -20.7079310345 , -64.0190344828 , +1.10693000E-04
22.3870000839 , 6 , -4.69241000E-05 , -22.4668374384 , -64.0222561576 , +1.10628000E-04
26.1119999886 , 7 , -4.69732600E-05 , -22.4542660099 , -64.0211034483 , +1.10524000E-04
29.8380000591 , 8 , -4.67886700E-05 , -23.8242857143 , -64.0270344828 , +1.10628000E-04
33.5629999638 , 9 , -4.68060200E-05 , -23.812817734 , -64.0247093596 , +1.10784000E-04
37.2880001068 , 10 , -4.66733900E-05 , -25.1780788177 , -64.0267684729 , +1.10550000E-04
41.013999939 , 11 , -4.66731300E-05 , -25.1642857143 , -64.0272906404 , +1.10589000E-04
44.739000082 , 12 , -4.65188700E-05 , -26.499270936 , -64.0272906404 , +1.10979000E-04
48.4639999866 , 13 , -4.62661600E-05 , -28.3714581281 , -64.0311625616 , +1.11070000E-04
52.1900000572 , 14 , -4.60985400E-05 , -29.9552019704 , -64.0316748768 , +1.10914000E-04
55.9160001278 , 15 , -4.60952000E-05 , -29.8764729064 , -64.0345123153 , +1.10641000E-04
59.6410000324 , 16 , -4.57534000E-05 , -32.6110246305 , -64.0314187192 , +1.10550000E-04
63.367000103 , 17 , -4.56728700E-05 , -34.2938916256 , -64.0270344828 , +1.11122000E-04
67.0910000801 , 18 , -4.53926500E-05 , -36.2430935961 , -64.0308965517 , +1.10628000E-04
70.8159999847 , 19 , -4.49052700E-05 , -39.7781280788 , -64.0290935961 , +1.10628000E-04
74.5410001278 , 20 , -4.49241100E-05 , -39.5319211823 , -64.0337339901 , +1.10615000E-04
