Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
0.0,-1.69300700E-03,-16.7624455446
0.453999996185,-1.69298300E-03,-16.7622079208
0.896000146866,-1.69272200E-03,-16.7596237624
1.33899998665,-1.69288400E-03,-16.7612277228
1.78200006485,-1.69279700E-03,-16.7603663366
2.22399997711,-1.69283400E-03,-16.7607326733
2.66600012779,-1.69315600E-03,-16.7639207921
3.10800004005,-1.69262300E-03,-16.7586435644
3.55000019073,-1.69242500E-03,-16.7566831683
3.992000103,-1.70060200E-03,-16.8376435644
4.43300008774,-1.71345000E-03,-16.9648514851
4.87600016594,-1.78899900E-03,-17.7128613861
5.31700015068,-1.86535400E-03,-18.4688514851
5.75900006294,-1.96419600E-03,-19.4474851485
6.2009999752,-2.22382700E-03,-22.0180891089
6.64300012589,-2.43045600E-03,-24.0639207921
7.08500003815,-2.59745100E-03,-25.7173366337
7.52700018883,-2.85530800E-03,-28.2703762376
7.96900010109,-3.47173600E-03,-34.3736237624
8.41100001335,-4.21328400E-03,-41.7156831683
8.85300016403,-6.83807600E-03,-67.7037227723
9.29600000381,-7.52950700E-03,-74.5495742574
9.7380001545,-7.53213400E-03,-74.5755841584
10.1800000668,-7.52712900E-03,-74.526029703
10.621999979,-7.54152500E-03,-74.6685643564
11.0640001297,-7.63305700E-03,-75.5748217822
11.506000042,-8.48710000E-03,-84.0306930693
11.9470000267,-1.06692850E-02,-105.636485149
12.373000145,-2.22257820E-02,-220.057247525
12.7980000973,-2.66190730E-02,-263.555178218
13.2230000496,-3.84050540E-02,-380.248059406
13.6490001678,-4.36187210E-02,-431.868524752
14.0740001202,-3.64998990E-02,-361.385138614
14.5,-2.08694300E-02,-206.628019802
14.9250001907,-1.34436130E-02,-133.105079208
15.3500001431,-1.03734760E-02,-102.707683168
15.7750000954,-9.19296600E-03,-91.0194653465
16.2180001736,-8.46995400E-03,-83.8609306931
16.6590001583,-8.36396300E-03,-82.8115148515
17.1010000706,-8.31776200E-03,-82.3540792079
17.5429999828,-8.07727400E-03,-79.973009901
17.9850001335,-7.79188700E-03,-77.1473960396
18.4270000458,-7.70707000E-03,-76.3076237624
18.870000124,-7.56858300E-03,-74.9364653465
19.3120000362,-7.36744300E-03,-72.944980198
19.7540001869,-7.05988100E-03,-69.8998118812
20.1960000992,-6.66665800E-03,-66.0065148515
20.6380000114,-6.01270100E-03,-59.5316930693
21.0800001621,-5.57101100E-03,-55.1585247525
21.5220000744,-5.31869200E-03,-52.6603168317
21.9639999866,-5.05587800E-03,-50.0581980198
22.4060001373,-4.81729800E-03,-47.696019802
22.8480000496,-4.50387400E-03,-44.5928118812
23.2899999619,-4.23295800E-03,-41.9104752475
23.7320001125,-3.91715500E-03,-38.7837128713
24.1740000248,-3.39020200E-03,-33.5663564356
24.6160001755,-3.00783300E-03,-29.7805247525
25.0570001602,-2.72466300E-03,-26.9768613861
25.4990000725,-2.52374700E-03,-24.9875940594
25.9409999847,-2.30954900E-03,-22.8668217822
26.3840000629,-2.05346300E-03,-20.3313168317
26.8259999752,-1.87645500E-03,-18.5787623762
27.2680001259,-1.75605600E-03,-17.3866930693
27.7100000381,-1.69178100E-03,-16.7503069307
28.1520001888,-1.69176800E-03,-16.7501782178
28.5940001011,-1.69210300E-03,-16.7534950495
29.0360000134,-1.69184300E-03,-16.7509207921
29.478000164,-1.69186800E-03,-16.7511683168
29.9210000038,-1.69221500E-03,-16.7546039604
30.3619999886,-1.69222700E-03,-16.7547227723
30.8040001392,-1.69211500E-03,-16.7536138614
31.246999979,-1.69289600E-03,-16.7613465347
31.6890001297,-1.69231400E-03,-16.7555841584
32.131000042,-1.69251200E-03,-16.7575445545
32.5720000267,-1.69251200E-03,-16.7575445545
33.0140001774,-1.69276000E-03,-16.76
33.4560000896,-1.69232600E-03,-16.7557029703
33.8980000019,-1.69274700E-03,-16.7598712871
34.3400001526,-1.69245000E-03,-16.7569306931
34.7820000648,-1.69268500E-03,-16.7592574257
35.2239999771,-1.69264800E-03,-16.7588910891
35.6660001278,-1.69289600E-03,-16.7613465347
36.1089999676,-1.69292100E-03,-16.7615940594
36.5510001183,-1.69273500E-03,-16.7597524752
36.993999958,-1.69294500E-03,-16.7618316832
37.4360001087,-1.69293300E-03,-16.7617128713
37.878000021,-1.69280900E-03,-16.7604851485
38.3200001717,-1.69306900E-03,-16.7630594059
38.7610001564,-1.69289600E-03,-16.7613465347
