Time (s) , Counter , SQUID voltage (V) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +2.22743040E-04 , -3.97948900E-03 , -39.2067881773 , +8.80160000E-05
2.07499980927 , 1 , +2.22745440E-04 , -3.97899100E-03 , -39.2018817734 , +8.79640000E-05
4.14399981499 , 2 , +2.22750920E-04 , -3.97907000E-03 , -39.2026600985 , +8.80550000E-05
6.21299982071 , 3 , +2.22759340E-04 , -3.97908300E-03 , -39.2027881773 , +8.81460000E-05
8.28099989891 , 4 , +2.22758670E-04 , -3.97964600E-03 , -39.2083349754 , +8.83280000E-05
10.3489999771 , 5 , +2.22764280E-04 , -3.97941000E-03 , -39.2060098522 , +8.78080000E-05
12.4179999828 , 6 , +2.22750250E-04 , -3.97947600E-03 , -39.2066600985 , +8.80940000E-05
14.4859998226 , 7 , +2.22754660E-04 , -3.97935800E-03 , -39.2054975369 , +8.80550000E-05
16.5539999008 , 8 , +2.22757600E-04 , -3.97965900E-03 , -39.2084630542 , +8.83280000E-05
18.621999979 , 9 , +2.22765350E-04 , -3.97950200E-03 , -39.2069162562 , +8.79900000E-05
20.6909999847 , 10 , +2.22759600E-04 , -3.97965900E-03 , -39.2084630542 , +8.80810000E-05
22.7589998245 , 11 , +2.22759340E-04 , -3.97959300E-03 , -39.2078128079 , +8.76780000E-05
24.8279998302 , 12 , +2.22757200E-04 , -3.97954100E-03 , -39.2073004926 , +8.81330000E-05
26.8959999084 , 13 , +2.22755330E-04 , -3.97946300E-03 , -39.2065320197 , +8.81850000E-05
28.9639999866 , 14 , +2.22774830E-04 , -3.97996000E-03 , -39.2114285714 , +8.75610000E-05
31.0319998264 , 15 , +2.22763740E-04 , -3.97984200E-03 , -39.2102660099 , +8.82110000E-05
33.0999999046 , 16 , +2.22760540E-04 , -3.97954100E-03 , -39.2073004926 , +8.79510000E-05
35.1669998169 , 17 , +2.22773760E-04 , -3.97984200E-03 , -39.2102660099 , +8.83020000E-05
37.2359998226 , 18 , +2.22771360E-04 , -3.97955400E-03 , -39.2074285714 , +8.80160000E-05
39.3049998283 , 19 , +2.22762940E-04 , -3.97977700E-03 , -39.2096256158 , +8.79640000E-05
41.3729999065 , 20 , +2.22767750E-04 , -3.97976400E-03 , -39.2094975369 , +8.81720000E-05
43.4409999847 , 21 , +2.22757330E-04 , -3.97930600E-03 , -39.2049852217 , +8.81460000E-05
45.5089998245 , 22 , +2.22761070E-04 , -3.97977700E-03 , -39.2096256158 , +8.81590000E-05
47.5769999027 , 23 , +2.22764950E-04 , -3.97962000E-03 , -39.2080788177 , +8.75870000E-05
49.6449999809 , 24 , +2.22756000E-04 , -3.97980300E-03 , -39.2098817734 , +8.80550000E-05
51.7119998932 , 25 , +2.22769620E-04 , -3.97959300E-03 , -39.2078128079 , +8.83670000E-05
53.7809998989 , 26 , +2.22749180E-04 , -3.97975100E-03 , -39.2093694581 , +8.79770000E-05
55.8499999046 , 27 , +2.22762670E-04 , -3.97964600E-03 , -39.2083349754 , +8.80030000E-05
57.9169998169 , 28 , +2.22760940E-04 , -3.97948900E-03 , -39.2067881773 , +8.80420000E-05
59.9859998226 , 29 , +2.22751460E-04 , -3.97988100E-03 , -39.2106502463 , +8.77820000E-05
