Time (s) 	 Counter 	 SQUID voltage (V) 	 SQUID Loop Voltage (V) 	 Calculated Squid Current (uA) 	 Temp Probe Voltage (V) 					
0	0	8.84E-05	-1.57E-03	-15.51607882	8.83E-05					
2.177000046	1	8.84E-05	-1.57E-03	-15.50834483	8.85E-05					
4.336999893	2	9.31E-05	-1.74E-03	-17.11771429	8.83E-05					
6.496999979	3	1.04E-04	-1.85E-03	-18.18623645	8.82E-05					
8.563999891	4	1.04E-04	-1.85E-03	-18.19049261	8.82E-05					
10.63199997	5	1.34E-04	-2.44E-03	-23.99737931	8.77E-05					
12.70000005	6	1.50E-04	-2.71E-03	-26.67527094	8.85E-05					
14.76699996	7	1.65E-04	-2.95E-03	-29.03864039	8.78E-05					
16.83500004	8	1.65E-04	-2.95E-03	-29.04405911	8.81E-05					
18.90199995	9	1.70E-04	-3.06E-03	-30.11980296	8.82E-05				30.11980296	0.000170406
20.97000003	10	1.71E-04	-3.06E-03	-30.12960591	8.82E-05				30.12960591	0.000171301
23.03800011	11	1.71E-04	-3.06E-03	-30.13153695	8.82E-05				30.13153695	0.000171306
25.10500002	12	1.71E-04	-3.06E-03	-30.12405911	8.77E-05				30.12405911	0.000171284
27.17199993	13	1.71E-04	-3.06E-03	-30.12482759	8.81E-05				30.12482759	0.000171275
29.24099994	14	1.71E-04	-3.06E-03	-30.12547783	8.81E-05				30.12547783	0.000171283
31.30800009	15	1.71E-04	-3.06E-03	-30.12611823	8.84E-05				30.12611823	0.00017129
33.375	16	1.71E-04	-3.06E-03	-30.12586207	8.85E-05				30.12586207	0.000171288
35.44300008	17	1.71E-04	-3.06E-03	-30.12869951	8.84E-05				30.12869951	0.000171285
37.50999999	18	1.71E-04	-3.06E-03	-30.12664039	8.84E-05				30.12664039	0.000171271
39.5769999	19	1.71E-04	-3.06E-03	-30.12753695	8.85E-05				30.12753695	0.000171272
41.64400005	20	1.71E-04	-3.06E-03	-30.12999015	8.81E-05				30.12999015	0.000171292
43.71099997	21	1.71E-04	-3.06E-03	-30.12780296	8.85E-05				30.12780296	0.000171299
45.77800012	22	1.71E-04	-3.06E-03	-30.13024631	8.79E-05				30.13024631	0.000171289
47.84599996	23	1.71E-04	-3.06E-03	-30.12973399	8.85E-05				30.12973399	0.000171294
49.91300011	24	1.71E-04	-3.04E-03	-29.98413793	8.82E-05					
51.98000002	25	1.79E-04	-3.39E-03	-33.42841379	8.82E-05					
54.0480001	26	2.16E-04	-4.09E-03	-40.32186207	8.86E-05					
56.11500001	27	2.35E-04	-4.20E-03	-41.42161576	8.80E-05					
58.18300009	28	2.31E-04	-3.96E-03	-39.00665025	8.83E-05					
60.25	29	2.21E-04	-3.94E-03	-38.8164335	8.84E-05					
62.31699991	30	2.26E-04	-4.04E-03	-39.77676847	8.83E-05				39.77676847	0.000225996
64.38499999	31	2.25E-04	-4.04E-03	-39.76232512	8.82E-05				39.76232512	0.000225359
66.45300007	32	2.22E-04	-3.98E-03	-39.23824631	8.83E-05				39.23824631	0.000221986
68.52099991	33	2.23E-04	-3.99E-03	-39.30389163	8.83E-05				39.30389163	0.000223202
70.58800006	34	2.23E-04	-3.99E-03	-39.34038424	8.82E-05				39.34038424	0.000223461
72.6559999	35	2.23E-04	-3.99E-03	-39.27526108	8.81E-05				39.27526108	0.000223418
74.72300005	36	2.23E-04	-3.99E-03	-39.35069951	8.81E-05				39.35069951	0.000223491
76.79099989	37	2.24E-04	-3.99E-03	-39.31730049	8.83E-05				39.31730049	0.000223546
78.85800004	38	2.24E-04	-4.00E-03	-39.36952709	8.84E-05				39.36952709	0.0002235
80.92400002	39	2.24E-04	-4.00E-03	-39.36256158	8.84E-05				39.36256158	0.000223801
82.99300003	40	2.24E-04	-4.00E-03	-39.39015764	8.82E-05				39.39015764	0.000223821
