Time (s) , Counter , SQUID voltage (V) , Mod Coil Voltage (V) , Calculated Mod Coil Current (uA) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +1.27144140E-04 , -2.61688900E-03 , -25.7821576355 , -2.27216100E-03 , -22.3858226601 , +8.77820000E-05
2.76800012589 , 1 , +1.27134660E-04 , -2.61672800E-03 , -25.7805714286 , -2.27265800E-03 , -22.3907192118 , +8.78210000E-05
5.27300000191 , 2 , +1.27142400E-04 , -2.61681500E-03 , -25.7814285714 , -2.27258000E-03 , -22.3899507389 , +8.78470000E-05
7.77800011635 , 3 , +1.27143340E-04 , -2.61681500E-03 , -25.7814285714 , -2.27250100E-03 , -22.3891724138 , +8.78210000E-05
10.2830002308 , 4 , +1.27137060E-04 , -2.61680300E-03 , -25.7813103448 , -2.27273700E-03 , -22.3914975369 , +8.77690000E-05
12.7880001068 , 5 , +1.27140670E-04 , -2.61670300E-03 , -25.7803251232 , -2.27268500E-03 , -22.3909852217 , +8.77690000E-05
15.2950000763 , 6 , +1.27133320E-04 , -2.61675300E-03 , -25.780817734 , -2.27213500E-03 , -22.3855665025 , +8.81460000E-05
17.8000001907 , 7 , +1.27129180E-04 , -2.61671600E-03 , -25.780453202 , -2.27258000E-03 , -22.3899507389 , +8.75350000E-05
20.3050000668 , 8 , +1.27129580E-04 , -2.61672800E-03 , -25.7805714286 , -2.27263200E-03 , -22.3904630542 , +8.74310000E-05
22.8110001087 , 9 , +1.27133450E-04 , -2.61680300E-03 , -25.7813103448 , -2.27243600E-03 , -22.3885320197 , +8.80420000E-05
25.3150000572 , 10 , +1.27115160E-04 , -2.61667900E-03 , -25.78008867 , -2.27261900E-03 , -22.3903349754 , +8.78080000E-05
27.8200001717 , 11 , +1.27124240E-04 , -2.61664100E-03 , -25.7797142857 , -2.27298600E-03 , -22.3939507389 , +8.76650000E-05
30.3260002136 , 12 , +1.27131050E-04 , -2.61665400E-03 , -25.7798423645 , -2.27248800E-03 , -22.389044335 , +8.80160000E-05
32.8320000172 , 13 , +1.27131720E-04 , -2.61676500E-03 , -25.7809359606 , -2.27227900E-03 , -22.3869852217 , +8.79640000E-05
35.3380000591 , 14 , +1.27117560E-04 , -2.71877900E-03 , -26.786 , -2.27250100E-03 , -22.3891724138 , +8.77820000E-05
37.8430001736 , 15 , +1.27117830E-04 , -2.84355100E-03 , -28.0152807882 , -2.27269800E-03 , -22.3911133005 , +8.77820000E-05
40.3470001221 , 16 , +1.27106610E-04 , -2.94519200E-03 , -29.0166699507 , -2.27288100E-03 , -22.3929162562 , +8.76390000E-05
42.853000164 , 17 , +1.27108340E-04 , -3.03946200E-03 , -29.9454384236 , -2.27246200E-03 , -22.3887881773 , +8.77170000E-05
45.359000206 , 18 , +1.27113550E-04 , -3.03505200E-03 , -29.9019901478 , -2.27222600E-03 , -22.3864630542 , +8.77820000E-05
47.864000082 , 19 , +1.27084300E-04 , -3.03595600E-03 , -29.9108965517 , -2.27303800E-03 , -22.3944630542 , +8.77690000E-05
50.3710000515 , 20 , +1.26991340E-04 , -3.03626600E-03 , -29.9139507389 , -2.27225300E-03 , -22.386729064 , +8.78340000E-05
52.8760001659 , 21 , +1.27090980E-04 , -3.03634000E-03 , -29.914679803 , -2.27335200E-03 , -22.3975566502 , +8.82110000E-05
55.381000042 , 22 , +1.27193290E-04 , -3.03637700E-03 , -29.915044335 , -2.27322100E-03 , -22.3962660099 , +8.76780000E-05
57.8860001564 , 23 , +1.40531270E-04 , -3.03648900E-03 , -29.9161477833 , -2.52074700E-03 , -24.8349458128 , +8.76390000E-05
60.3920001984 , 24 , +1.47998240E-04 , -3.03630300E-03 , -29.9143152709 , -2.86743500E-03 , -28.250591133 , +8.74830000E-05
62.8970000744 , 25 , +1.63874750E-04 , -3.03642700E-03 , -29.9155369458 , -2.98163700E-03 , -29.3757339901 , +8.79770000E-05
65.4020001888 , 26 , +1.67146960E-04 , -3.03629100E-03 , -29.9141970443 , -3.12412300E-03 , -30.7795369458 , +8.74050000E-05
67.9090001583 , 27 , +1.74363360E-04 , -3.03658800E-03 , -29.9171231527 , -3.12615200E-03 , -30.7995270936 , +8.78340000E-05
70.4130001068 , 28 , +1.74709030E-04 , -3.03647700E-03 , -29.9160295567 , -3.12358700E-03 , -30.7742561576 , +8.75090000E-05
72.9190001488 , 29 , +1.68830960E-04 , -3.03622900E-03 , -29.9135862069 , -3.02412300E-03 , -29.7943152709 , +8.74830000E-05
75.4240000248 , 30 , +1.68971740E-04 , -3.03648900E-03 , -29.9161477833 , -3.02366500E-03 , -29.7898029557 , +8.78210000E-05
