Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +8.38871400E-05 , -18.2320098522 , -14.8025714286 , +8.72230000E-05
2.62300014496 , 1 , +8.38693500E-05 , -18.2320098522 , -14.799862069 , +8.72230000E-05
5.22200012207 , 2 , +8.38764300E-05 , -18.2329852217 , -14.7985714286 , +8.74440000E-05
7.82000017166 , 3 , +8.38771000E-05 , -18.2318916256 , -14.8016650246 , +8.72490000E-05
10.4190001488 , 4 , +8.38648100E-05 , -18.234453202 , -14.7994778325 , +8.73400000E-05
13.0180001259 , 5 , +8.38559900E-05 , -18.2327487685 , -14.8005123153 , +8.71970000E-05
15.617000103 , 6 , +8.38501200E-05 , -18.2326206897 , -14.8019211823 , +8.73530000E-05
18.2160000801 , 7 , +8.38535900E-05 , -18.2327487685 , -14.799862069 , +8.74830000E-05
20.8159999847 , 8 , +8.40701300E-05 , -18.2343349754 , -14.8447389163 , +8.74830000E-05
23.4150002003 , 9 , +8.40498300E-05 , -18.23408867 , -14.9472610837 , +8.72750000E-05
26.0140001774 , 10 , +8.44407700E-05 , -18.2337241379 , -14.8758128079 , +8.74830000E-05
28.6130001545 , 11 , +8.50921700E-05 , -18.23408867 , -15.0101871921 , +8.73920000E-05
31.2110002041 , 12 , +8.47451700E-05 , -18.2339704433 , -15.0916847291 , +8.73530000E-05
33.8100001812 , 13 , +8.67586600E-05 , -18.2343349754 , -15.3069162562 , +8.73530000E-05
36.4100000858 , 14 , +8.66814600E-05 , -18.2332315271 , -15.2664236453 , +8.76520000E-05
39.0099999905 , 15 , +8.73702600E-05 , -18.2322561576 , -15.7924334975 , +8.76520000E-05
41.6080000401 , 16 , +9.02234700E-05 , -18.2360394089 , -15.9200985222 , +8.73010000E-05
44.2070000172 , 17 , +8.99671600E-05 , -18.2323743842 , -15.9206108374 , +8.75220000E-05
46.8070001602 , 18 , +9.08072900E-05 , -18.2350640394 , -16.1871625616 , +8.75090000E-05
49.4070000648 , 19 , +9.31279800E-05 , -18.2353103448 , -16.4784729064 , +8.75480000E-05
52.0050001144 , 20 , +9.47342300E-05 , -18.2331133005 , -16.8422561576 , +8.78470000E-05
54.6050000191 , 21 , +9.54066000E-05 , -18.2331133005 , -16.8208571429 , +8.72880000E-05
57.2050001621 , 22 , +9.54363900E-05 , -18.2332315271 , -16.8224039409 , +8.77820000E-05
59.8040001392 , 23 , +9.83045600E-05 , -18.2345714286 , -17.4909064039 , +8.73790000E-05
62.4030001163 , 24 , +9.89658500E-05 , -18.2371428571 , -17.3634975369 , +8.71710000E-05
65.0020000935 , 25 , +1.07072610E-04 , -18.2345714286 , -19.3075073892 , +8.75350000E-05
67.5070002079 , 26 , +1.09373000E-04 , -18.23408867 , -19.2922857143 , +8.76520000E-05
70.0130000114 , 27 , +1.12837680E-04 , -18.2328669951 , -20.3198226601 , +8.74570000E-05
72.5199999809 , 28 , +1.15201250E-04 , -18.2327487685 , -20.3413596059 , +8.72620000E-05
75.0260000229 , 29 , +1.18890600E-04 , -18.2337241379 , -21.3491527094 , +8.79380000E-05
77.5300002098 , 30 , +1.21036450E-04 , -18.2327487685 , -21.3938916256 , +8.76000000E-05
80.0360000134 , 31 , +1.21342320E-04 , -18.2337241379 , -22.3929162562 , +8.79250000E-05
82.5420000553 , 32 , +1.28137860E-04 , -18.2356748768 , -22.5312807882 , +8.76130000E-05
85.0470001698 , 33 , +1.32240320E-04 , -18.23408867 , -25.254955665 , +8.76390000E-05
87.5530002117 , 34 , +1.44638800E-04 , -18.2334778325 , -25.5460098522 , +8.73140000E-05
90.0600001812 , 35 , +1.44582300E-04 , -18.2328669951 , -25.5581280788 , +8.78470000E-05
92.5650000572 , 36 , +1.64078970E-04 , -18.2377536946 , -29.6412512315 , +8.74050000E-05
95.0700001717 , 37 , +1.67982820E-04 , -18.234453202 , -29.6514384236 , +8.76130000E-05
97.5770001411 , 38 , +1.67066420E-04 , -18.2331133005 , -29.3419408867 , +8.75220000E-05
