Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
0.0,+9.24954200E-05,-1.49956800E-03,-14.7740689655,-2.40290000E-05
2.44199991226,+9.24875400E-05,-1.49911000E-03,-14.7695566502,-2.41330000E-05
4.60299992561,+9.24792500E-05,-1.49921500E-03,-14.770591133,-2.42760000E-05
6.76300001144,+9.24644300E-05,-1.49918900E-03,-14.7703349754,-2.45880000E-05
8.92299985886,+9.24580200E-05,-1.49925400E-03,-14.7709753695,-2.46790000E-05
11.0839998722,+9.24605600E-05,-1.49892700E-03,-14.7677536946,-2.44840000E-05
13.243999958,+9.24536100E-05,-1.49879600E-03,-14.7664630542,-2.50170000E-05
15.4059998989,+9.24681700E-05,-1.49979100E-03,-14.7762660099,-2.51080000E-05
17.5659999847,+9.25302800E-05,-1.49979100E-03,-14.7762660099,-2.51210000E-05
19.7269999981,+9.24222200E-05,-1.49877000E-03,-14.7662068966,-1.45371000E-04
21.8870000839,+9.18623200E-05,-1.48099500E-03,-14.5910837438,-5.31802000E-04
24.0479998589,+9.24843300E-05,-1.50028800E-03,-14.7811625616,-2.82680000E-05
26.2089998722,+9.23431500E-05,-1.49697700E-03,-14.7485418719,-2.57070000E-05
28.368999958,+9.25544500E-05,-1.50049800E-03,-14.7832315271,-2.57460000E-05
30.5290000439,+9.24928800E-05,-1.50047100E-03,-14.7829655172,-2.59800000E-05
32.6909999847,+9.25197300E-05,-1.50015700E-03,-14.7798719212,-2.63050000E-05
34.8519999981,+9.25026300E-05,-1.50036700E-03,-14.7819408867,-2.63180000E-05
37.0120000839,+9.25170500E-05,-1.50044500E-03,-14.7827093596,-2.65260000E-05
39.1729998589,+9.25238700E-05,-1.50013100E-03,-14.7796157635,-2.66430000E-05
41.3329999447,+9.25302800E-05,-1.50055000E-03,-14.7837438424,-2.68640000E-05
43.4930000305,+9.25378900E-05,-1.50031400E-03,-14.7814187192,-2.68510000E-05
45.6540000439,+9.25203900E-05,-1.50018300E-03,-14.7801280788,-2.71370000E-05
47.8139998913,+9.25349500E-05,-1.50039300E-03,-14.7821970443,-2.71630000E-05
49.9760000706,+9.25261400E-05,-1.50027500E-03,-14.7810344828,-2.75270000E-05
52.1370000839,+9.25314800E-05,-1.50060200E-03,-14.7842561576,-2.73450000E-05
54.2969999313,+9.25485800E-05,-1.50034100E-03,-14.7816847291,-2.73190000E-05
56.4579999447,+9.25380200E-05,-1.50052400E-03,-14.7834876847,-2.75660000E-05
58.618999958,+9.25281400E-05,-1.50030100E-03,-14.7812906404,-2.75790000E-05
60.7790000439,+9.25432300E-05,-1.50041900E-03,-14.782453202,-2.81380000E-05
62.9400000572,+9.25513800E-05,-1.50041900E-03,-14.782453202,-2.78000000E-05
65.0999999046,+9.25250700E-05,-1.50053700E-03,-14.7836157635,-2.77870000E-05
67.260999918,+1.13169320E-04,-1.97959400E-03,-19.5033891626,-2.82420000E-05
69.3289999962,+1.22840650E-04,-1.99272200E-03,-19.632729064,-2.82550000E-05
71.3959999084,+1.08855970E-04,-1.64657100E-03,-16.2223743842,-2.83200000E-05
73.4639999866,+9.25711500E-05,-1.50141400E-03,-14.7922561576,-2.83460000E-05
