Time (s),Temp Probe Voltage (V)
0.0,+5.69405130E-01
0.404000043869,+5.69523620E-01
0.802999973297,+5.69562200E-01
1.20199990273,+5.69648470E-01
1.60199999809,+5.69744860E-01
2.00199985504,+5.69817610E-01
2.40199995041,+5.69897120E-01
2.80099987984,+5.69967540E-01
3.2009999752,+5.70086670E-01
3.60099983215,+5.70236850E-01
4.0,+5.70381060E-01
4.39999985695,+5.70498240E-01
4.7990000248,+5.70582300E-01
5.19899988174,+5.70798340E-01
5.59899997711,+5.71430900E-01
5.99799990654,+5.72154010E-01
6.39800000191,+5.73038340E-01
6.79699993134,+5.74390630E-01
7.1970000267,+5.75915570E-01
7.59699988365,+5.77460960E-01
7.99699997902,+5.78990060E-01
8.39599990845,+5.80418610E-01
8.79600000381,+5.81657480E-01
9.19599986076,+5.82780200E-01
9.59599995613,+5.84215510E-01
9.9960000515,+5.85894270E-01
10.3959999084,+5.88063110E-01
10.7969999313,+5.90084850E-01
11.1970000267,+5.91813500E-01
11.5969998837,+2.41407140E-01
11.996999979,+5.87741180E-01
12.396999836,+2.45828410E-01
12.7960000038,+2.15723860E-02
13.2339999676,+3.40764000E-04
13.6729998589,+1.71598000E-04
14.1109998226,+2.85519700E-03
14.5490000248,+5.55815970E-01
14.9930000305,+6.06263230E-01
15.3919999599,+9.45253600E-02
15.8359999657,+1.14438000E-04
16.2749998569,+7.44568100E-02
16.7189998627,+6.10738330E-01
17.1180000305,+6.12200910E-01
17.5179998875,+6.13547870E-01
17.9169998169,+6.14575240E-01
18.3169999123,+4.17399550E-01
18.760999918,+6.04543670E-01
19.2039999962,+1.06943210E-01
19.6489999294,+5.95134000E-01
20.0479998589,+6.16130460E-01
20.4479999542,+4.51516710E-01
20.8480000496,+3.62511280E-01
21.246999979,+3.37723650E-01
21.646999836,+2.41449360E-01
22.0899999142,+4.19509810E-01
22.4900000095,+5.84463260E-01
23.0329999924,+5.62554290E-01
23.4329998493,+6.19933340E-01
23.8339998722,+6.16773410E-01
24.2330000401,+6.09187920E-01
24.632999897,+5.80221390E-01
25.0329999924,+1.87235230E-01
25.4319999218,+6.23076250E-01
25.8320000172,+4.28384580E-01
26.2319998741,+5.18841050E-01
26.6759998798,+6.23911610E-01
27.0759999752,+6.24169880E-01
27.4759998322,+6.24448420E-01
27.875,+6.24422690E-01
28.2749998569,+6.24376830E-01
28.6749999523,+6.24481420E-01
29.0739998817,+1.20634450E-01
29.4739999771,+1.60793000E-04
29.9129998684,+6.24882460E-01
