Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -1.01730100E-05 , -18.2917044335 , -34.5915960591 , +1.10628000E-04
3.7539999485 , 1 , -1.01372300E-05 , -18.2881576355 , -34.5903054187 , +1.10550000E-04
7.47899985313 , 2 , -1.00972800E-05 , -18.286817734 , -34.5886305419 , +1.10498000E-04
11.2049999237 , 3 , -1.01103700E-05 , -18.6432413793 , -34.5915960591 , +1.10602000E-04
14.9299998283 , 4 , -1.00904600E-05 , -18.6065024631 , -34.589270936 , +1.10615000E-04
18.6569998264 , 5 , -9.93073000E-06 , -20.1912413793 , -34.592364532 , +1.10563000E-04
22.381000042 , 6 , -9.85366000E-06 , -20.1841674877 , -34.5905615764 , +1.10615000E-04
26.1059999466 , 7 , -9.87035000E-06 , -20.1851428571 , -34.5927586207 , +1.10381000E-04
29.8309998512 , 8 , -9.80745000E-06 , -21.2963940887 , -34.5906896552 , +1.10459000E-04
33.5559999943 , 9 , -9.80276000E-06 , -21.3143349754 , -34.5897931034 , +1.10576000E-04
37.2819998264 , 10 , -9.73091000E-06 , -21.3436256158 , -34.5896650246 , +1.10355000E-04
41.0069999695 , 11 , -9.62045000E-06 , -22.7782167488 , -34.5893990148 , +1.10680000E-04
44.7319998741 , 12 , -9.65265000E-06 , -22.7874975369 , -34.5891428571 , +1.10147000E-04
48.4579999447 , 13 , -9.56570000E-06 , -24.2688374384 , -34.5922364532 , +1.10420000E-04
52.1829998493 , 14 , -9.49570000E-06 , -24.2482068966 , -34.5891428571 , +1.10602000E-04
55.9089999199 , 15 , -9.41223000E-06 , -25.2106699507 , -34.5930147783 , +1.10563000E-04
59.6339998245 , 16 , -9.42464000E-06 , -25.2323940887 , -34.5935270936 , +1.10823000E-04
63.3589999676 , 17 , -9.39393000E-06 , -26.3258226601 , -34.5944334975 , +1.10771000E-04
67.0839998722 , 18 , -9.37243000E-06 , -26.3279014778 , -34.5919802956 , +1.10537000E-04
70.8099999428 , 19 , -9.32434000E-06 , -26.2922561576 , -34.5896650246 , +1.10563000E-04
74.5349998474 , 20 , -9.27533000E-06 , -27.4174187192 , -34.5875960591 , +1.10498000E-04
78.2589998245 , 21 , -9.36481000E-06 , -27.4354876847 , -34.5909458128 , +1.10641000E-04
81.9839999676 , 22 , -9.23018000E-06 , -28.3143349754 , -34.5904334975 , +1.10797000E-04
85.7089998722 , 23 , -9.20653000E-06 , -28.3702364532 , -34.5888866995 , +1.10134000E-04
89.4349999428 , 24 , -9.25008000E-06 , -28.3760985222 , -34.5909458128 , +1.10316000E-04
93.1599998474 , 25 , -9.28333000E-06 , -28.3719408867 , -34.5888866995 , +1.10706000E-04
96.8849999905 , 26 , -9.10664000E-06 , -30.9592906404 , -34.593270936 , +1.10576000E-04
100.608999968 , 27 , -9.06989000E-06 , -30.881408867 , -34.5886305419 , +1.10160000E-04
104.333999872 , 28 , -8.99764000E-06 , -32.2680295567 , -34.5906896552 , +1.10472000E-04
108.059999943 , 29 , -9.11117000E-06 , -32.2133497537 , -34.5906896552 , +1.10940000E-04
111.784999847 , 30 , -8.82308000E-06 , -35.8971724138 , -34.5904334975 , +1.10732000E-04
115.50999999 , 31 , -8.78648000E-06 , -35.867270936 , -34.5852807882 , +1.10368000E-04
119.234999895 , 32 , -8.65597000E-06 , -38.8594876847 , -34.5888866995 , +1.10680000E-04
122.960999966 , 33 , -8.67629000E-06 , -38.7698916256 , -34.5904334975 , +1.10667000E-04
126.684999943 , 34 , -8.65145000E-06 , -38.7850246305 , -34.5839901478 , +1.10264000E-04
130.409999847 , 35 , -8.55929000E-06 , -40.7703743842 , -34.5875960591 , +1.10511000E-04
134.13499999 , 36 , -8.57291000E-06 , -40.7936847291 , -34.5925024631 , +1.10628000E-04
137.858999968 , 37 , -8.61618000E-06 , -40.727408867 , -34.5912118227 , +1.10771000E-04
141.585000038 , 38 , -8.44615000E-06 , -45.7172906404 , -34.5865615764 , +1.10459000E-04
145.309999943 , 39 , -8.47554000E-06 , -45.740729064 , -34.5886305419 , +1.10563000E-04
149.034999847 , 40 , -8.47274000E-06 , -51.5844334975 , -34.5909458128 , +1.10459000E-04
152.75999999 , 41 , -8.54098000E-06 , -51.6262955665 , -34.5885024631 , +1.10953000E-04
156.485999823 , 42 , -8.66560000E-06 , -55.6827783251 , -34.5912118227 , +1.10628000E-04
160.211999893 , 43 , -8.58974000E-06 , -55.8063054187 , -34.5886305419 , +1.10875000E-04
163.937000036 , 44 , -8.58038000E-06 , -58.4761576355 , -34.5873399015 , +1.10602000E-04
167.661999941 , 45 , -8.90828000E-06 , -60.9286206897 , -34.5901773399 , +1.10875000E-04
171.385999918 , 46 , -8.94702000E-06 , -61.8786502463 , -34.589270936 , +1.10771000E-04
175.111999989 , 47 , -9.24901000E-06 , -66.7381674877 , -34.5883743842 , +1.10849000E-04
178.837999821 , 48 , -9.20880000E-06 , -66.7039901478 , -34.5888866995 , +1.10537000E-04
182.562999964 , 49 , -9.79114000E-06 , -73.4787783251 , -34.5901773399 , +1.10719000E-04
186.289000034 , 50 , -1.04284000E-05 , -81.2310344828 , -34.5870837438 , +1.10823000E-04
190.013999939 , 51 , -1.03699000E-05 , -81.569270936 , -34.5904334975 , +1.10459000E-04
193.74000001 , 52 , -1.10021900E-05 , -88.4619901478 , -34.5953300493 , +1.10446000E-04
197.464999914 , 53 , -1.11440300E-05 , -88.1203448276 , -34.5899211823 , +1.10732000E-04
201.188999891 , 54 , -1.16839000E-05 , -96.8684926108 , -34.5883743842 , +1.10602000E-04
204.912999868 , 55 , -1.16144500E-05 , -96.2501280788 , -34.5888866995 , +1.10667000E-04
208.638000011 , 56 , -1.16252700E-05 , -96.0222463054 , -34.5901773399 , +1.10680000E-04
212.363999844 , 57 , -1.17076800E-05 , -96.4654482759 , -34.5917241379 , +1.10368000E-04
216.089999914 , 58 , -1.16622700E-05 , -96.7372807882 , -34.5919802956 , +1.10784000E-04
219.813999891 , 59 , -1.20094000E-05 , -102.144857143 , -34.5875960591 , +1.11096000E-04
223.523000002 , 60 , -1.19730800E-05 , -101.816630542 , -34.5899211823 , +1.10888000E-04
227.230999947 , 61 , -1.20091200E-05 , -101.853004926 , -34.5899211823 , +1.10576000E-04
230.940000057 , 62 , -1.26706900E-05 , -114.550246305 , -34.5901773399 , +1.10602000E-04
234.648999929 , 63 , -1.27008700E-05 , -114.758847291 , -34.5958522167 , +1.10719000E-04
238.356999874 , 64 , -1.27218300E-05 , -114.622384236 , -34.5881182266 , +1.11122000E-04
242.063999891 , 65 , -1.14322700E-05 , -150.473399015 , -34.5912118227 , +1.10329000E-04
245.773000002 , 66 , -1.13799000E-05 , -150.752059113 , -34.5877241379 , +1.10602000E-04
249.481999874 , 67 , -1.14294600E-05 , -139.705852217 , -34.5917241379 , +1.10654000E-04
253.190000057 , 68 , -1.25335100E-05 , -134.350147783 , -34.5883743842 , +1.10420000E-04
