Time (s) 	 Counter 	 SQUID voltage (V) 	 Calculated Mod Coil Current (uA) 	 Calculated Squid Current (uA) 	 Temp Probe Voltage (V) 				
0	0	-2.14E-05	-18.29585222	-44.30455172	1.11E-04			18.29585222	2.14E-05
3.75	1	-2.14E-05	-18.30280788	-44.30326108	1.11E-04			18.30280788	2.14E-05
7.474999905	2	-2.14E-05	-18.30427586	-44.3006798	1.11E-04			18.30427586	2.14E-05
11.20000005	3	-2.13E-05	-19.49217734	-44.30364532	1.11E-04			19.49217734	2.13E-05
14.92600012	4	-2.12E-05	-19.53124138	-44.30235468	1.11E-04			19.53124138	2.12E-05
18.65100002	5	-2.09E-05	-21.58091626	-44.29938916	1.11E-04			21.58091626	2.09E-05
22.375	6	-2.06E-05	-23.97442365	-44.30570443	1.11E-04			23.97442365	2.06E-05
26.0999999	7	-2.07E-05	-23.94464039	-44.30402956	1.11E-04			23.94464039	2.07E-05
29.82500005	8	-2.03E-05	-26.60094581	-44.30351724	1.11E-04			26.60094581	2.03E-05
33.55100012	9	-1.97E-05	-32.35176355	-44.30248276	1.11E-04			32.35176355	1.97E-05
37.27600002	10	-1.97E-05	-32.34895567	-44.3037734	1.11E-04			32.34895567	1.97E-05
41.00099993	11	-1.92E-05	-37.7504335	-44.30570443	1.11E-04			37.7504335	1.92E-05
44.727	12	-1.92E-05	-37.58846305	-44.30480788	1.11E-04			37.58846305	1.92E-05
48.4519999	13	-1.88E-05	-43.37981281	-44.30480788	1.11E-04			43.37981281	1.88E-05
52.17799997	14	-1.88E-05	-43.99793103	-44.30712315	1.11E-04			43.99793103	1.88E-05
55.90300012	15	-1.86E-05	-50.57925123	-44.30455172	1.11E-04			50.57925123	1.86E-05
59.62800002	16	-1.86E-05	-50.38614778	-44.29126108	1.11E-04			50.38614778	1.86E-05
63.35299993	17	-1.89E-05	-57.29972414	-44.28984236	1.11E-04			57.29972414	1.89E-05
67.079	18	-1.89E-05	-57.06122167	-44.29010837	1.11E-04			57.06122167	1.89E-05
70.80500007	19	-2.01E-05	-71.94446305	-44.29307389	1.11E-04			71.94446305	2.01E-05
74.52999997	20	-2.01E-05	-71.98937931	-44.29139901	1.11E-04			71.98937931	2.01E-05
78.25500011	21	-2.22E-05	-88.35481773	-44.29500493	1.11E-04			88.35481773	2.22E-05
81.98000002	22	-2.17E-05	-80.98007882	-44.28984236	1.11E-04			80.98007882	2.17E-05
85.70600009	23	-2.14E-05	-81.98427586	-44.28829557	1.11E-04			81.98427586	2.14E-05
89.43099999	24	-2.13E-05	-81.69560591	-44.28984236	1.10E-04			81.69560591	2.13E-05
93.1559999	25	-2.37E-05	-104.4561182	-44.28829557	1.11E-04			104.4561182	2.37E-05
96.86400008	26	-2.37E-05	-104.6088177	-44.29307389	1.11E-04			104.6088177	2.37E-05
100.572	27	-2.33E-05	-99.40347783	-44.29345813	1.11E-04			99.40347783	2.33E-05
104.2809999	28	-2.32E-05	-99.27408867	-44.28984236	1.11E-04			99.27408867	2.32E-05
107.99	29	-2.37E-05	-143.9360197	-44.29191133	1.11E-04			143.9360197	2.37E-05
111.698	30	-2.37E-05	-140.5508867	-44.29139901	1.11E-04			140.5508867	2.37E-05
115.4059999	31	-2.45E-05	-127.1519015	-44.28856158	1.11E-04			127.1519015	2.45E-05
119.1140001	32	-2.46E-05	-122.8988966	-44.28778325	1.11E-04			122.8988966	2.46E-05
122.823	33	-2.42E-05	-114.0987389	-44.28752709	1.11E-04			114.0987389	2.42E-05
126.5320001	34	-2.43E-05	-114.0344138	-44.2859803	1.11E-04			114.0344138	2.43E-05
130.2409999	35	-2.45E-05	-137.9812414	-44.28856158	1.11E-04			137.9812414	2.45E-05
133.9490001	36	-1.98E-05	-177.8401281	-44.28803941	1.11E-04			177.8401281	1.98E-05
137.658	37	-1.98E-05	-174.3664926	-44.28572414	1.11E-04			174.3664926	1.98E-05
141.3670001	38	-2.22E-05	-159.1716453	-44.28494581	1.11E-04			159.1716453	2.22E-05
145.076	39	-2.23E-05	-159.156266	-44.28494581	1.11E-04			159.156266	2.23E-05
148.7839999	40	-2.15E-05	-237.1115665	-44.28545813	1.11E-04			237.1115665	2.15E-05
152.4920001	41	-2.25E-05	-237.6426601	-44.2844335	1.11E-04			237.6426601	2.25E-05
156.2019999	42	-1.93E-05	-195.2412414	-44.28378325	1.11E-04			195.2412414	1.93E-05
159.9089999	43	-1.87E-05	-199.4594581	-44.28262069	1.11E-04			199.4594581	1.87E-05
163.618	44	-2.20E-05	-161.7910936	-44.28262069	1.11E-04			161.7910936	2.20E-05
167.326	45	-2.19E-05	-162.3498916	-44.28159606	1.11E-04			162.3498916	2.19E-05
171.0339999	46	-1.96E-05	-190.8276059	-44.28816749	1.11E-04			190.8276059	1.96E-05
174.743	47	-1.89E-05	-190.4128473	-44.28907389	1.11E-04			190.4128473	1.89E-05
178.451	48	-1.94E-05	-182.630936	-44.28971429	1.11E-04			182.630936	1.94E-05
182.1600001	49	-1.95E-05	-182.9841773	-44.28803941	1.11E-04			182.9841773	1.95E-05
185.869	50	-2.38E-05	-287.9192512	-44.28623645	1.11E-04			287.9192512	2.38E-05
189.5769999	51	-2.20E-05	-226.4215468	-44.28727094	1.11E-04			226.4215468	2.20E-05
193.2869999	52	-2.34E-05	-272.8911429	-44.28662069	1.11E-04			272.8911429	2.34E-05
196.9960001	53	-2.38E-05	-260.7386798	-44.28958621	1.11E-04			260.7386798	2.38E-05
200.704	54	-2.12E-05	-231.2957044	-44.28649261	1.10E-04			231.2957044	2.12E-05
204.4119999	55	-2.24E-05	-236.7016946	-44.28752709	1.11E-04			236.7016946	2.24E-05
208.1210001	56	-2.30E-05	-242.2797833	-44.2813399	1.11E-04			242.2797833	2.30E-05
211.8299999	57	-2.43E-05	-277.49067	-44.28907389	1.11E-04			277.49067	2.43E-05
215.5380001	58	-2.46E-05	-274.6075764	-44.28803941	1.11E-04			274.6075764	2.46E-05
219.2460001	59	-2.37E-05	-291.0008177	-44.2859803	1.11E-04			291.0008177	2.37E-05
222.9549999	60	-2.39E-05	-288.3022759	-44.28829557	1.11E-04			288.3022759	2.39E-05
