Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA),SQUID Loop Voltage (V),Calculated Squid Current (uA)
0.0,+3.72000000E-07,0.00368316831683,-1.63522300E-03,-16.1903267327
0.892999887466,+8.70000000E-08,0.000861386138614,-1.63519600E-03,-16.1900594059
1.76900005341,+1.86000000E-07,0.00184158415842,-1.63511800E-03,-16.1892871287
2.64400005341,+5.33000000E-07,0.00527722772277,-1.63527500E-03,-16.1908415842
3.51900005341,+4.09000000E-07,0.0040495049505,-1.63538000E-03,-16.1918811881
4.39499998093,+5.58000000E-07,0.00552475247525,-1.63527500E-03,-16.1908415842
5.26999998093,+6.81000000E-07,0.00674257425743,-1.63501300E-03,-16.1882475248
6.14499998093,+6.32000000E-07,0.00625742574257,-1.63517000E-03,-16.1898019802
7.01999998093,-2.35000000E-07,-0.00232673267327,-1.63519600E-03,-16.1900594059
7.89499998093,+3.59000000E-07,0.00355445544554,-1.63507900E-03,-16.1889009901
8.76999998093,+4.96000000E-07,0.00491089108911,-1.63493500E-03,-16.1874752475
9.64599990845,+3.22000000E-07,0.00318811881188,-1.63517000E-03,-16.1898019802
10.5209999084,+2.48000000E-07,0.00245544554455,-1.63527500E-03,-16.1908415842
11.3959999084,+5.00000000E-08,0.00049504950495,-1.63515700E-03,-16.1896732673
12.2709999084,+1.98000000E-07,0.0019603960396,-1.63493500E-03,-16.1874752475
13.1459999084,+2.97000000E-07,0.00294059405941,-1.63530100E-03,-16.1910990099
14.0220000744,+5.20000000E-07,0.00514851485149,-1.63469900E-03,-16.1851386139
14.8959999084,+1.12000000E-07,0.00110891089109,-1.63522300E-03,-16.1903267327
15.7709999084,+3.72000000E-07,0.00368316831683,-1.63540600E-03,-16.1921386139
16.6459999084,+2.23000000E-07,0.00220792079208,-1.63540600E-03,-16.1921386139
17.5209999084,+1.98000000E-07,0.0019603960396,-1.63496100E-03,-16.1877326733
18.3949999809,+2.73000000E-07,0.00270297029703,-1.63509200E-03,-16.189029703
19.2699999809,+0.00000000E-09,0.0,-1.63514400E-03,-16.1895445545
20.1449999809,+2.85000000E-07,0.00282178217822,-1.63501300E-03,-16.1882475248
21.0199999809,+7.40000000E-08,0.000732673267327,-1.63511800E-03,-16.1892871287
21.8949999809,+2.85000000E-07,0.00282178217822,-1.63496100E-03,-16.1877326733
22.7699999809,+5.00000000E-08,0.00049504950495,-1.63561500E-03,-16.1942079208
23.6440000534,+0.00000000E-09,0.0,-1.63488200E-03,-16.186950495
24.5190000534,+2.97000000E-07,0.00294059405941,-1.63540600E-03,-16.1921386139
25.3940000534,+0.00000000E-09,0.0,-1.63506500E-03,-16.1887623762
26.2679998875,-1.77918700E-03,-17.6157128713,-1.63553700E-03,-16.1934356436
27.1429998875,-1.77871600E-03,-17.611049505,-1.63501300E-03,-16.1882475248
28.0179998875,-1.77893900E-03,-17.6132574257,-1.63506500E-03,-16.1887623762
28.8929998875,-1.77892700E-03,-17.6131386139,-1.63514400E-03,-16.1895445545
29.7690000534,-1.77905100E-03,-17.6143663366,-1.63524900E-03,-16.1905841584
30.6440000534,-1.77896400E-03,-17.6135049505,-1.63501300E-03,-16.1882475248
31.5190000534,-1.77880300E-03,-17.6119108911,-1.63511800E-03,-16.1892871287
32.3940000534,-1.77859200E-03,-17.6098217822,-1.63524900E-03,-16.1905841584
33.2699999809,-1.77889000E-03,-17.6127722772,-1.63535300E-03,-16.1916138614
34.1459999084,-1.77879100E-03,-17.6117920792,-1.63493500E-03,-16.1874752475
35.0209999084,-1.77877800E-03,-17.6116633663,-1.63496100E-03,-16.1877326733
35.8959999084,-1.77833200E-03,-17.6072475248,-1.63490800E-03,-16.1872079208
36.7709999084,-1.77849300E-03,-17.6088415842,-1.63509200E-03,-16.189029703
