Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
0.0,-1.63252600E-03,-16.1636237624
0.452999830246,-1.63242200E-03,-16.1625940594
0.891000032425,-1.63265700E-03,-16.1649207921
1.32899999619,-1.63263100E-03,-16.1646633663
1.76600003242,-1.63263100E-03,-16.1646633663
2.20399999619,-1.63270900E-03,-16.1654356436
2.64199995995,-1.63263100E-03,-16.1646633663
3.07999992371,-1.63252600E-03,-16.1636237624
3.51699995995,-1.63268300E-03,-16.1651782178
3.95499992371,-1.63582500E-03,-16.1962871287
4.39299988747,-1.63247400E-03,-16.1631089109
4.83099985123,-1.63113900E-03,-16.1498910891
5.26900005341,-1.63134800E-03,-16.151960396
5.70599985123,-1.63142700E-03,-16.1527425743
6.14400005341,-1.63149200E-03,-16.1533861386
6.58200001717,-1.63132200E-03,-16.1517029703
7.01900005341,-1.63159700E-03,-16.1544257426
7.45700001717,-1.63170200E-03,-16.1554653465
7.89499998093,-1.63154500E-03,-16.1539108911
8.33200001717,-3.47578000E-04,-3.44136633663
8.76999998093,-2.58380000E-05,-0.255821782178
9.20799994469,-1.57460000E-05,-0.155900990099
9.64599990845,-1.82980000E-05,-0.181168316832
10.0839998722,-7.86600000E-06,-0.0778811881188
10.521999836,+2.21845500E-03,21.9649009901
10.9600000381,-1.49790000E-04,-1.48306930693
11.3980000019,-3.16620000E-05,-0.313485148515
11.8359999657,-1.97770000E-05,-0.195811881188
12.2730000019,-3.95160000E-05,-0.391247524752
12.7119998932,+2.49080000E-05,0.246613861386
13.1489999294,+2.07434000E-04,2.0538019802
13.5879998207,-5.03638000E-04,-4.98651485149
14.0260000229,+3.83887000E-04,3.80086138614
14.4639999866,-2.59843000E-03,-25.727029703
14.885999918,-1.88979000E-04,-1.87107920792
15.3239998817,-1.16269000E-04,-1.15117821782
15.7619998455,+4.67683000E-04,4.63052475248
16.2000000477,-2.46860000E-05,-0.244415841584
16.6380000114,-1.13134900E-03,-11.2014752475
17.0759999752,-1.62827200E-03,-16.1215049505
17.513999939,-1.62916200E-03,-16.1303168317
17.9519999027,-1.62806300E-03,-16.1194356436
18.3899998665,+1.79594000E-04,1.77815841584
18.8279998302,-2.24610000E-05,-0.222386138614
19.2669999599,-1.58510000E-05,-0.156940594059
19.7039999962,-2.41100000E-05,-0.238712871287
20.1429998875,+3.67800000E-06,0.0364158415842
20.5809998512,-2.34290000E-05,-0.23197029703
21.0179998875,+5.74340000E-05,0.568653465347
21.4559998512,-3.33640000E-05,-0.330336633663
21.8940000534,-1.16880000E-05,-0.115722772277
22.3329999447,-1.39920000E-05,-0.138534653465
22.7699999809,-9.09700000E-06,-0.0900693069307
23.2079999447,-1.69500000E-05,-0.167821782178
23.646999836,-7.86600000E-06,-0.0778811881188
24.0850000381,-1.26050000E-05,-0.124801980198
24.5230000019,-1.15310000E-05,-0.114168316832
24.9619998932,-1.23950000E-05,-0.122722772277
25.3999998569,-7.27700000E-06,-0.0720495049505
25.8379998207,-1.26310000E-05,-0.125059405941
26.2760000229,-1.28930000E-05,-0.127653465347
26.7139999866,-9.09700000E-06,-0.0900693069307
27.1519999504,-1.22380000E-05,-0.121168316832
27.5899999142,-1.19240000E-05,-0.118059405941
28.0290000439,-1.09290000E-05,-0.108207920792
28.4670000076,-1.17930000E-05,-0.116762376238
28.9049999714,-1.43320000E-05,-0.141900990099
29.3429999352,-1.29970000E-05,-0.128683168317
29.7809998989,-1.09550000E-05,-0.108465346535
30.2189998627,-1.06150000E-05,-0.105099009901
30.6569998264,-1.40970000E-05,-0.139574257426
31.0959999561,-1.27360000E-05,-0.126099009901
31.5339999199,-8.91400000E-06,-0.0882574257426
31.9719998837,-1.54840000E-05,-0.153306930693
32.4099998474,-1.15710000E-05,-0.114564356436
32.8480000496,-1.32590000E-05,-0.131277227723
33.2869999409,-8.90000000E-07,-0.00881188118812
33.7249999046,-1.50650000E-05,-0.149158415842
34.1629998684,-7.14700000E-06,-0.0707623762376
34.6009998322,-1.43060000E-05,-0.141643564356
35.0390000343,-7.67000000E-06,-0.0759405940594
35.4769999981,-1.85470000E-05,-0.183633663366
