Counter,Time(s),Magnet Current(A)
0,0.0909998416901,0.001
1,0.198999881744,0.002
2,0.319000005722,0.001
3,0.439999818802,0.001
4,0.561999797821,0.002
5,0.668999910355,0.004
6,0.788999795914,0.005
7,0.910999774933,0.005
8,1.03299999237,0.006
9,1.15399980545,0.008
10,1.26099991798,0.01
11,1.38199996948,0.011
12,1.50299978256,0.014
13,1.6099998951,0.016
14,1.72999978065,0.022
15,1.85199999809,0.024
16,1.97399997711,0.028
17,2.09499979019,0.032
18,2.20199990273,0.037
19,2.32299995422,0.041
20,2.44400000572,0.044
21,2.5649998188,0.05
22,2.67199993134,0.055
23,2.79299998283,0.06
24,2.91399979591,0.065
25,3.03599977493,0.069
26,3.14299988747,0.074
27,3.26399993896,0.078
28,3.38599991798,0.087
29,3.53499984741,0.091
30,3.65699982643,0.096
31,3.77899980545,0.1
32,3.88599991798,0.106
33,4.00599980354,0.109
34,4.12799978256,0.113
35,4.24899983406,0.121
36,4.40099978447,0.126
37,4.52300000191,0.131
38,4.64499998093,0.136
39,4.75299978256,0.141
40,4.87299990654,0.145
41,4.99499988556,0.15
42,5.11699986458,0.156
43,5.2389998436,0.16
44,5.34599995613,0.166
45,5.46599984169,0.17
46,5.58799982071,0.175
47,5.70999979973,0.179
48,5.81699991226,0.186
49,5.9359998703,0.189
50,6.05799984932,0.193
51,6.17899990082,0.2
52,6.28599977493,0.205
53,6.40699982643,0.209
54,6.52899980545,0.213
55,6.65099978447,0.219
56,6.77300000191,0.223
57,6.88099980354,0.229
58,7.00099992752,0.235
59,7.15099978447,0.241
60,7.27300000191,0.245
61,7.39499998093,0.249
62,7.51699995995,0.254
63,7.62399983406,0.259
64,7.7429997921,0.263
65,7.86500000954,0.268
66,7.98699998856,0.275
67,8.09399986267,0.28
68,8.21399998665,0.283
69,8.33599996567,0.29
70,8.45799994469,0.294
71,8.57899999619,0.3
72,8.6859998703,0.305
73,8.8069999218,0.31
74,8.95999979973,0.314
75,9.07999992371,0.318
76,9.19999980927,0.325
77,9.3069999218,0.329
78,9.42599987984,0.333
79,9.54799985886,0.338
80,9.66999983788,0.344
81,9.77799987793,0.349
82,9.89699983597,0.353
83,10.0179998875,0.359
84,10.1399998665,0.364
85,10.246999979,0.369
86,10.3669998646,0.373
87,10.4889998436,0.378
88,10.6109998226,0.383
89,10.7329998016,0.39
90,10.8399999142,0.393
91,10.9609999657,0.398
92,11.0829999447,0.405
93,11.2329998016,0.409
94,11.3549997807,0.415
95,11.4779999256,0.419
96,11.5849997997,0.425
97,11.7029998302,0.428
98,11.8249998093,0.434
99,11.9459998608,0.439
100,12.0529999733,0.444
101,12.1739997864,0.449
102,12.2960000038,0.452
103,12.4179999828,0.461
104,12.5719997883,0.466
105,12.6940000057,0.471
106,12.8159999847,0.475
107,12.9379999638,0.48
108,13.0460000038,0.484
109,13.1639997959,0.488
110,13.2859997749,0.494
111,13.4079999924,0.499
112,13.5149998665,0.505
113,13.6349999905,0.509
114,13.7569999695,0.515
115,13.8789999485,0.519
116,14.0009999275,0.525
117,14.1079998016,0.528
118,14.2289998531,0.536
119,14.3809998035,0.54
120,14.5009999275,0.544
121,14.6229999065,0.549
122,14.7449998856,0.554
123,14.8669998646,0.561
124,14.9739999771,0.565
125,15.0949997902,0.568
126,15.2159998417,0.574
127,15.3379998207,0.58
128,15.4459998608,0.584
129,15.5649998188,0.588
130,15.6859998703,0.594
131,15.8079998493,0.598
132,15.9149999619,0.603
133,16.0349998474,0.608
134,16.1569998264,0.614
135,16.2789998055,0.617
136,16.385999918,0.624
137,16.504999876,0.628
138,16.626999855,0.632
139,16.7489998341,0.638
140,16.8569998741,0.642
141,16.9759998322,0.649
142,17.1459999084,0.653
143,17.2679998875,0.659
144,17.3759999275,0.664
145,17.4949998856,0.668
146,17.6169998646,0.674
147,17.7389998436,0.678
148,17.8459999561,0.683
149,17.9659998417,0.687
150,18.0879998207,0.693
151,18.2099997997,0.698
152,18.3309998512,0.706
153,18.4849998951,0.71
154,18.6069998741,0.715
155,18.7279999256,0.719
156,18.8349997997,0.725
157,18.9559998512,0.729
158,19.0779998302,0.733
159,19.1999998093,0.738
160,19.3219997883,0.744
161,19.4289999008,0.749
162,19.5489997864,0.753
163,19.6710000038,0.761
164,19.8209998608,0.765
165,19.9429998398,0.769
166,20.0649998188,0.776
167,20.1729998589,0.78
168,20.2919998169,0.784
169,20.4139997959,0.788
170,20.5359997749,0.795
171,20.6429998875,0.799
172,20.762999773,0.802
173,20.8839998245,0.808
174,21.0059998035,0.813
175,21.1129999161,0.818
176,21.2319998741,0.822
177,21.3529999256,0.829
178,21.4599997997,0.834
179,21.626999855,0.838
180,21.7479999065,0.845
181,21.8549997807,0.849
182,21.9759998322,0.854
183,22.0979998112,0.858
184,22.2199997902,0.864
185,22.3420000076,0.868
186,22.4489998817,0.874
187,22.5690000057,0.878
188,22.6909999847,0.883
189,22.8129999638,0.888
190,22.9349999428,0.894
191,23.0419998169,0.898
192,23.1629998684,0.902
193,23.2849998474,0.909
194,23.4339997768,0.914
195,23.5559999943,0.919
196,23.6779999733,0.924
197,23.7859997749,0.93
198,23.9059998989,0.935
199,24.0279998779,0.939
200,24.1489999294,0.946
201,24.3009998798,0.949
202,24.4229998589,0.955
203,24.5449998379,0.959
204,24.6519999504,0.965
205,24.771999836,0.97
206,24.893999815,0.974
207,25.015999794,0.98
208,25.1229999065,0.985
209,25.2419998646,0.988
210,25.3629999161,0.993
211,25.4849998951,0.999
212,25.5920000076,1.003
213,25.7119998932,1.007
214,25.8329999447,1.013
215,25.9549999237,1.018
216,26.0619997978,1.024
217,26.1819999218,1.027
218,26.3039999008,1.033
219,26.4259998798,1.039
220,26.5779998302,1.043
221,26.6999998093,1.049
222,26.8219997883,1.054
223,26.9289999008,1.06
224,27.0489997864,1.063
225,27.1710000038,1.068
226,27.2929999828,1.072
227,27.4149999619,1.079
228,27.521999836,1.083
229,27.6419999599,1.088
230,27.762999773,1.093
231,27.8849999905,1.099
232,27.9919998646,1.103
233,28.1129999161,1.106
234,28.2339999676,1.115
235,28.388999939,1.119
236,28.5089998245,1.124
237,28.629999876,1.129
238,28.7509999275,1.135
239,28.8579998016,1.139
240,28.9799997807,1.143
241,29.1019999981,1.151
242,29.2239999771,1.154
243,29.3309998512,1.159
244,29.4499998093,1.163
245,29.5719997883,1.169
246,29.6940000057,1.173
247,29.8009998798,1.179
248,29.9199998379,1.183
249,30.0419998169,1.187
250,30.1639997959,1.193
251,30.271999836,1.198
252,30.3899998665,1.202
253,30.5099999905,1.206
254,30.6169998646,1.213
255,30.7369999886,1.217
256,30.8579998016,1.221
257,30.9789998531,1.228
258,31.1119999886,1.233
259,31.2319998741,1.237
260,31.3539998531,1.242
261,31.4759998322,1.247
262,31.5839998722,1.252
263,31.7029998302,1.257
264,31.8249998093,1.261
265,31.9459998608,1.266
266,32.0529999733,1.272
267,32.1729998589,1.277
268,32.2949998379,1.281
269,32.4159998894,1.286
270,32.5230000019,1.29
271,32.6429998875,1.295
272,32.763999939,1.3
273,32.8849999905,1.305
274,32.9919998646,1.31
275,33.1129999161,1.315
276,33.2339999676,1.32
277,33.3559999466,1.324
278,33.4629998207,1.33
279,33.5829999447,1.334
280,33.7049999237,1.342
281,33.8539998531,1.346
282,33.9759998322,1.35
283,34.0819997787,1.357
284,34.2019999027,1.36
285,34.3239998817,1.364
286,34.4449999332,1.37
287,34.5519998074,1.376
288,34.6729998589,1.381
289,34.7949998379,1.384
290,34.9169998169,1.391
291,35.0389997959,1.397
292,35.1909999847,1.401
293,35.3119997978,1.406
294,35.4189999104,1.412
295,35.5389997959,1.416
296,35.6609997749,1.42
297,35.7819998264,1.427
298,35.8899998665,1.431
299,36.0089998245,1.435
300,36.129999876,1.44
301,36.2509999275,1.444
302,36.3579998016,1.451
303,36.5269999504,1.455
304,36.6480000019,1.462
305,36.754999876,1.466
306,36.875,1.47
307,36.996999979,1.475
308,37.118999958,1.482
309,37.2409999371,1.486
310,37.3489999771,1.492
311,37.4689998627,1.496
312,37.5909998417,1.5
313,37.763999939,1.508
314,37.887999773,1.513
315,38.0089998245,1.516
316,38.1159999371,1.519
317,38.2349998951,1.519
318,38.3559999466,1.518
319,38.4629998207,1.518
320,38.5829999447,1.517
321,38.7049999237,1.516
322,38.8259999752,1.513
323,38.9329998493,1.512
324,39.0529999733,1.51
325,39.1739997864,1.506
326,39.2960000038,1.504
327,39.4029998779,1.5
328,39.5230000019,1.496
329,39.6449999809,1.491
330,39.765999794,1.488
331,39.8729999065,1.483
332,39.9929997921,1.479
333,40.1139998436,1.474
334,40.2199997902,1.469
335,40.3399999142,1.466
336,40.4619998932,1.457
337,40.6109998226,1.453
338,40.7329998016,1.45
339,40.8549997807,1.443
340,40.9619998932,1.439
341,41.0829999447,1.434
342,41.2039999962,1.429
343,41.3259999752,1.423
344,41.4329998493,1.419
345,41.5529999733,1.415
346,41.6749999523,1.409
347,41.7969999313,1.404
348,41.9189999104,1.399
349,42.0259997845,1.394
350,42.146999836,1.39
351,42.268999815,1.385
352,42.390999794,1.378
353,42.512999773,1.374
354,42.6199998856,1.369
355,42.7409999371,1.366
356,42.8629999161,1.36
357,42.9839999676,1.356
358,43.0920000076,1.349
359,43.2109999657,1.345
360,43.3329999447,1.341
361,43.4549999237,1.335
362,43.5609998703,1.331
363,43.6809999943,1.326
364,43.8019998074,1.321
365,43.9239997864,1.316
366,44.0309998989,1.312
367,44.1519999504,1.306
368,44.2739999294,1.301
369,44.3959999084,1.296
370,44.5169999599,1.291
371,44.6239998341,1.285
372,44.7699999809,1.281
373,44.8919999599,1.275
374,45.013999939,1.272
375,45.1209998131,1.266
376,45.2400000095,1.262
377,45.3619999886,1.256
378,45.4839999676,1.251
379,45.5909998417,1.246
380,45.7109999657,1.242
381,45.8329999447,1.238
382,45.9539999962,1.231
383,46.0609998703,1.226
384,46.1799998283,1.222
385,46.3009998798,1.217
386,46.4089999199,1.212
387,46.5279998779,1.208
388,46.6499998569,1.204
389,46.771999836,1.197
390,46.8789999485,1.19
391,47.0469999313,1.186
392,47.1679999828,1.181
393,47.2749998569,1.175
394,47.3949999809,1.172
395,47.5169999599,1.169
396,47.637999773,1.162
397,47.7449998856,1.157
398,47.8650000095,1.152
399,47.9869999886,1.147
400,48.1089999676,1.142
401,48.2159998417,0.138
402,48.3349997997,1.134
403,48.4569997787,1.127
