Counter,Time(s),Magnet Current(A)
0,0.0190000534058,0.0
1,0.108000040054,0.0
2,0.185000181198,0.0
3,0.272000074387,0.0
4,0.348999977112,0.0
5,0.426000118256,0.0
6,0.503000020981,0.0
7,0.580000162125,0.0
8,0.672000169754,0.0
9,0.749000072479,0.0
10,0.826000213623,0.0
11,0.903000116348,0.0
12,0.981000185013,0.0
13,1.07100009918,0.0
14,1.14900016785,0.0
15,1.22600007057,0.0
16,1.30300021172,0.0
17,1.38000011444,0.0
18,1.45700001717,0.0
19,1.5490000248,0.0
20,1.62600016594,0.0
21,1.70399999619,0.0
22,1.78000020981,0.0
23,1.85700011253,0.0
24,1.93400001526,0.0
25,2.0110001564,0.0
26,2.09300017357,0.0
27,2.17000007629,0.0
28,2.24699997902,0.0
29,2.32400012016,0.0
30,2.40100002289,0.0
31,2.49300003052,0.0
32,2.57000017166,0.0
33,2.64700007439,0.0
34,2.72500014305,0.0
35,2.80200004578,0.0
36,2.89300012589,0.0
37,2.97100019455,0.0
38,3.04800009727,0.0
