Counter,Time(s),
0,0.0160000324249,IOUT   0.00
1,0.104000091553,IOUT   0.00
2,0.180999994278,IOUT   0.00
3,0.269999980927,IOUT   0.00
4,0.34700012207,IOUT   0.00
5,0.424000024796,IOUT   0.00
6,0.501000165939,IOUT   0.00
7,0.578000068665,IOUT   0.00
8,0.65499997139,IOUT   0.00
9,0.743999958038,IOUT   0.00
10,0.821000099182,IOUT   0.00
11,0.898000001907,IOUT   0.00
12,0.976999998093,IOUT   0.00
13,1.0529999733,IOUT   0.00
14,1.13100004196,IOUT   0.00
15,1.20799994469,IOUT   0.00
16,1.28600001335,IOUT   0.00
17,1.36199998856,IOUT   0.00
18,1.44000005722,IOUT   0.00
19,1.51699995995,IOUT   0.00
20,1.59400010109,IOUT   0.00
21,1.68300008774,IOUT   0.00
22,1.75900006294,IOUT   0.00
23,1.83599996567,IOUT   0.00
24,1.91300010681,IOUT   0.00
25,1.99099993706,IOUT   0.00
26,2.06700015068,IOUT   0.00
27,2.15600013733,IOUT   0.00
28,2.23300004005,IOUT   0.00
29,2.31100010872,IOUT   0.00
30,2.38800001144,IOUT   0.00
31,2.46500015259,IOUT   0.00
32,2.54299998283,IOUT   0.00
33,2.62000012398,IOUT   0.00
34,2.69799995422,IOUT   0.00
35,2.77500009537,IOUT   0.00
36,2.85199999809,IOUT   0.00
37,2.92900013924,IOUT   0.00
38,3.00600004196,IOUT   0.00
39,3.09599995613,IOUT   0.00
40,3.17300009727,IOUT   0.00
41,3.25,IOUT   0.00
42,3.32700014114,IOUT   0.00
43,3.40300011635,IOUT   0.00
44,3.48000001907,IOUT   0.00
45,3.57000017166,IOUT   0.00
46,3.64700007439,IOUT   0.00
47,3.72500014305,IOUT   0.00
48,3.80200004578,IOUT   0.00
49,3.8789999485,IOUT   0.00
50,3.95600008965,IOUT   0.00
51,4.03299999237,IOUT   0.00
52,4.11100006104,IOUT   0.00
53,4.18799996376,IOUT   0.00
54,4.2650001049,IOUT   0.00
55,4.34200000763,IOUT   0.00
56,4.42000007629,IOUT   0.00
57,4.50900006294,IOUT   0.00
58,4.58599996567,IOUT   0.00
59,4.66300010681,IOUT   0.00
60,4.74099993706,IOUT   0.00
61,4.81700015068,IOUT   0.00
62,4.89400005341,IOUT   0.00
63,4.98399996758,IOUT   0.00
64,5.06100010872,IOUT   0.00
