,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
0,-4.20063700E-05,1558922514.784,+1.57105110E+00,0.295,
1,-4.18955200E-05,1558922514.9923332,+1.57085400E+00,,
2,-4.27242800E-05,1558922515.2006667,+1.57072140E+00,,
3,-4.20130500E-05,1558922515.409,+1.57067060E+00,,
4,-4.15649500E-05,1558922515.6173332,+1.57065940E+00,,
5,-4.13966100E-05,1558922515.8256667,+1.57066190E+00,,
6,-4.12363200E-05,1558922516.034,+1.57066060E+00,,
7,-4.13345400E-05,1558922516.2423332,+1.57066190E+00,,
8,-4.84021800E-05,1558922516.4506667,+1.57065820E+00,,
9,-4.03321100E-05,1558922516.659,+1.57065820E+00,,
10,-4.13959300E-05,1558922516.8673332,+1.57065820E+00,,
11,-4.14727400E-05,1558922517.0756667,+1.57065820E+00,,
12,-4.16991500E-05,1558922517.284,+1.57065940E+00,,
13,-4.12924700E-05,1558922517.4923332,+1.57066060E+00,,
14,-4.12851300E-05,1558922517.7006667,+1.57066310E+00,,
15,-4.15375700E-05,1558922517.909,+1.57066060E+00,,
16,-4.14193700E-05,1558922518.1173332,+1.57066060E+00,,
17,-4.13993200E-05,1558922518.3256667,+1.57066190E+00,,
18,-4.14507400E-05,1558922518.534,+1.57066310E+00,,
19,-4.14307000E-05,1558922518.7423332,+1.57066810E+00,,
20,-4.13625900E-05,1558922518.9506667,+1.57066930E+00,,
21,-4.14407300E-05,1558922519.159,+1.57066930E+00,,
22,-4.14387200E-05,1558922519.3673332,+1.57067180E+00,,
23,-4.15188700E-05,1558922519.5756667,+1.57067180E+00,,
24,-4.14300400E-05,1558922519.784,+1.57067060E+00,,
25,-4.14861500E-05,1558922523.305,+1.57067300E+00,,
26,-4.15475700E-05,1558922523.5133333,+1.57067430E+00,,
27,-4.15836400E-05,1558922523.7216668,+1.57067550E+00,,
28,-4.14667800E-05,1558922523.93,+1.57067060E+00,,
29,-4.16951700E-05,1558922524.1383333,+1.57067680E+00,,
30,-4.16123500E-05,1558922524.3466668,+1.57067800E+00,,
31,-4.17105300E-05,1558922524.555,+1.57068050E+00,,
32,-4.16470800E-05,1558922524.7633333,+1.57068300E+00,,
33,-4.16056800E-05,1558922524.9716668,+1.57068540E+00,,
34,-4.17846600E-05,1558922525.18,+1.57068790E+00,,
35,-4.17766400E-05,1558922525.3883333,+1.57069410E+00,,
36,-4.18067000E-05,1558922525.5966668,+1.57069540E+00,,
37,-4.17886600E-05,1558922525.805,+1.57069410E+00,,
38,-4.18247400E-05,1558922526.0133333,+1.57068790E+00,,
39,-4.17653000E-05,1558922526.2216668,+1.57068420E+00,,
40,-4.18507700E-05,1558922526.43,+1.57068300E+00,,
41,-4.18521200E-05,1558922526.6383333,+1.57068050E+00,,
42,-4.17539300E-05,1558922526.8466668,+1.57067550E+00,,
43,-4.17673000E-05,1558922527.055,+1.57067550E+00,,
