,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.83225000E-05,1558931107.139,+1.57058880E+00,+1.10709000E-04,+5.08973100E-03
1,-2.83959000E-05,1558931107.3473332,+1.57058880E+00,+1.10577000E-04,+5.09003000E-03
2,-2.89631000E-05,1558931107.5556667,+1.57058010E+00,+1.35702000E-03,+5.09017300E-03
3,-2.87497000E-05,1558931107.764,+1.57058010E+00,+1.95831450E-02,+5.09008200E-03
4,-2.96372000E-05,1558931107.9723332,+1.57058010E+00,+1.95854290E-02,+5.09014700E-03
5,-2.96440000E-05,1558931108.1806667,+1.57058500E+00,+1.94315910E-02,+5.09066700E-03
6,-2.97573000E-05,1558931108.389,+1.57058260E+00,+3.89471780E-02,+5.09001700E-03
7,-2.95772000E-05,1558931108.5973332,+1.57058880E+00,+3.89563000E-02,+5.09038100E-03
8,-2.91434000E-05,1558931108.8056667,+1.57059250E+00,+4.23688210E-02,+5.09056300E-03
9,-2.83758000E-05,1558931109.014,+1.57058880E+00,+5.84292540E-02,+5.09043300E-03
10,-2.85094000E-05,1558931109.2223332,+1.57058880E+00,+5.84293460E-02,+5.09056300E-03
11,-2.91701000E-05,1558931109.4306667,+1.57059000E+00,+5.50722840E-02,+5.09087500E-03
12,-2.84493000E-05,1558931109.639,+1.57059120E+00,+7.82725900E-02,+5.09062800E-03
13,-2.85762000E-05,1558931109.8473332,+1.57059120E+00,+7.82770390E-02,+5.09068000E-03
14,-2.86029000E-05,1558931110.0556667,+1.57059250E+00,+7.82795210E-02,+5.09012100E-03
15,-2.89165000E-05,1558931110.264,+1.57059250E+00,+7.82806560E-02,+5.09014700E-03
16,-2.90767000E-05,1558931110.4723332,+1.57059620E+00,+7.82811310E-02,+5.09017300E-03
17,-2.99777000E-05,1558931110.6806667,+1.57059500E+00,+7.82826230E-02,+5.09039400E-03
18,-3.03981000E-05,1558931110.889,+1.57059250E+00,+7.82835080E-02,+5.09057600E-03
19,-2.99041000E-05,1558931111.0973332,+1.57059250E+00,+7.82845370E-02,+5.09047200E-03
20,-2.91368000E-05,1558931111.3056667,+1.57059000E+00,+7.82840360E-02,+5.09014700E-03
21,-2.85695000E-05,1558931111.514,+1.57059250E+00,+7.82855140E-02,+5.09039400E-03
22,-2.94437000E-05,1558931111.7223332,+1.57059500E+00,+7.82857650E-02,+5.08996500E-03
23,-3.00109000E-05,1558931111.9306667,+1.57059500E+00,+7.82807620E-02,+5.09016000E-03
24,-2.97174000E-05,1558931112.139,+1.57059500E+00,+7.82904780E-02,+5.09021200E-03
25,-3.00644000E-05,1558931115.799,+1.57058750E+00,+8.14577140E-02,+5.08988700E-03
26,-3.03780000E-05,1558931116.0073333,+1.57059370E+00,+9.80608110E-02,+5.09009500E-03
27,-3.02713000E-05,1558931116.2156668,+1.57059000E+00,+9.80571810E-02,+5.09026400E-03
28,-3.02980000E-05,1558931116.424,+1.57059250E+00,+1.01593820E-01,+5.09051100E-03
29,-2.94104000E-05,1558931116.6323333,+1.57059120E+00,+1.17222230E-01,+5.09001700E-03
30,-2.88298000E-05,1558931116.8406668,+1.57059120E+00,+1.17225550E-01,+5.09034200E-03
31,-2.88964000E-05,1558931117.049,+1.57059120E+00,+1.03411660E-01,+5.09056300E-03
32,-2.95572000E-05,1558931117.2573333,+1.57059000E+00,+1.36917650E-01,+5.09039400E-03
33,-2.95238000E-05,1558931117.4656668,+1.57057640E+00,+1.36913290E-01,+5.08975700E-03
34,-2.98442000E-05,1558931117.674,+1.57058380E+00,+1.47847350E-01,+5.09032900E-03
