,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-3.09921000E-05,1558935104.046,+1.13956000E-04
1,-3.08718000E-05,1558935104.2543333,+1.13111000E-04
2,-3.01244000E-05,1558935104.4626667,+1.49917500E-03
3,-3.11188000E-05,1558935104.671,+1.95886630E-02
4,-3.04314000E-05,1558935104.8793333,+1.95913830E-02
5,-3.06317000E-05,1558935105.0876667,+1.94159600E-02
6,-2.93036000E-05,1558935105.296,+3.90964350E-02
7,-3.00710000E-05,1558935105.5043333,+3.90992470E-02
8,-2.98908000E-05,1558935105.7126667,+4.27265840E-02
9,-2.86963000E-05,1558935105.921,+5.86115020E-02
10,-2.89432000E-05,1558935106.1293333,+5.86170070E-02
11,-2.99108000E-05,1558935106.3376667,+5.56801830E-02
12,-3.03381000E-05,1558935106.546,+7.83189930E-02
13,-3.01444000E-05,1558935106.7543333,+7.83185580E-02
14,-2.94570000E-05,1558935106.9626667,+8.43442970E-02
15,-2.96238000E-05,1558935107.171,+9.80887460E-02
16,-2.94837000E-05,1558935107.3793333,+9.80911880E-02
17,-2.97507000E-05,1558935107.5876667,+9.80926670E-02
18,-3.01178000E-05,1558935107.796,+9.80931420E-02
19,-3.00710000E-05,1558935108.0043333,+9.80935380E-02
20,-2.93236000E-05,1558935108.2126667,+9.80944620E-02
21,-2.77821000E-05,1558935108.421,+9.80949640E-02
22,-2.83759000E-05,1558935108.6293333,+9.80959140E-02
23,-2.95038000E-05,1558935108.8376667,+9.80962840E-02
24,-3.08252000E-05,1558935109.046,+9.80970500E-02
25,-3.17928000E-05,1558935112.679,+1.03976200E-01
26,-3.18530000E-05,1558935112.8873332,+1.17267290E-01
27,-3.13056000E-05,1558935113.0956666,+1.17270340E-01
28,-3.14592000E-05,1558935113.304,+1.36792840E-01
29,-2.90967000E-05,1558935113.5123332,+1.36769600E-01
30,-3.01245000E-05,1558935113.7206666,+1.36771450E-01
31,-3.06650000E-05,1558935113.929,+1.56820400E-01
32,-3.05983000E-05,1558935114.1373332,+1.56829640E-01
33,-3.11656000E-05,1558935114.3456666,+1.56833340E-01
34,-3.03381000E-05,1558935114.554,+1.75969170E-01
35,-3.11322000E-05,1558935114.7623332,+1.75979480E-01
36,-2.92436000E-05,1558935114.9706666,+1.75982120E-01
37,-3.11321000E-05,1558935115.179,+1.95136590E-01
38,-3.10454000E-05,1558935115.3873332,+1.95144510E-01
39,-3.24669000E-05,1558935115.5956666,+1.95147020E-01
40,-3.15994000E-05,1558935115.804,+1.95148480E-01
41,-3.21131000E-05,1558935116.0123332,+1.95149930E-01
42,-3.17529000E-05,1558935116.2206666,+1.95151120E-01
43,-3.13256000E-05,1558935116.429,+1.95153360E-01
44,-3.05515000E-05,1558935116.6373332,+1.95157190E-01
45,-3.15458000E-05,1558935116.8456666,+1.95156400E-01
46,-3.08051000E-05,1558935117.054,+1.95157850E-01
47,-3.17594000E-05,1558935117.2623332,+1.95160360E-01
48,-3.15927000E-05,1558935117.4706666,+1.95158650E-01
49,-3.13122000E-05,1558935117.679,+1.95160230E-01
50,-3.20665000E-05,1558935121.396,+2.10959820E-01
51,-3.15059000E-05,1558935121.6043332,+2.15188210E-01
52,-3.08319000E-05,1558935121.8126667,+2.15192840E-01
53,-3.09587000E-05,1558935122.021,+2.32014280E-01
54,-3.08719000E-05,1558935122.2293332,+2.34340450E-01
55,-3.14056000E-05,1558935122.4376667,+2.34344410E-01
56,-3.22667000E-05,1558935122.646,+2.54579620E-01
57,-3.17060000E-05,1558935122.8543332,+2.54523360E-01
58,-3.15658000E-05,1558935123.0626667,+2.54524020E-01
59,-3.20064000E-05,1558935123.271,+2.74437110E-01
60,-3.25136000E-05,1558935123.4793332,+2.74444770E-01
61,-3.12723000E-05,1558935123.6876667,+2.74449520E-01
62,-3.19730000E-05,1558935123.896,+2.93776230E-01
63,-3.18929000E-05,1558935124.1043332,+2.93783620E-01
64,-3.22065000E-05,1558935124.3126667,+2.93790750E-01
65,-3.20063000E-05,1558935124.521,+2.93793390E-01
66,-3.21466000E-05,1558935124.7293332,+2.93793390E-01
67,-3.17060000E-05,1558935124.9376667,+2.93794720E-01
68,-3.18262000E-05,1558935125.146,+2.93795510E-01
69,-3.15391000E-05,1558935125.3543332,+2.93797890E-01
70,-3.15393000E-05,1558935125.5626667,+2.93799210E-01
71,-3.17861000E-05,1558935125.771,+2.93800000E-01
72,-3.19797000E-05,1558935125.9793332,+2.93801060E-01
73,-3.22866000E-05,1558935126.1876667,+2.93805940E-01
74,-3.16860000E-05,1558935126.396,+2.93805280E-01
75,-3.21332000E-05,1558935130.102,+2.97581200E-01
76,-3.20931000E-05,1558935130.3103333,+3.12883120E-01
77,-3.21731000E-05,1558935130.5186667,+3.12887090E-01
78,-3.19397000E-05,1558935130.727,+3.17339750E-01
79,-3.13991000E-05,1558935130.9353333,+3.32808890E-01
80,-3.17995000E-05,1558935131.1436667,+3.32811010E-01
81,-3.14458000E-05,1558935131.352,+3.38856590E-01
82,-3.13457000E-05,1558935131.5603333,+3.52146940E-01
83,-3.24468000E-05,1558935131.7686667,+3.52149840E-01
84,-3.20864000E-05,1558935131.977,+3.58632200E-01
85,-3.17794000E-05,1558935132.1853333,+3.71203960E-01
86,-3.20532000E-05,1558935132.3936667,+3.71206340E-01
87,-3.19062000E-05,1558935132.602,+3.78296070E-01
88,-3.15593000E-05,1558935132.8103333,+3.90561830E-01
89,-3.19396000E-05,1558935133.0186667,+3.90568570E-01
90,-3.21198000E-05,1558935133.227,+3.90566850E-01
91,-3.17729000E-05,1558935133.4353333,+3.90569760E-01
92,-3.22467000E-05,1558935133.6436667,+3.90570160E-01
93,-3.22133000E-05,1558935133.852,+3.90571610E-01
94,-3.15392000E-05,1558935134.0603333,+3.90568970E-01
95,-3.26938000E-05,1558935134.2686667,+3.90568440E-01
96,-3.22398000E-05,1558935134.477,+3.90566850E-01
97,-3.22132000E-05,1558935134.6853333,+3.90567120E-01
98,-3.19931000E-05,1558935134.8936667,+3.90568700E-01
99,-3.17861000E-05,1558935135.102,+3.90569230E-01
100,-3.08585000E-05,1558935138.623,+4.02927160E-01
101,-3.07518000E-05,1558935138.8313332,+4.10492890E-01
102,-3.10454000E-05,1558935139.0396667,+4.10494210E-01
103,-3.09318000E-05,1558935139.248,+4.24227280E-01
104,-3.17527000E-05,1558935139.4563332,+4.29824060E-01
105,-3.16260000E-05,1558935139.6646667,+4.29826440E-01
106,-3.17061000E-05,1558935139.873,+4.43883620E-01
107,-3.11454000E-05,1558935140.0813332,+4.48870770E-01
108,-3.07650000E-05,1558935140.2896667,+4.48875780E-01
109,-3.08519000E-05,1558935140.498,+4.65614970E-01
110,-3.16326000E-05,1558935140.7063332,+4.69099400E-01
111,-3.14458000E-05,1558935140.9146667,+4.69101520E-01
112,-3.15259000E-05,1558935141.123,+4.85356630E-01
113,-3.18530000E-05,1558935141.3313332,+4.88134620E-01
114,-3.18329000E-05,1558935141.5396667,+4.88139370E-01
115,-3.12190000E-05,1558935141.748,+4.88138580E-01
116,-3.09519000E-05,1558935141.9563332,+4.88142150E-01
117,-3.16059000E-05,1558935142.1646667,+4.88142280E-01
118,-3.10520000E-05,1558935142.373,+4.88146240E-01
119,-3.11587000E-05,1558935142.5813332,+4.88145980E-01
120,-3.08519000E-05,1558935142.7896667,+4.88149410E-01
121,-3.03647000E-05,1558935142.998,+4.88151520E-01
122,-3.05983000E-05,1558935143.2063332,+4.88151000E-01
123,-3.12389000E-05,1558935143.4146667,+4.88153110E-01
124,-3.12856000E-05,1558935143.623,+4.88153640E-01
125,-3.18262000E-05,1558935147.223,+5.08852960E-01
126,-3.19930000E-05,1558935147.4313333,+5.08716530E-01
127,-3.12055000E-05,1558935147.6396668,+5.08695660E-01
128,-3.03513000E-05,1558935147.848,+5.28583800E-01
129,-3.09053000E-05,1558935148.0563333,+5.28576800E-01
130,-3.06582000E-05,1558935148.2646668,+5.28579570E-01
131,-3.11789000E-05,1558935148.473,+5.47895470E-01
132,-3.11187000E-05,1558935148.6813333,+5.47901150E-01
133,-3.12991000E-05,1558935148.8896668,+5.47905770E-01
134,-3.16326000E-05,1558935149.098,+5.67224030E-01
135,-3.19262000E-05,1558935149.3063333,+5.67230640E-01
136,-3.16326000E-05,1558935149.5146668,+5.67237370E-01
137,-3.18129000E-05,1558935149.723,+5.87134590E-01
138,-3.13390000E-05,1558935149.9313333,+5.87142390E-01
139,-3.12255000E-05,1558935150.1396668,+5.87138690E-01
140,-3.09252000E-05,1558935150.348,+5.87150570E-01
141,-3.07383000E-05,1558935150.5563333,+5.87145560E-01
142,-3.06449000E-05,1558935150.7646668,+5.87144760E-01
143,-3.16860000E-05,1558935150.973,+5.87150050E-01
144,-3.20197000E-05,1558935151.1813333,+5.87145290E-01
145,-3.17794000E-05,1558935151.3896668,+5.87146880E-01
146,-3.16660000E-05,1558935151.598,+5.87144230E-01
147,-3.23133000E-05,1558935151.8063333,+5.87156250E-01
148,-3.15259000E-05,1558935152.0146668,+5.87145560E-01
149,-3.00710000E-05,1558935152.223,+5.87146610E-01
150,-3.04847000E-05,1558935155.952,+5.87150840E-01
151,-3.09452000E-05,1558935156.1603332,+6.06521800E-01
152,-3.07851000E-05,1558935156.3686666,+6.06525500E-01
153,-3.06049000E-05,1558935156.577,+6.06525100E-01
154,-3.17594000E-05,1558935156.7853332,+6.25868570E-01
155,-3.11187000E-05,1558935156.9936666,+6.25873720E-01
156,-3.08786000E-05,1558935157.202,+6.25874380E-01
157,-3.11321000E-05,1558935157.4103332,+6.45765310E-01
158,-3.01111000E-05,1558935157.6186666,+6.45783800E-01
159,-3.05315000E-05,1558935157.827,+6.46960950E-01
160,-3.04715000E-05,1558935158.0353332,+6.65107880E-01
161,-2.97640000E-05,1558935158.2436666,+6.65110530E-01
162,-2.90767000E-05,1558935158.452,+6.66713470E-01
163,-2.93770000E-05,1558935158.6603332,+6.83827080E-01
164,-2.91968000E-05,1558935158.8686666,+6.83828670E-01
165,-2.94103000E-05,1558935159.077,+6.83827870E-01
166,-2.90967000E-05,1558935159.2853332,+6.83826290E-01
167,-3.01510000E-05,1558935159.4936666,+6.83833820E-01
168,-3.01978000E-05,1558935159.702,+6.83832500E-01
169,-3.06250000E-05,1558935159.9103332,+6.83833160E-01
170,-3.03980000E-05,1558935160.1186666,+6.83836590E-01
171,-2.99376000E-05,1558935160.327,+6.83839890E-01
172,-2.93903000E-05,1558935160.5353332,+6.83840020E-01
173,-2.91901000E-05,1558935160.7436666,+6.83841610E-01
174,-3.03580000E-05,1558935160.952,+6.83843060E-01
175,-3.10253000E-05,1558935164.424,+6.96701930E-01
176,-3.06850000E-05,1558935164.6323333,+7.03765010E-01
177,-2.98308000E-05,1558935164.8406668,+7.03778750E-01
178,-2.94903000E-05,1558935165.049,+7.17968920E-01
179,-2.94638000E-05,1558935165.2573333,+7.23114280E-01
180,-2.81558000E-05,1558935165.4656668,+7.23116660E-01
181,-2.78020000E-05,1558935165.674,+7.37796310E-01
182,-2.80490000E-05,1558935165.8823333,+7.42440330E-01
183,-2.87898000E-05,1558935166.0906668,+7.42442050E-01
184,-3.00376000E-05,1558935166.299,+7.58063760E-01
185,-3.02578000E-05,1558935166.5073333,+7.62382890E-01
186,-2.98041000E-05,1558935166.7156668,+7.62382890E-01
187,-2.98708000E-05,1558935166.924,+7.79248080E-01
188,-3.03379000E-05,1558935167.1323333,+7.81719660E-01
189,-3.09986000E-05,1558935167.3406668,+7.81724940E-01
190,-3.03180000E-05,1558935167.549,+7.81735510E-01
191,-2.99776000E-05,1558935167.7573333,+7.81732070E-01
192,-2.98174000E-05,1558935167.9656668,+7.81735510E-01
193,-2.96238000E-05,1558935168.174,+7.81736300E-01
194,-3.00910000E-05,1558935168.3823333,+7.81743960E-01
195,-3.06917000E-05,1558935168.5906668,+7.81744750E-01
196,-3.10187000E-05,1558935168.799,+7.81740530E-01
197,-2.99976000E-05,1558935169.0073333,+7.81751090E-01
198,-3.02912000E-05,1558935169.2156668,+7.81741320E-01
