,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-3.08921000E-05,1558932746.318,+1.20940000E-04
1,-3.06386000E-05,1558932746.5263333,+1.17838000E-04
2,-3.06118000E-05,1558932746.7346668,+2.14876300E-03
3,-3.01781000E-05,1558932746.943,+1.95670130E-02
4,-3.00312000E-05,1558932747.1513333,+1.95690190E-02
5,-2.90237000E-05,1558932747.3596668,+1.94936250E-02
6,-2.89102000E-05,1558932747.568,+3.90166840E-02
7,-2.85231000E-05,1558932747.7763333,+3.90205650E-02
8,-2.90836000E-05,1558932747.9846668,+4.32456090E-02
9,-3.09189000E-05,1558932748.193,+5.84985890E-02
10,-3.11057000E-05,1558932748.4013333,+5.85035920E-02
11,-3.08455000E-05,1558932748.6096668,+5.51185820E-02
12,-2.95709000E-05,1558932748.818,+7.82804180E-02
13,-2.99779000E-05,1558932749.0263333,+7.82829130E-02
14,-2.96976000E-05,1558932749.2346668,+8.48505400E-02
15,-3.04383000E-05,1558932749.443,+9.80468440E-02
16,-3.11257000E-05,1558932749.6513333,+9.80496690E-02
17,-3.08722000E-05,1558932749.8596668,+9.80522960E-02
18,-2.97777000E-05,1558932750.068,+9.80524810E-02
19,-3.00447000E-05,1558932750.2763333,+9.80545930E-02
20,-3.01515000E-05,1558932750.4846668,+9.80553850E-02
21,-2.96308000E-05,1558932750.693,+9.80562570E-02
22,-3.05051000E-05,1558932750.9013333,+9.80572600E-02
23,-3.06252000E-05,1558932751.1096668,+9.80589630E-02
24,-2.91036000E-05,1558932751.318,+9.80598610E-02
25,-2.89436000E-05,1558932754.951,+1.04299980E-01
26,-2.86297000E-05,1558932755.1593332,+1.17226120E-01
27,-2.83763000E-05,1558932755.3676667,+1.17228470E-01
28,-2.92839000E-05,1558932755.576,+1.36630390E-01
29,-3.00446000E-05,1558932755.7843332,+1.36620490E-01
30,-3.02915000E-05,1558932755.9926667,+1.36629340E-01
31,-2.87834000E-05,1558932756.201,+1.56664420E-01
32,-2.78891000E-05,1558932756.4093332,+1.56677630E-01
33,-2.76823000E-05,1558932756.6176667,+1.56683310E-01
34,-2.80091000E-05,1558932756.826,+1.75805410E-01
35,-2.77889000E-05,1558932757.0343332,+1.75814520E-01
36,-2.85364000E-05,1558932757.2426667,+1.75819140E-01
37,-2.95040000E-05,1558932757.451,+1.94962120E-01
38,-3.01982000E-05,1558932757.6593332,+1.94969260E-01
39,-3.07987000E-05,1558932757.8676667,+1.94975860E-01
40,-3.04116000E-05,1558932758.076,+1.94979030E-01
41,-3.07720000E-05,1558932758.2843332,+1.94982730E-01
42,-2.96109000E-05,1558932758.4926667,+1.94986430E-01
43,-2.95040000E-05,1558932758.701,+1.94990520E-01
44,-2.99578000E-05,1558932758.9093332,+1.94994480E-01
45,-2.90303000E-05,1558932759.1176667,+1.94998050E-01
46,-2.87766000E-05,1558932759.326,+1.94999630E-01
47,-2.95307000E-05,1558932759.5343332,+1.95001220E-01
48,-2.93438000E-05,1558932759.7426667,+1.95003330E-01
49,-2.96709000E-05,1558932759.951,+1.95003330E-01
50,-2.88167000E-05,1558932763.669,+2.10781130E-01
51,-2.94307000E-05,1558932763.8773332,+2.15023260E-01
52,-2.87100000E-05,1558932764.0856667,+2.15028010E-01
53,-2.92305000E-05,1558932764.294,+2.31805480E-01
54,-2.87433000E-05,1558932764.5023332,+2.34167180E-01
