,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.52968700E-05,1558919499.235,+1.56994170E+00,+1.20900000E-04,+4.99713800E-03
1,-2.63133800E-05,1558919501.735,+1.56994170E+00,+1.18801000E-04,+4.99716400E-03
2,-2.64412000E-05,1558919504.235,+1.56994300E+00,+1.17838000E-04,+4.99680000E-03
3,-2.64963000E-05,1558919507.572,+1.56993800E+00,+5.84600000E-02,+4.99672200E-03
4,-2.68056900E-05,1558919510.072,+1.56993800E+00,+5.84677760E-02,+4.99659100E-03
5,-2.68084300E-05,1558919512.572,+1.56993550E+00,+7.82643260E-02,+4.99652600E-03
6,-2.71752600E-05,1558919513.993,+1.56993920E+00,+1.17191920E-01,+4.99648700E-03
7,-2.74992300E-05,1558919516.493,+1.56993920E+00,+1.36181980E-01,+4.99698200E-03
8,-2.76159600E-05,1558919518.993,+1.56993920E+00,+1.36236130E-01,+4.99678700E-03
9,-2.77166700E-05,1558919520.659,+1.56993550E+00,+1.75345270E-01,+4.99677400E-03
10,-2.78802900E-05,1558919523.159,+1.56993920E+00,+1.87472740E-01,+4.99667000E-03
11,-2.80466500E-05,1558919525.659,+1.56993920E+00,+1.94474390E-01,+4.99669600E-03
12,-2.83504400E-05,1558919527.325,+1.56993430E+00,+2.33586990E-01,+4.99660400E-03
13,-2.86826800E-05,1558919529.825,+1.56993550E+00,+2.54272550E-01,+4.99756700E-03
14,-2.92500700E-05,1558919532.325,+1.56993680E+00,+2.54253400E-01,+4.99651300E-03
15,-2.96060900E-05,1558919533.993,+1.56993550E+00,+2.93534500E-01,+4.99656500E-03
16,-2.97381100E-05,1558919536.493,+1.56993430E+00,+3.04738420E-01,+4.99674800E-03
17,-2.99539700E-05,1558919538.993,+1.56993300E+00,+3.12632980E-01,+4.99693000E-03
18,-2.99354600E-05,1558919540.659,+1.56993300E+00,+3.51889930E-01,+4.99677400E-03
19,-3.02476800E-05,1558919543.159,+1.56993300E+00,+3.63834090E-01,+4.99605800E-03
20,-2.99358700E-05,1558919545.659,+1.56993180E+00,+3.70953290E-01,+4.99660400E-03
21,-3.02315200E-05,1558919547.326,+1.56993680E+00,+4.10219900E-01,+4.99651300E-03
22,-3.04315000E-05,1558919549.826,+1.56993430E+00,+4.21875620E-01,+4.99630500E-03
23,-3.02599400E-05,1558919552.326,+1.56993550E+00,+4.29547240E-01,+4.99659100E-03
24,-3.05179900E-05,1558919553.992,+1.56993180E+00,+4.68788640E-01,+4.99646100E-03
25,-3.03964400E-05,1558919556.492,+1.56993300E+00,+4.81060190E-01,+4.99681300E-03
26,-3.04830000E-05,1558919558.992,+1.56993300E+00,+4.87828610E-01,+4.99605800E-03
27,-3.07405700E-05,1558919560.659,+1.56993060E+00,+5.28269070E-01,+4.99646100E-03
28,-3.08947200E-05,1558919563.159,+1.56993060E+00,+5.40253250E-01,+4.99687800E-03
29,-3.07307600E-05,1558919565.659,+1.56993060E+00,+5.47603460E-01,+4.99601900E-03
30,-3.07798500E-05,1558919567.326,+1.56993430E+00,+5.86853410E-01,+4.99634400E-03
31,-3.09389800E-05,1558919569.826,+1.56993060E+00,+5.98438110E-01,+4.99609700E-03
32,-3.09194100E-05,1558919572.326,+1.56993300E+00,+6.06244320E-01,+4.99661700E-03
33,-3.09859900E-05,1558919573.992,+1.56992930E+00,+6.45505000E-01,+4.99661700E-03
34,-3.10346200E-05,1558919576.492,+1.56992560E+00,+6.57789780E-01,+4.99648700E-03
35,-3.10205300E-05,1558919578.992,+1.56993060E+00,+6.64833040E-01,+4.99609700E-03
36,-3.07976100E-05,1558919580.658,+1.56993680E+00,+7.03538380E-01,+4.99669600E-03
37,-3.10790300E-05,1558919583.158,+1.56993430E+00,+7.15363280E-01,+4.99622700E-03
38,-3.09535500E-05,1558919585.658,+1.56993180E+00,+7.22962400E-01,+4.99640900E-03
