,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.10158600E-05,1558921686.729,+1.56977070E+00,+1.10999000E-04,+4.51518900E-03
1,-2.07988300E-05,1558921686.9373333,+1.56976700E+00,+1.10630000E-04,+4.51535800E-03
2,-2.08802900E-05,1558921687.1456668,+1.56976940E+00,+2.01211100E-03,+4.51509800E-03
3,-2.10632900E-05,1558921687.354,+1.56977070E+00,+1.95804650E-02,+4.51489000E-03
4,-2.09430800E-05,1558921687.5623333,+1.56976940E+00,+1.95826960E-02,+4.51504600E-03
5,-2.10278900E-05,1558921687.7706668,+1.56977310E+00,+1.95921090E-02,+4.51472100E-03
6,-2.08976700E-05,1558921687.979,+1.56976700E+00,+3.90916560E-02,+4.51461700E-03
7,-2.11481100E-05,1558921688.1873333,+1.56976940E+00,+3.90937420E-02,+4.51478600E-03
8,-2.10479300E-05,1558921688.3956668,+1.56976820E+00,+4.30965100E-02,+4.51505900E-03
9,-2.10111900E-05,1558921688.604,+1.56977070E+00,+5.86051650E-02,+4.51448700E-03
10,-2.12502700E-05,1558921688.8123333,+1.56977070E+00,+5.86069610E-02,+4.51477300E-03
11,-2.11634600E-05,1558921689.0206668,+1.56977070E+00,+5.52846190E-02,+4.51421300E-03
12,-2.12122200E-05,1558921689.229,+1.56977070E+00,+7.82822400E-02,+4.51525400E-03
13,-2.11928400E-05,1558921689.4373333,+1.56976700E+00,+7.82825440E-02,+4.51490300E-03
14,-2.12215600E-05,1558921689.6456668,+1.56976570E+00,+8.45199320E-02,+4.51469500E-03
15,-2.10025100E-05,1558921689.854,+1.56976700E+00,+9.80471610E-02,+4.51492900E-03
16,-2.13184000E-05,1558921690.0623333,+1.56976820E+00,+9.80500250E-02,+4.51436900E-03
17,-2.12536300E-05,1558921690.2706668,+1.56976820E+00,+9.80510160E-02,+4.51503300E-03
18,-2.11641400E-05,1558921690.479,+1.56976820E+00,+9.80509760E-02,+4.51477300E-03
19,-2.12883400E-05,1558921690.6873333,+1.56976570E+00,+9.80528110E-02,+4.51472100E-03
20,-2.13477900E-05,1558921690.8956668,+1.56976820E+00,+9.80536290E-02,+4.51461700E-03
21,-2.12489600E-05,1558921691.104,+1.56976820E+00,+9.80552000E-02,+4.51472100E-03
22,-2.13851900E-05,1558921691.3123333,+1.56976700E+00,+9.80553980E-02,+4.51526700E-03
23,-2.13150600E-05,1558921691.5206668,+1.56976700E+00,+9.80568640E-02,+4.51477300E-03
24,-2.13324300E-05,1558921691.729,+1.56976320E+00,+9.80578670E-02,+4.51512400E-03
25,-2.14366200E-05,1558921695.391,+1.56976700E+00,+1.01279370E-01,+4.51516300E-03
26,-2.13524700E-05,1558921695.5993333,+1.56976820E+00,+1.17224160E-01,+4.51515000E-03
27,-2.13718400E-05,1558921695.8076668,+1.56976450E+00,+1.17227330E-01,+4.51508500E-03
28,-2.12890200E-05,1558921696.016,+1.56976820E+00,+1.03833000E-01,+4.51521500E-03
29,-2.14686700E-05,1558921696.2243333,+1.56976820E+00,+1.36772770E-01,+4.51483800E-03
30,-2.15441200E-05,1558921696.4326668,+1.56976940E+00,+1.36769860E-01,+4.51492900E-03
31,-2.16182500E-05,1558921696.641,+1.56976820E+00,+1.47230050E-01,+4.51516300E-03
32,-2.14593200E-05,1558921696.8493333,+1.56976820E+00,+1.56824760E-01,+4.51537100E-03
33,-2.16964000E-05,1558921697.0576668,+1.56976820E+00,+1.56829640E-01,+4.51552700E-03
34,-2.15988900E-05,1558921697.266,+1.56976700E+00,+1.67249950E-01,+4.51518900E-03
35,-2.15574900E-05,1558921697.4743333,+1.56976570E+00,+1.75972870E-01,+4.51537100E-03
36,-2.15968800E-05,1558921697.6826668,+1.56976940E+00,+1.75977360E-01,+4.51463000E-03
37,-2.17424800E-05,1558921697.891,+1.56976570E+00,+1.86838530E-01,+4.51544900E-03
38,-2.17852200E-05,1558921698.0993333,+1.56976570E+00,+1.95137120E-01,+4.51539700E-03
39,-2.17905700E-05,1558921698.3076668,+1.56976570E+00,+1.95140550E-01,+4.51538400E-03
40,-2.16977300E-05,1558921698.516,+1.56976700E+00,+1.95141740E-01,+4.51576100E-03
41,-2.17678600E-05,1558921698.7243333,+1.56976700E+00,+1.95143720E-01,+4.51596900E-03
42,-2.17311300E-05,1558921698.9326668,+1.56976450E+00,+1.95145570E-01,+4.51612500E-03
43,-2.17551700E-05,1558921699.141,+1.56976200E+00,+1.95144510E-01,+4.51637200E-03
44,-2.17638400E-05,1558921699.3493333,+1.56976570E+00,+1.95145840E-01,+4.51633300E-03
45,-2.17538300E-05,1558921699.5576668,+1.56976700E+00,+1.95147290E-01,+4.51643700E-03
46,-2.18005700E-05,1558921699.766,+1.56976570E+00,+1.95146760E-01,+4.51602100E-03
47,-2.14453000E-05,1558921699.9743333,+1.56976820E+00,+1.95146500E-01,+4.51563100E-03
48,-2.16964000E-05,1558921700.1826668,+1.56976570E+00,+1.95148480E-01,+4.51583900E-03
49,-2.17565000E-05,1558921700.391,+1.56976700E+00,+1.95148740E-01,+4.51586500E-03
