,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-1.61966000E-05,1558920331.533,+1.56988720E+00,+1.13719000E-04,+5.54997800E-03
1,-2.23964000E-05,1558920331.7413332,+1.56989090E+00,+1.13177000E-04,+5.55057600E-03
2,-3.00513000E-05,1558920331.9496667,+1.56988970E+00,+1.95905380E-02,+5.55049800E-03
3,-2.93107000E-05,1558920332.158,+1.56988970E+00,+1.95958320E-02,+5.55045900E-03
4,-3.12059000E-05,1558920332.3663332,+1.56988720E+00,+1.95963330E-02,+5.55057600E-03
5,-3.57774000E-05,1558920332.5746667,+1.56988470E+00,+3.90850420E-02,+5.55088800E-03
6,-3.18333000E-05,1558920332.783,+1.56988970E+00,+3.90887780E-02,+5.55042000E-03
7,-3.02379000E-05,1558920332.9913332,+1.56989090E+00,+3.90907320E-02,+5.55123900E-03
8,-3.52897000E-05,1558920333.1996667,+1.56988720E+00,+5.85930070E-02,+5.55097900E-03
9,-3.67380000E-05,1558920333.408,+1.56988590E+00,+5.86015880E-02,+5.55062800E-03
10,-3.62440000E-05,1558920333.6163332,+1.56988720E+00,+5.86040690E-02,+5.55088800E-03
11,-3.36680000E-05,1558920333.8246667,+1.56988720E+00,+7.82642860E-02,+5.55086200E-03
12,-3.33009000E-05,1558920334.033,+1.56988720E+00,+7.82639300E-02,+5.55079700E-03
13,-3.65845000E-05,1558920334.2413332,+1.56988720E+00,+7.82661340E-02,+5.55104400E-03
14,-4.88438000E-05,1558920334.4496667,+1.56988720E+00,+7.82687750E-02,+5.55097900E-03
15,-3.39084000E-05,1558920334.658,+1.56988590E+00,+7.82705830E-02,+5.55057600E-03
16,-2.62405000E-05,1558920334.8663332,+1.56988720E+00,+7.82722600E-02,+5.55091400E-03
17,-2.93903000E-05,1558920335.0746667,+1.56988720E+00,+7.82736200E-02,+5.55088800E-03
18,-3.01444000E-05,1558920335.283,+1.56988970E+00,+7.82754280E-02,+5.55095300E-03
19,-3.50962000E-05,1558920335.4913332,+1.56989090E+00,+7.82756920E-02,+5.55148600E-03
20,-3.11388000E-05,1558920335.6996667,+1.56988840E+00,+7.82773030E-02,+5.55101800E-03
21,-3.07518000E-05,1558920335.908,+1.56988350E+00,+7.82783320E-02,+5.55069300E-03
22,-3.48425000E-05,1558920336.1163332,+1.56988720E+00,+7.82788080E-02,+5.55122600E-03
23,-3.40150000E-05,1558920336.3246667,+1.56988470E+00,+7.82786360E-02,+5.55086200E-03
24,-3.43555000E-05,1558920336.533,+1.56988720E+00,+7.82790450E-02,+5.55068000E-03
25,-3.44223000E-05,1558920340.417,+1.56988470E+00,+7.87701480E-02,+5.55091400E-03
26,-3.80392000E-05,1558920340.6253333,+1.56988350E+00,+9.80383420E-02,+5.55122600E-03
27,-3.31408000E-05,1558920340.8336668,+1.56988590E+00,+9.80430950E-02,+5.55091400E-03
28,-3.63108000E-05,1558920341.042,+1.56988350E+00,+9.89037650E-02,+5.55087500E-03
29,-3.84864000E-05,1558920341.2503333,+1.56988590E+00,+1.17203580E-01,+5.55096600E-03
30,-3.06116000E-05,1558920341.4586668,+1.56988350E+00,+1.17207630E-01,+5.55120000E-03
31,-3.34478000E-05,1558920341.667,+1.56988350E+00,+1.04011750E-01,+5.55086200E-03
32,-3.57969000E-05,1558920341.8753333,+1.56988720E+00,+1.36800110E-01,+5.55068000E-03
33,-3.78723000E-05,1558920342.0836668,+1.56988470E+00,+1.36799450E-01,+5.55104400E-03
34,-3.19196000E-05,1558920342.292,+1.56988350E+00,+1.44781960E-01,+5.55083600E-03
35,-3.70248000E-05,1558920342.5003333,+1.56988350E+00,+1.56856590E-01,+5.55068000E-03
36,-3.21132000E-05,1558920342.7086668,+1.56988470E+00,+1.56856980E-01,+5.55104400E-03
37,-3.35746000E-05,1558920342.917,+1.56988220E+00,+1.66130910E-01,+5.55073200E-03
