,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-3.21666000E-05,1558930704.164,+1.57063090E+00,+1.09798000E-04,+5.08895000E-03
1,-3.18530000E-05,1558930704.3723333,+1.57063090E+00,+1.09837000E-04,+5.08859900E-03
2,-3.20932000E-05,1558930704.5806668,+1.57062840E+00,+2.20677100E-03,+5.08879400E-03
3,-3.19732000E-05,1558930704.789,+1.57063340E+00,+1.95936670E-02,+5.08915800E-03
4,-3.22534000E-05,1558930704.9973333,+1.57062720E+00,+1.95953830E-02,+5.08884600E-03
5,-3.22334000E-05,1558930705.2056668,+1.57062970E+00,+1.96067500E-02,+5.08884600E-03
6,-3.19797000E-05,1558930705.414,+1.57062220E+00,+3.90838270E-02,+5.08902800E-03
7,-3.23869000E-05,1558930705.6223333,+1.57061850E+00,+3.90856100E-02,+5.08905400E-03
8,-3.19797000E-05,1558930705.8306668,+1.57062470E+00,+4.33595260E-02,+5.08871600E-03
9,-3.22400000E-05,1558930706.039,+1.57061970E+00,+5.85877650E-02,+5.08892400E-03
10,-3.24270000E-05,1558930706.2473333,+1.57061970E+00,+5.86005050E-02,+5.08887200E-03
11,-3.23069000E-05,1558930706.4556668,+1.57062100E+00,+5.63631420E-02,+5.08889800E-03
12,-3.20865000E-05,1558930706.664,+1.57062590E+00,+7.82915600E-02,+5.08897600E-03
13,-3.23602000E-05,1558930706.8723333,+1.57062590E+00,+7.82912440E-02,+5.08909300E-03
14,-3.25671000E-05,1558930707.0806668,+1.57062350E+00,+8.48985940E-02,+5.08898900E-03
15,-3.18930000E-05,1558930707.289,+1.57062590E+00,+9.80573790E-02,+5.08898900E-03
16,-3.22401000E-05,1558930707.4973333,+1.57062470E+00,+9.80604680E-02,+5.08891100E-03
17,-3.21533000E-05,1558930707.7056668,+1.57062470E+00,+9.80615240E-02,+5.08915800E-03
18,-3.22935000E-05,1558930707.914,+1.57062100E+00,+9.80630950E-02,+5.08895000E-03
19,-3.23602000E-05,1558930708.1223333,+1.57061850E+00,+9.80639270E-02,+5.08892400E-03
20,-3.25336000E-05,1558930708.3306668,+1.57061970E+00,+9.80640590E-02,+5.08921000E-03
21,-3.22600000E-05,1558930708.539,+1.57061970E+00,+9.80643360E-02,+5.08897600E-03
22,-3.20532000E-05,1558930708.7473333,+1.57062590E+00,+9.80658010E-02,+5.08876800E-03
23,-3.25203000E-05,1558930708.9556668,+1.57062350E+00,+9.80662500E-02,+5.08924900E-03
24,-3.20598000E-05,1558930709.164,+1.57062590E+00,+9.80669100E-02,+5.08911900E-03
25,-3.28741000E-05,1558930712.826,+1.57062350E+00,+1.00705810E-01,+5.08944500E-03
26,-3.27139000E-05,1558930713.0343332,+1.57062590E+00,+1.17236900E-01,+5.08905400E-03
27,-3.26205000E-05,1558930713.2426667,+1.57062590E+00,+1.17240550E-01,+5.08928800E-03
28,-3.29608000E-05,1558930713.451,+1.57062220E+00,+1.03172410E-01,+5.08939200E-03
29,-3.26537000E-05,1558930713.6593332,+1.57062350E+00,+1.36921480E-01,+5.08910600E-03
30,-3.17461000E-05,1558930713.8676667,+1.57062100E+00,+1.36915140E-01,+5.08906700E-03
31,-3.24537000E-05,1558930714.076,+1.57062100E+00,+1.46863550E-01,+5.08897600E-03
32,-3.24069000E-05,1558930714.2843332,+1.57062220E+00,+1.57002790E-01,+5.08902800E-03
33,-3.24202000E-05,1558930714.4926667,+1.57061850E+00,+1.57012170E-01,+5.08874200E-03
34,-3.23469000E-05,1558930714.701,+1.57061970E+00,+1.66956620E-01,+5.08918400E-03
35,-3.21333000E-05,1558930714.9093332,+1.57062100E+00,+1.76166620E-01,+5.08934000E-03
36,-3.27272000E-05,1558930715.1176667,+1.57061970E+00,+1.76161470E-01,+5.08930100E-03
37,-3.23402000E-05,1558930715.326,+1.57061970E+00,+1.87809650E-01,+5.08919700E-03
38,-3.28073000E-05,1558930715.5343332,+1.57061970E+00,+1.95343410E-01,+5.08923600E-03
39,-3.28139000E-05,1558930715.7426667,+1.57061970E+00,+1.95347380E-01,+5.08915800E-03
40,-3.22601000E-05,1558930715.951,+1.57061970E+00,+1.95345000E-01,+5.08921000E-03
41,-3.28607000E-05,1558930716.1593332,+1.57062350E+00,+1.95349090E-01,+5.08923600E-03
42,-3.24403000E-05,1558930716.3676667,+1.57061730E+00,+1.95349230E-01,+5.08902800E-03
43,-3.27939000E-05,1558930716.576,+1.57062350E+00,+1.95349090E-01,+5.08830000E-03
44,-3.25670000E-05,1558930716.7843332,+1.57062100E+00,+1.95351870E-01,+5.08913200E-03
45,-3.23869000E-05,1558930716.9926667,+1.57061730E+00,+1.95349620E-01,+5.08922300E-03
46,-3.23467000E-05,1558930717.201,+1.57061730E+00,+1.95344730E-01,+5.08882000E-03
47,-3.22468000E-05,1558930717.4093332,+1.57061730E+00,+1.95360980E-01,+5.08918400E-03
48,-3.27538000E-05,1558930717.6176667,+1.57061480E+00,+1.95345530E-01,+5.08909300E-03
49,-3.21733000E-05,1558930717.826,+1.57061730E+00,+1.95356090E-01,+5.08840400E-03
50,-3.25737000E-05,1558930721.427,+1.57061600E+00,+1.98651800E-01,+5.08915800E-03
51,-3.25603000E-05,1558930721.6353333,+1.57062350E+00,+2.15405870E-01,+5.08915800E-03
52,-3.28206000E-05,1558930721.8436668,+1.57061480E+00,+2.15409960E-01,+5.08882000E-03
53,-3.23001000E-05,1558930722.052,+1.57061730E+00,+2.19024220E-01,+5.08926200E-03
54,-3.22066000E-05,1558930722.2603333,+1.57061600E+00,+2.34576860E-01,+5.08909300E-03
55,-3.27139000E-05,1558930722.4686668,+1.57062220E+00,+2.34582140E-01,+5.08874200E-03
56,-3.25202000E-05,1558930722.677,+1.57062220E+00,+2.54528770E-01,+5.08926200E-03
57,-3.25003000E-05,1558930722.8853333,+1.57062220E+00,+2.54440680E-01,+5.08896300E-03
58,-3.21199000E-05,1558930723.0936668,+1.57061730E+00,+2.54436720E-01,+5.08909300E-03
59,-3.25137000E-05,1558930723.302,+1.57061850E+00,+2.74348220E-01,+5.08891100E-03
60,-3.25136000E-05,1558930723.5103333,+1.57061600E+00,+2.74356540E-01,+5.08856000E-03
61,-3.25737000E-05,1558930723.7186668,+1.57061230E+00,+2.74362490E-01,+5.08896300E-03
