,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-3.28806000E-05,1558921141.359,+1.56980790E+00,+1.11606000E-04,+5.55862500E-03
1,-3.26737000E-05,1558921141.5673332,+1.56981280E+00,+1.11501000E-04,+5.55781900E-03
2,-3.25803000E-05,1558921141.7756667,+1.56981030E+00,+2.44219500E-03,+5.55849500E-03
3,-3.26605000E-05,1558921141.984,+1.56981280E+00,+1.95889010E-02,+5.55802700E-03
4,-3.26270000E-05,1558921142.1923332,+1.56980910E+00,+1.95910130E-02,+5.55797500E-03
5,-3.27272000E-05,1558921142.4006667,+1.56981160E+00,+1.97753080E-02,+5.55774000E-03
6,-3.24869000E-05,1558921142.609,+1.56981280E+00,+3.85906380E-02,+5.55807900E-03
7,-3.26404000E-05,1558921142.8173332,+1.56981160E+00,+3.86170140E-02,+5.55836500E-03
8,-3.27005000E-05,1558921143.0256667,+1.56981160E+00,+4.29977490E-02,+5.55805300E-03
9,-3.26271000E-05,1558921143.234,+1.56981030E+00,+5.79884250E-02,+5.55805300E-03
10,-3.26538000E-05,1558921143.4423332,+1.56980910E+00,+5.80043460E-02,+5.55826100E-03
11,-3.26537000E-05,1558921143.6506667,+1.56980540E+00,+5.52487240E-02,+5.55815700E-03
12,-3.27672000E-05,1558921143.859,+1.56981030E+00,+7.82883000E-02,+5.55839100E-03
13,-3.26270000E-05,1558921144.0673332,+1.56980910E+00,+7.82897390E-02,+5.55771400E-03
14,-3.26269000E-05,1558921144.2756667,+1.56981160E+00,+7.82909800E-02,+5.55841700E-03
15,-3.26270000E-05,1558921144.484,+1.56981160E+00,+7.82923000E-02,+5.55794900E-03
16,-3.26471000E-05,1558921144.6923332,+1.56981030E+00,+7.82934350E-02,+5.55833900E-03
17,-3.24801000E-05,1558921144.9006667,+1.56981030E+00,+7.82942540E-02,+5.55832600E-03
18,-3.26470000E-05,1558921145.109,+1.56980910E+00,+7.82948870E-02,+5.55836500E-03
19,-3.26870000E-05,1558921145.3173332,+1.56981280E+00,+7.82955740E-02,+5.55836500E-03
20,-3.27204000E-05,1558921145.5256667,+1.56981030E+00,+7.82959700E-02,+5.55802700E-03
21,-3.26403000E-05,1558921145.734,+1.56981280E+00,+7.82963660E-02,+5.55800100E-03
22,-3.26337000E-05,1558921145.9423332,+1.56981160E+00,+7.82959700E-02,+5.55805300E-03
23,-3.25739000E-05,1558921146.1506667,+1.56981280E+00,+7.82965240E-02,+5.55815700E-03
24,-3.27208000E-05,1558921146.359,+1.56981530E+00,+7.82975010E-02,+5.55870300E-03
25,-3.26273000E-05,1558921150.021,+1.56981160E+00,+8.08852260E-02,+5.55833900E-03
26,-3.25939000E-05,1558921150.2293332,+1.56981530E+00,+9.80632400E-02,+5.55836500E-03
27,-3.26407000E-05,1558921150.4376667,+1.56981410E+00,+9.80669100E-02,+5.55836500E-03
28,-3.25939000E-05,1558921150.646,+1.56981280E+00,+1.02217560E-01,+5.55802700E-03
29,-3.25873000E-05,1558921150.8543332,+1.56981280E+00,+1.17235440E-01,+5.55807900E-03
30,-3.26140000E-05,1558921151.0626667,+1.56981410E+00,+1.17238720E-01,+5.55823500E-03
31,-3.25739000E-05,1558921151.271,+1.56981030E+00,+1.03757060E-01,+5.55833900E-03
32,-3.26140000E-05,1558921151.4793332,+1.56981160E+00,+1.35366050E-01,+5.55800100E-03
33,-3.26607000E-05,1558921151.6876667,+1.56981160E+00,+1.35396950E-01,+5.55794900E-03
34,-3.24872000E-05,1558921151.896,+1.56981160E+00,+1.45530940E-01,+5.55835200E-03
35,-3.24268000E-05,1558921152.1043332,+1.56981530E+00,+1.55301580E-01,+5.55828700E-03
36,-3.25803000E-05,1558921152.3126667,+1.56981160E+00,+1.55324560E-01,+5.55817000E-03
37,-3.24468000E-05,1558921152.521,+1.56981410E+00,+1.66647580E-01,+5.55766200E-03
38,-3.26604000E-05,1558921152.7293332,+1.56981160E+00,+1.74325940E-01,+5.55813100E-03
39,-3.26337000E-05,1558921152.9376667,+1.56981280E+00,+1.74355530E-01,+5.55805300E-03
40,-3.29007000E-05,1558921153.146,+1.56980910E+00,+1.74374150E-01,+5.55794900E-03
41,-3.26204000E-05,1558921153.3543332,+1.56981410E+00,+1.74383920E-01,+5.55776600E-03
42,-3.26002000E-05,1558921153.5626667,+1.56981160E+00,+1.74396070E-01,+5.55813100E-03
43,-3.26937000E-05,1558921153.771,+1.56981410E+00,+1.74403470E-01,+5.55811800E-03
44,-3.27205000E-05,1558921153.9793332,+1.56981160E+00,+1.74412450E-01,+5.55836500E-03
45,-3.27539000E-05,1558921154.1876667,+1.56980910E+00,+1.74417730E-01,+5.55807900E-03
46,-3.27606000E-05,1558921154.396,+1.56981160E+00,+1.74423540E-01,+5.55802700E-03
47,-3.28405000E-05,1558921154.6043332,+1.56981030E+00,+1.74430410E-01,+5.55865100E-03
