,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-3.73408900E-05,1558928548.506,+1.57076720E+00,+1.10247000E-04,+4.51358900E-03
1,-3.72393800E-05,1558928548.7143333,+1.57076850E+00,+1.10339000E-04,+4.51364100E-03
2,-3.72373700E-05,1558928548.9226668,+1.57076480E+00,+2.47106700E-03,+4.51332900E-03
3,-3.71866300E-05,1558928549.131,+1.57076480E+00,+1.95908280E-02,+4.51338100E-03
4,-3.71806300E-05,1558928549.3393333,+1.57076720E+00,+1.95928750E-02,+4.51340700E-03
5,-3.72153400E-05,1558928549.5476668,+1.57076600E+00,+1.98492240E-02,+4.51377100E-03
6,-3.71632600E-05,1558928549.756,+1.57076970E+00,+3.86918150E-02,+4.51343300E-03
7,-3.71151800E-05,1558928549.9643333,+1.57076720E+00,+3.87019010E-02,+4.51412200E-03
8,-3.70978200E-05,1558928550.1726668,+1.57076850E+00,+4.31879050E-02,+4.51342000E-03
9,-3.70437200E-05,1558928550.381,+1.57077100E+00,+5.80625000E-02,+4.51378400E-03
10,-3.69776000E-05,1558928550.5893333,+1.57076970E+00,+5.81062100E-02,+4.51356300E-03
11,-3.70991500E-05,1558928550.7976668,+1.57077590E+00,+5.56151120E-02,+4.51353700E-03
12,-3.69134800E-05,1558928551.006,+1.57077470E+00,+7.82918510E-02,+4.51403100E-03
13,-3.70470500E-05,1558928551.2143333,+1.57077470E+00,+7.82916660E-02,+4.51400500E-03
14,-3.70791100E-05,1558928551.4226668,+1.57077340E+00,+8.51692190E-02,+4.51366700E-03
15,-3.69382000E-05,1558928551.631,+1.57077340E+00,+9.80608110E-02,+4.51351100E-03
16,-3.69548800E-05,1558928551.8393333,+1.57076850E+00,+9.80638480E-02,+4.51371900E-03
17,-3.70190100E-05,1558928552.0476668,+1.57077220E+00,+9.80658810E-02,+4.51345900E-03
18,-3.68413700E-05,1558928552.256,+1.57076850E+00,+9.80665270E-02,+4.51342000E-03
19,-3.69976400E-05,1558928552.4643333,+1.57077100E+00,+9.80677020E-02,+4.51366700E-03
20,-3.68367000E-05,1558928552.6726668,+1.57077470E+00,+9.80688250E-02,+4.51426500E-03
