,Temp(V),timestamp
0,+7.89271820E-01,1558909906.011
1,+7.89343530E-01,1558909906.2193332
2,+7.89412140E-01,1558909906.4276667
3,+7.89483480E-01,1558909906.636
4,+7.89553580E-01,1558909906.8443332
5,+7.89623930E-01,1558909907.0526667
6,+7.89693780E-01,1558909907.261
7,+7.89762150E-01,1558909907.4693332
8,+7.89832620E-01,1558909907.6776667
9,+7.89901730E-01,1558909907.886
10,+7.89970090E-01,1558909908.0943332
11,+7.90038090E-01,1558909908.3026667
12,+7.90106580E-01,1558909908.511
13,+7.90174690E-01,1558909908.7193332
14,+7.90242570E-01,1558909908.9276667
15,+7.90309570E-01,1558909909.136
16,+7.90377560E-01,1558909909.3443332
17,+7.90443950E-01,1558909909.5526667
18,+7.90511820E-01,1558909909.761
19,+7.90578080E-01,1558909909.9693332
20,+7.90643840E-01,1558909910.1776667
21,+7.90710850E-01,1558909910.386
22,+7.90777110E-01,1558909910.5943332
23,+7.90842130E-01,1558909910.8026667
24,+7.90907900E-01,1558909911.011
25,+7.91002520E-01,1558909914.965
26,+7.91067540E-01,1558909915.1733332
27,+7.91131320E-01,1558909915.3816667
28,+7.91196350E-01,1558909915.59
29,+7.91260130E-01,1558909915.7983332
30,+7.91323910E-01,1558909916.0066667
31,+7.91387820E-01,1558909916.215
32,+7.91450980E-01,1558909916.4233332
33,+7.91514890E-01,1558909916.6316667
34,+7.91577930E-01,1558909916.84
35,+7.91639610E-01,1558909917.0483332
36,+7.91702900E-01,1558909917.2566667
37,+7.91764820E-01,1558909917.465
38,+7.91826750E-01,1558909917.6733332
39,+7.91888430E-01,1558909917.8816667
40,+7.91948120E-01,1558909918.09
41,+7.92011160E-01,1558909918.2983332
42,+7.92072100E-01,1558909918.5066667
43,+7.92133280E-01,1558909918.715
44,+7.92194710E-01,1558909918.9233332
45,+7.92253910E-01,1558909919.1316667
46,+7.92314350E-01,1558909919.34
47,+7.92374540E-01,1558909919.5483332
48,+7.92433500E-01,1558909919.7566667
49,+7.92493570E-01,1558909919.965
50,+7.92586700E-01,1558909923.523
51,+7.92646400E-01,1558909923.7313333
52,+7.92704360E-01,1558909923.9396667
53,+7.92763070E-01,1558909924.148
54,+7.92822270E-01,1558909924.3563333
55,+7.92879860E-01,1558909924.5646667
56,+7.92938810E-01,1558909924.773
57,+7.92995540E-01,1558909924.9813333
58,+7.93053250E-01,1558909925.1896667
59,+7.93110470E-01,1558909925.398
60,+7.93166200E-01,1558909925.6063333
61,+7.93224660E-01,1558909925.8146667
62,+7.93281390E-01,1558909926.023
63,+7.93338110E-01,1558909926.2313333
64,+7.93394090E-01,1558909926.4396667
65,+7.93450190E-01,1558909926.648
66,+7.93507170E-01,1558909926.8563333
67,+7.93562900E-01,1558909927.0646667
68,+7.93618140E-01,1558909927.273
69,+7.93673620E-01,1558909927.4813333
70,+7.93728370E-01,1558909927.6896667
71,+7.93784100E-01,1558909927.898
72,+7.93838470E-01,1558909928.1063333
73,+7.93892220E-01,1558909928.3146667
74,+7.93947950E-01,1558909928.523
75,+7.94032790E-01,1558909932.124
76,+7.94087530E-01,1558909932.3323333
77,+7.94141910E-01,1558909932.5406668
78,+7.94194790E-01,1558909932.749
79,+7.94249160E-01,1558909932.9573333
80,+7.94301180E-01,1558909933.1656668
81,+7.94355180E-01,1558909933.374
82,+7.94408560E-01,1558909933.5823333
83,+7.94460820E-01,1558909933.7906668
84,+7.94514820E-01,1558909933.999
85,+7.94566720E-01,1558909934.2073333
86,+7.94620470E-01,1558909934.4156668
