,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
0,-9.15882000E-04,1558931545.623,+1.57112920E+00,,
1,-9.16162300E-04,1558931545.8313332,+1.57096430E+00,,
2,-9.15087800E-04,1558931546.0396667,+1.57086390E+00,,
3,-4.36520000E-05,1558931546.248,+1.57064830E+00,,
4,-4.29581000E-05,1558931546.4563332,+1.57065940E+00,,
5,-4.29647000E-05,1558931546.6646667,+1.57066060E+00,,
6,-4.23908000E-05,1558931546.873,+1.57066060E+00,,
7,-4.23106000E-05,1558931547.0813332,+1.57065820E+00,,
8,-4.18435000E-05,1558931547.2896667,+1.57065450E+00,,
9,-4.21505000E-05,1558931547.498,+1.57064580E+00,,
10,-4.20636000E-05,1558931547.7063332,+1.57064330E+00,,
11,-4.19837000E-05,1558931547.9146667,+1.57064080E+00,,
12,-4.22305000E-05,1558931548.123,+1.57063830E+00,,
13,-4.21172000E-05,1558931548.3313332,+1.57064450E+00,,
14,-4.24776000E-05,1558931548.5396667,+1.57063460E+00,,
15,-4.23975000E-05,1558931548.748,+1.57063460E+00,,
16,-4.26577000E-05,1558931548.9563332,+1.57063090E+00,,
17,-4.22372000E-05,1558931549.1646667,+1.57062470E+00,,
18,-4.26577000E-05,1558931549.373,+1.57062220E+00,,
19,-4.25843000E-05,1558931549.5813332,+1.57062220E+00,,
20,-4.20236000E-05,1558931549.7896667,+1.57061970E+00,,
21,-4.29179000E-05,1558931549.998,+1.57061850E+00,,
22,-4.26844000E-05,1558931550.2063332,+1.57061600E+00,,
23,-4.21037000E-05,1558931550.4146667,+1.57061230E+00,,
24,-4.22840000E-05,1558931550.623,+1.57061350E+00,,
25,-4.25243000E-05,1558931554.142,+1.57061230E+00,,
26,-4.23574000E-05,1558931554.3503332,+1.57061350E+00,,
27,-4.25976000E-05,1558931554.5586667,+1.57061600E+00,,
28,-4.25643000E-05,1558931554.767,+1.57061350E+00,,
29,-4.20971000E-05,1558931554.9753332,+1.57060860E+00,,
30,-4.21706000E-05,1558931555.1836667,+1.57061110E+00,,
31,-4.22105000E-05,1558931555.392,+1.57060980E+00,,
32,-4.25376000E-05,1558931555.6003332,+1.57061350E+00,,
33,-4.25376000E-05,1558931555.8086667,+1.57061110E+00,,
34,-4.29512000E-05,1558931556.017,+1.57060730E+00,,
35,-4.27111000E-05,1558931556.2253332,+1.57060860E+00,,
36,-4.26509000E-05,1558931556.4336667,+1.57060610E+00,,
37,-4.23573000E-05,1558931556.642,+1.57060730E+00,,
38,-4.23707000E-05,1558931556.8503332,+1.57060730E+00,,
39,-4.24175000E-05,1558931557.0586667,+1.57061230E+00,,
40,-4.27777000E-05,1558931557.267,+1.57060980E+00,,
41,-4.28779000E-05,1558931557.4753332,+1.57060860E+00,,
42,-4.24308000E-05,1558931557.6836667,+1.57060730E+00,,
43,-4.23306000E-05,1558931557.892,+1.57060240E+00,,
44,-4.29312000E-05,1558931558.1003332,+1.57060360E+00,,
45,-4.24174000E-05,1558931558.3086667,+1.57059870E+00,,
46,-4.20971000E-05,1558931558.517,+1.57059870E+00,,
47,-4.23440000E-05,1558931558.7253332,+1.57060120E+00,,
48,-4.27512000E-05,1558931558.9336667,+1.57060120E+00,,
49,-4.27311000E-05,1558931559.142,+1.57060240E+00,,
50,-4.21171000E-05,1558931562.764,+1.57059990E+00,,
51,-4.24640000E-05,1558931562.9723332,+1.57060360E+00,,
52,-4.23507000E-05,1558931563.1806667,+1.57059990E+00,,
53,-4.26643000E-05,1558931563.389,+1.57060490E+00,,
54,-4.25309000E-05,1558931563.5973332,+1.57059870E+00,,
55,-4.22974000E-05,1558931563.8056667,+1.57060240E+00,,
56,-4.23440000E-05,1558931564.014,+1.57060240E+00,,
57,-4.23908000E-05,1558931564.2223332,+1.57060490E+00,,
58,-4.25109000E-05,1558931564.4306667,+1.57060240E+00,,
59,-4.19703000E-05,1558931564.639,+1.57060610E+00,,
60,-4.27111000E-05,1558931564.8473332,+1.57060360E+00,,
61,-4.26243000E-05,1558931565.0556667,+1.57060860E+00,,
62,-4.22105000E-05,1558931565.264,+1.57059990E+00,,
63,-4.25709000E-05,1558931565.4723332,+1.57060490E+00,,
64,-4.24508000E-05,1558931565.6806667,+1.57059990E+00,,
65,-4.25776000E-05,1558931565.889,+1.57059990E+00,,
66,-4.25976000E-05,1558931566.0973332,+1.57060490E+00,,
67,-4.21104000E-05,1558931566.3056667,+1.57060120E+00,,
68,-4.21439000E-05,1558931566.514,+1.57060360E+00,,
69,-4.23173000E-05,1558931566.7223332,+1.57059870E+00,,
70,-4.21038000E-05,1558931566.9306667,+1.57059500E+00,,
71,-4.23172000E-05,1558931567.139,+1.57059740E+00,,
72,-4.23173000E-05,1558931567.3473332,+1.57059620E+00,,
73,-4.28580000E-05,1558931567.5556667,+1.57059740E+00,,
74,-4.21105000E-05,1558931567.764,+1.57059740E+00,,
75,-4.16967000E-05,1558931571.363,+1.57059870E+00,,
76,-4.21772000E-05,1558931571.5713332,+1.57060120E+00,,
77,-4.21638000E-05,1558931571.7796667,+1.57060240E+00,,
78,-4.21772000E-05,1558931571.988,+1.57060240E+00,,
79,-4.21439000E-05,1558931572.1963332,+1.57060610E+00,,
80,-4.19303000E-05,1558931572.4046667,+1.57060120E+00,,
81,-4.16166000E-05,1558931572.613,+1.57059990E+00,,
82,-4.29714000E-05,1558931572.8213332,+1.57060240E+00,,
83,-4.18702000E-05,1558931573.0296667,+1.57059870E+00,,
84,-4.22505000E-05,1558931573.238,+1.57060360E+00,,
85,-4.21504000E-05,1558931573.4463332,+1.57060240E+00,,
86,-4.24909000E-05,1558931573.6546667,+1.57059990E+00,,
87,-4.20037000E-05,1558931573.863,+1.57059990E+00,,
88,-4.26243000E-05,1558931574.0713332,+1.57059870E+00,,
89,-4.26577000E-05,1558931574.2796667,+1.57059870E+00,,
90,-4.19370000E-05,1558931574.488,+1.57059870E+00,,
91,-4.23908000E-05,1558931574.6963332,+1.57059870E+00,,
92,-4.26976000E-05,1558931574.9046667,+1.57059500E+00,,
93,-4.20037000E-05,1558931575.113,+1.57059870E+00,,
94,-4.19437000E-05,1558931575.3213332,+1.57059870E+00,,
95,-4.19770000E-05,1558931575.5296667,+1.57059990E+00,,
96,-4.22706000E-05,1558931575.738,+1.57060240E+00,,
97,-4.23974000E-05,1558931575.9463332,+1.57060120E+00,,
98,-4.24308000E-05,1558931576.1546667,+1.57060120E+00,,
99,-4.20704000E-05,1558931576.363,+1.57060120E+00,,
100,-4.20903000E-05,1558931579.964,+1.57060240E+00,,
101,-4.26709000E-05,1558931580.1723332,+1.57060360E+00,,
102,-4.23574000E-05,1558931580.3806667,+1.57060120E+00,,
103,-4.28711000E-05,1558931580.589,+1.57060240E+00,,
104,-4.21706000E-05,1558931580.7973332,+1.57060360E+00,,
105,-4.27445000E-05,1558931581.0056667,+1.57060610E+00,,
106,-4.19570000E-05,1558931581.214,+1.57060610E+00,,
107,-4.29114000E-05,1558931581.4223332,+1.57060120E+00,,
108,-4.23574000E-05,1558931581.6306667,+1.57060860E+00,,
109,-4.21104000E-05,1558931581.839,+1.57060730E+00,,
110,-4.20437000E-05,1558931582.0473332,+1.57060360E+00,,
111,-4.25376000E-05,1558931582.2556667,+1.57060490E+00,,
112,-4.22840000E-05,1558931582.464,+1.57060490E+00,,
113,-4.16767000E-05,1558931582.6723332,+1.57060360E+00,,
114,-4.29513000E-05,1558931582.8806667,+1.57060360E+00,,
115,-4.25109000E-05,1558931583.089,+1.57059990E+00,,
116,-4.26778000E-05,1558931583.2973332,+1.57060360E+00,,
117,-4.19636000E-05,1558931583.5056667,+1.57060120E+00,,
118,-4.28578000E-05,1558931583.714,+1.57059870E+00,,
