,SQUID_Volt(V),timestamp,MAG_CURR(A)
0,-5.73483630E-03,1558932511.117,
1,-5.73605750E-03,1558932511.3253334,
2,-5.73895380E-03,1558932511.5336668,
3,-3.20266000E-05,1558932511.742,
4,-3.17063000E-05,1558932511.9503334,
5,-3.14728000E-05,1558932512.1586668,
6,-3.19266000E-05,1558932512.367,
7,-3.24471000E-05,1558932512.5753334,
8,-3.21468000E-05,1558932512.7836668,
9,-3.19266000E-05,1558932512.992,
10,-3.23403000E-05,1558932513.2003334,
11,-3.20800000E-05,1558932513.4086668,
12,-3.16263000E-05,1558932513.617,
13,-3.03716000E-05,1558932513.8253334,
14,-2.96910000E-05,1558932514.0336668,
15,-2.95842000E-05,1558932514.242,
16,-3.04517000E-05,1558932514.4503334,
17,-3.05252000E-05,1558932514.6586668,
18,-3.05519000E-05,1558932514.867,
19,-3.19332000E-05,1558932515.0753334,
20,-3.21269000E-05,1558932515.2836668,
21,-3.21068000E-05,1558932515.492,
22,-3.19333000E-05,1558932515.7003334,
23,-3.14994000E-05,1558932515.9086668,
24,-3.02849000E-05,1558932516.117,
25,-3.24337000E-05,1558932517.15,
26,-3.19266000E-05,1558932517.3583333,
27,-3.18733000E-05,1558932517.5666668,
28,-3.19466000E-05,1558932517.775,
29,-3.17730000E-05,1558932517.9833333,
30,-3.21602000E-05,1558932518.1916668,
31,-3.21934000E-05,1558932518.4,
32,-3.21869000E-05,1558932518.6083333,
33,-3.24005000E-05,1558932518.8166668,
34,-3.20801000E-05,1558932519.025,
35,-3.23204000E-05,1558932519.2333333,
36,-3.22602000E-05,1558932519.4416668,
37,-3.20267000E-05,1558932519.65,
38,-3.20067000E-05,1558932519.8583333,
39,-3.19599000E-05,1558932520.0666668,
40,-3.18264000E-05,1558932520.275,
41,-3.01847000E-05,1558932520.4833333,
42,-3.03048000E-05,1558932520.6916668,
43,-2.98577000E-05,1558932520.9,
44,-2.93706000E-05,1558932521.1083333,
45,-3.00046000E-05,1558932521.3166668,
46,-3.06653000E-05,1558932521.525,
47,-3.20934000E-05,1558932521.7333333,
48,-3.21135000E-05,1558932521.9416668,
49,-3.19933000E-05,1558932522.15,
50,-3.19466000E-05,1558932522.221,
51,-3.19400000E-05,1558932522.4293332,
52,-3.22803000E-05,1558932522.6376667,
53,-3.17331000E-05,1558932522.846,
54,-3.15262000E-05,1558932523.0543332,
55,-3.14393000E-05,1558932523.2626667,
56,-3.23203000E-05,1558932523.471,
57,-3.22135000E-05,1558932523.6793332,
58,-3.20934000E-05,1558932523.8876667,
59,-3.22403000E-05,1558932524.096,
60,-3.19065000E-05,1558932524.3043332,
61,-3.12726000E-05,1558932524.5126667,
62,-3.03983000E-05,1558932524.721,
63,-3.02850000E-05,1558932524.9293332,
64,-3.01647000E-05,1558932525.1376667,
65,-3.15261000E-05,1558932525.346,
66,-3.20467000E-05,1558932525.5543332,
67,-3.22536000E-05,1558932525.7626667,
68,-3.21534000E-05,1558932525.971,
69,-3.20935000E-05,1558932526.1793332,
70,-3.14594000E-05,1558932526.3876667,
71,-3.19533000E-05,1558932526.596,
72,-3.15929000E-05,1558932526.8043332,
73,-3.17330000E-05,1558932527.0126667,
74,-3.10257000E-05,1558932527.221,
75,-3.18733000E-05,1558932527.421,
76,-3.23271000E-05,1558932527.6293333,
77,-3.17931000E-05,1558932527.8376667,
78,-3.19666000E-05,1558932528.046,
79,-3.17264000E-05,1558932528.2543333,
80,-3.15728000E-05,1558932528.4626667,
81,-3.14862000E-05,1558932528.671,
82,-3.00113000E-05,1558932528.8793333,
83,-3.03182000E-05,1558932529.0876667,
84,-3.04784000E-05,1558932529.296,
85,-3.03784000E-05,1558932529.5043333,
86,-3.02983000E-05,1558932529.7126667,
