,SQUID_Volt(V),timestamp
0,-5.73764580E-03,1558933317.872
1,-5.73829320E-03,1558933318.0803332
2,-5.73881360E-03,1558933318.2886667
3,-2.89035000E-05,1558933318.497
4,-2.95042000E-05,1558933318.7053332
5,-2.93039000E-05,1558933318.9136667
6,-2.85897000E-05,1558933319.122
7,-2.93172000E-05,1558933319.3303332
8,-2.89235000E-05,1558933319.5386667
9,-2.91703000E-05,1558933319.747
10,-2.89902000E-05,1558933319.9553332
11,-2.84830000E-05,1558933320.1636667
12,-2.88300000E-05,1558933320.372
13,-2.91170000E-05,1558933320.5803332
14,-2.88234000E-05,1558933320.7886667
15,-2.92439000E-05,1558933320.997
16,-2.89501000E-05,1558933321.2053332
17,-2.88768000E-05,1558933321.4136667
18,-2.85697000E-05,1558933321.622
19,-2.85431000E-05,1558933321.8303332
20,-2.84963000E-05,1558933322.0386667
21,-2.76956000E-05,1558933322.247
22,-2.82627000E-05,1558933322.4553332
23,-2.77490000E-05,1558933322.6636667
24,-2.87433000E-05,1558933322.872
25,-2.94040000E-05,1558933323.905
26,-2.95841000E-05,1558933324.1133332
27,-2.96642000E-05,1558933324.3216667
28,-2.91103000E-05,1558933324.53
29,-2.87434000E-05,1558933324.7383332
30,-2.87633000E-05,1558933324.9466667
31,-2.86633000E-05,1558933325.155
32,-2.98044000E-05,1558933325.3633332
33,-2.95240000E-05,1558933325.5716667
34,-2.95040000E-05,1558933325.78
35,-2.95774000E-05,1558933325.9883332
36,-2.91436000E-05,1558933326.1966667
37,-2.84295000E-05,1558933326.405
38,-2.83696000E-05,1558933326.6133332
39,-2.83562000E-05,1558933326.8216667
40,-2.80693000E-05,1558933327.03
41,-2.86232000E-05,1558933327.2383332
42,-2.79358000E-05,1558933327.4466667
43,-2.80960000E-05,1558933327.655
44,-2.83228000E-05,1558933327.8633332
45,-2.83830000E-05,1558933328.0716667
46,-2.88433000E-05,1558933328.28
47,-2.87367000E-05,1558933328.4883332
48,-2.91103000E-05,1558933328.6966667
49,-2.91303000E-05,1558933328.905
50,-2.85297000E-05,1558933328.975
51,-2.81961000E-05,1558933329.1833332
52,-2.82094000E-05,1558933329.3916667
53,-2.82093000E-05,1558933329.6
54,-2.81227000E-05,1558933329.8083332
55,-2.85297000E-05,1558933330.0166667
56,-2.89635000E-05,1558933330.225
57,-2.98043000E-05,1558933330.4333332
58,-2.94774000E-05,1558933330.6416667
59,-2.93972000E-05,1558933330.85
60,-2.86565000E-05,1558933331.0583332
61,-2.86698000E-05,1558933331.2666667
62,-2.88166000E-05,1558933331.475
63,-2.85897000E-05,1558933331.6833332
64,-2.91170000E-05,1558933331.8916667
65,-2.90369000E-05,1558933332.1
66,-2.94040000E-05,1558933332.3083332
67,-2.95308000E-05,1558933332.5166667
68,-2.92573000E-05,1558933332.725
69,-2.86232000E-05,1558933332.9333332
70,-2.88768000E-05,1558933333.1416667
