,SQUID_Volt(V),timestamp,Temp(V)
0,+1.80713000E-06,1558936060.504,+1.56672640E+00
1,+1.78844000E-06,1558936060.7123332,+1.56662230E+00
2,+1.94604000E-06,1558936060.9206667,+1.56625040E+00
3,+1.82784000E-06,1558936061.129,+1.56589720E+00
4,+1.81448000E-06,1558936061.3373332,+1.56525510E+00
5,+1.83318000E-06,1558936061.5456667,+1.56483490E+00
6,+1.92534000E-06,1558936061.754,+1.56414450E+00
7,+1.86992000E-06,1558936061.9623332,+1.56357680E+00
8,+1.87525000E-06,1558936062.1706667,+1.56332270E+00
9,+1.87392000E-06,1558936062.379,+1.56332270E+00
10,+1.87191000E-06,1558936062.5873332,+1.56325200E+00
11,+1.93670000E-06,1558936062.7956667,+1.56312810E+00
12,+1.94204000E-06,1558936063.004,+1.56291360E+00
13,+1.96474000E-06,1558936063.2123332,+1.56264090E+00
14,+1.95005000E-06,1558936063.4206667,+1.56239670E+00
15,+1.87726000E-06,1558936063.629,+1.56198890E+00
16,+1.77708000E-06,1558936063.8373332,+1.56134190E+00
17,+1.92200000E-06,1558936064.0456667,+1.56086840E+00
18,+1.91666000E-06,1558936064.254,+1.56075810E+00
19,+1.74903000E-06,1558936064.4623332,+1.56066640E+00
20,+1.76172000E-06,1558936064.6706667,+1.56061800E+00
21,+1.79244000E-06,1558936064.879,+1.56054860E+00
22,+1.81248000E-06,1558936065.0873332,+1.56040980E+00
23,+1.84319000E-06,1558936065.2956667,+1.56005900E+00
24,+1.83385000E-06,1558936065.504,+1.55962760E+00
25,+1.77575000E-06,1558936069.225,+1.55913430E+00
26,+1.85255000E-06,1558936069.4333332,+1.55894710E+00
27,+2.02151000E-06,1558936069.6416667,+1.55872900E+00
28,+2.02084000E-06,1558936069.85,+1.55852070E+00
29,+1.80713000E-06,1558936070.0583332,+1.55826040E+00
30,+1.82717000E-06,1558936070.2666667,+1.55791580E+00
31,+1.81515000E-06,1558936070.475,+1.55758610E+00
32,+1.83251000E-06,1558936070.6833332,+1.55735560E+00
33,+1.75171000E-06,1558936070.8916667,+1.55719320E+00
34,+1.74569000E-06,1558936071.1,+1.55690190E+00
35,+2.05089000E-06,1558936071.3083332,+1.55672710E+00
36,+1.97142000E-06,1558936071.5166667,+1.55657720E+00
37,+1.99746000E-06,1558936071.725,+1.55651270E+00
38,+1.82049000E-06,1558936071.9333332,+1.55654990E+00
39,+1.77174000E-06,1558936072.1416667,+1.55650530E+00
40,+1.81047000E-06,1558936072.35,+1.55650400E+00
41,+2.00013000E-06,1558936072.5583332,+1.55648540E+00
42,+2.04221000E-06,1558936072.7666667,+1.55648050E+00
43,+2.02218000E-06,1558936072.975,+1.55645820E+00
44,+2.03620000E-06,1558936073.1833332,+1.55620280E+00
45,+2.08829000E-06,1558936073.3916667,+1.55602560E+00
46,+2.03286000E-06,1558936073.6,+1.55564260E+00
47,+2.10098000E-06,1558936073.8083332,+1.55532150E+00
48,+2.10232000E-06,1558936074.0166667,+1.55508230E+00
49,+2.08562000E-06,1558936074.225,+1.55488150E+00
50,+2.19047000E-06,1558936077.846,+1.55475750E+00
51,+2.15975000E-06,1558936078.0543332,+1.55397420E+00
52,+2.10298000E-06,1558936078.2626667,+1.55382290E+00
53,+2.09764000E-06,1558936078.471,+1.55318330E+00
54,+2.10966000E-06,1558936078.6793332,+1.55217560E+00
55,+2.08428000E-06,1558936078.8876667,+1.55183600E+00
56,+2.01617000E-06,1558936079.096,+1.55175790E+00
57,+2.09898000E-06,1558936079.3043332,+1.55185330E+00
58,+2.09564000E-06,1558936079.5126667,+1.55204670E+00
59,+2.09830000E-06,1558936079.721,+1.55206280E+00
60,+2.08094000E-06,1558936079.9293332,+1.55193760E+00
61,+2.13303000E-06,1558936080.1376667,+1.55180870E+00
62,+2.07828000E-06,1558936080.346,+1.55175170E+00
63,+2.13437000E-06,1558936080.5543332,+1.55188310E+00
64,+2.17311000E-06,1558936080.7626667,+1.55199710E+00
65,+2.20115000E-06,1558936080.971,+1.55189920E+00
66,+2.11433000E-06,1558936081.1793332,+1.55193270E+00
67,+2.22987000E-06,1558936081.3876667,+1.55186200E+00
68,+2.20917000E-06,1558936081.596,+1.55185460E+00
69,+2.23588000E-06,1558936081.8043332,+1.55186820E+00
70,+2.28196000E-06,1558936082.0126667,+1.55177650E+00
71,+2.18713000E-06,1558936082.221,+1.55167360E+00
72,+2.31268000E-06,1558936082.4293332,+1.55161410E+00
73,+2.28330000E-06,1558936082.6376667,+1.55157940E+00
74,+2.27862000E-06,1558936082.846,+1.55120260E+00
75,+2.14239000E-06,1558936086.447,+1.55081710E+00
76,+2.08628000E-06,1558936086.6553333,+1.55037830E+00
