,SQUID_Volt(V),timestamp
0,-2.25552100E-05,1558929834.113
1,-2.20797100E-05,1558929834.3213332
2,-2.24650500E-05,1558929834.5296667
3,-2.24590400E-05,1558929834.738
4,-2.27308500E-05,1558929834.9463332
5,-2.24790800E-05,1558929835.1546667
6,-2.26340200E-05,1558929835.363
7,-2.23762300E-05,1558929835.5713332
8,-2.23809100E-05,1558929835.7796667
9,-2.25859200E-05,1558929835.988
10,-2.26934500E-05,1558929836.1963332
11,-2.24216400E-05,1558929836.4046667
12,-2.24530400E-05,1558929836.613
13,-2.25946100E-05,1558929836.8213332
14,-2.24289800E-05,1558929837.0296667
15,-2.26119700E-05,1558929837.238
16,-2.23735500E-05,1558929837.4463332
17,-2.23682200E-05,1558929837.6546667
18,-2.27181500E-05,1558929837.863
19,-2.21257900E-05,1558929838.0713332
20,-2.26393500E-05,1558929838.2796667
21,-2.28023000E-05,1558929838.488
22,-2.25458600E-05,1558929838.6963332
23,-2.23602000E-05,1558929838.9046667
24,-2.23695400E-05,1558929839.113
25,-2.25351600E-05,1558929841.461
26,-2.25024500E-05,1558929841.6693332
27,-2.23014300E-05,1558929841.8776667
28,-2.24677200E-05,1558929842.086
29,-2.27221500E-05,1558929842.2943332
30,-2.27067900E-05,1558929842.5026667
31,-2.23401700E-05,1558929842.711
32,-2.23902600E-05,1558929842.9193332
33,-2.26113100E-05,1558929843.1276667
34,-2.25491900E-05,1558929843.336
35,-2.27422000E-05,1558929843.5443332
36,-2.24169700E-05,1558929843.7526667
37,-2.28530500E-05,1558929843.961
38,-2.24149600E-05,1558929844.1693332
39,-2.26333400E-05,1558929844.3776667
40,-2.29038100E-05,1558929844.586
41,-2.26500500E-05,1558929844.7943332
42,-2.29512300E-05,1558929845.0026667
43,-2.30273500E-05,1558929845.211
44,-2.28216700E-05,1558929845.4193332
45,-2.30353800E-05,1558929845.6276667
46,-2.26961300E-05,1558929845.836
47,-2.26233300E-05,1558929846.0443332
48,-2.27034600E-05,1558929846.2526667
49,-2.27275100E-05,1558929846.461
50,-2.25765800E-05,1558929848.107
51,-2.23361600E-05,1558929848.3153334
52,-2.26299900E-05,1558929848.5236669
53,-2.23762300E-05,1558929848.732
54,-2.29151600E-05,1558929848.9403334
55,-2.27542200E-05,1558929849.1486669
56,-2.24223000E-05,1558929849.357
57,-2.28911100E-05,1558929849.5653334
58,-2.26867700E-05,1558929849.7736669
59,-2.29131500E-05,1558929849.982
60,-2.25665500E-05,1558929850.1903334
61,-2.24550300E-05,1558929850.3986669
62,-2.25512100E-05,1558929850.607
63,-2.25912600E-05,1558929850.8153334
64,-2.24169600E-05,1558929851.0236669
65,-2.24890900E-05,1558929851.232
66,-2.24483500E-05,1558929851.4403334
67,-2.26159800E-05,1558929851.6486669
68,-2.29338600E-05,1558929851.857
69,-2.26366800E-05,1558929852.0653334
70,-2.27869400E-05,1558929852.2736669
71,-2.26894400E-05,1558929852.482
72,-2.25645600E-05,1558929852.6903334
73,-2.23976100E-05,1558929852.8986669
74,-2.27081500E-05,1558929853.107
75,-2.26560400E-05,1558929854.707
76,-2.25017900E-05,1558929854.9153333
77,-2.22680500E-05,1558929855.1236668
