,SQUID_Volt(V),timestamp
0,-2.56047000E-05,1558930564.789
1,-2.57056000E-05,1558930564.9973333
2,-2.58672000E-05,1558930565.2056668
3,-2.57842000E-05,1558930565.414
4,-2.58090000E-05,1558930565.6223333
5,-2.58950000E-05,1558930565.8306668
6,-2.58128000E-05,1558930566.039
7,-2.57862000E-05,1558930566.2473333
8,-2.56683000E-05,1558930566.4556668
9,-2.58384000E-05,1558930566.664
10,-2.57250000E-05,1558930566.8723333
11,-2.60571000E-05,1558930567.0806668
12,-2.61833000E-05,1558930567.289
13,-2.58036000E-05,1558930567.4973333
14,-2.60714000E-05,1558930567.7056668
15,-2.60067000E-05,1558930567.914
16,-2.60440000E-05,1558930568.1223333
17,-2.64065000E-05,1558930568.3306668
18,-2.60441000E-05,1558930568.539
19,-2.61116000E-05,1558930568.7473333
20,-2.60299000E-05,1558930568.9556668
21,-2.61955000E-05,1558930569.164
22,-2.62262000E-05,1558930569.3723333
23,-2.59453000E-05,1558930569.5806668
24,-2.61182000E-05,1558930569.789
25,-2.62212000E-05,1558930571.026
26,-2.59726000E-05,1558930571.2343333
27,-2.61410000E-05,1558930571.4426668
28,-2.57431000E-05,1558930571.651
29,-2.60155000E-05,1558930571.8593333
30,-2.58214000E-05,1558930572.0676668
31,-2.58654000E-05,1558930572.276
32,-2.63066000E-05,1558930572.4843333
33,-2.61875000E-05,1558930572.6926668
34,-2.63172000E-05,1558930572.901
35,-2.57111000E-05,1558930573.1093333
36,-2.60931000E-05,1558930573.3176668
37,-2.62803000E-05,1558930573.526
38,-2.57362000E-05,1558930573.7343333
39,-2.61188000E-05,1558930573.9426668
40,-2.60020000E-05,1558930574.151
41,-2.62924000E-05,1558930574.3593333
42,-2.59438000E-05,1558930574.5676668
43,-2.62057000E-05,1558930574.776
44,-2.56295000E-05,1558930574.9843333
45,-2.62210000E-05,1558930575.1926668
46,-2.64341000E-05,1558930575.401
47,-2.60141000E-05,1558930575.6093333
48,-2.59407000E-05,1558930575.8176668
49,-2.59909000E-05,1558930576.026
50,-2.61565000E-05,1558930576.558
