,SQUID_Volt(V),timestamp
0,-2.39890300E-05,1558930102.126
1,-2.46007500E-05,1558930102.3343332
2,-2.43509800E-05,1558930102.5426667
3,-2.48198100E-05,1558930102.751
4,-2.42695200E-05,1558930102.9593332
5,-2.42034000E-05,1558930103.1676667
6,-2.42721800E-05,1558930103.376
7,-2.41039000E-05,1558930103.5843332
8,-2.45406600E-05,1558930103.7926667
9,-2.41226000E-05,1558930104.001
10,-2.42908900E-05,1558930104.2093332
11,-2.42822000E-05,1558930104.4176667
12,-2.42935600E-05,1558930104.626
13,-2.42034000E-05,1558930104.8343332
14,-2.46107800E-05,1558930105.0426667
15,-2.43162600E-05,1558930105.251
16,-2.39729900E-05,1558930105.4593332
17,-2.45413300E-05,1558930105.6676667
18,-2.44304500E-05,1558930105.876
19,-2.44631900E-05,1558930106.0843332
20,-2.46521800E-05,1558930106.2926667
21,-2.44244500E-05,1558930106.501
22,-2.42508200E-05,1558930106.7093332
23,-2.45653700E-05,1558930106.9176667
24,-2.42047300E-05,1558930107.126
25,-2.43777000E-05,1558930109.475
26,-2.43229400E-05,1558930109.6833332
27,-2.43523300E-05,1558930109.8916667
28,-2.47403300E-05,1558930110.1
29,-2.43122600E-05,1558930110.3083332
30,-2.43349700E-05,1558930110.5166667
31,-2.42855500E-05,1558930110.725
32,-2.41720200E-05,1558930110.9333332
33,-2.44591800E-05,1558930111.1416667
34,-2.43022500E-05,1558930111.35
35,-2.41766900E-05,1558930111.5583332
36,-2.40457900E-05,1558930111.7666667
37,-2.43035800E-05,1558930111.975
38,-2.40097300E-05,1558930112.1833332
39,-2.41426400E-05,1558930112.3916667
40,-2.45386400E-05,1558930112.6
41,-2.43783800E-05,1558930112.8083332
42,-2.40137400E-05,1558930113.0166667
43,-2.41953900E-05,1558930113.225
44,-2.44792200E-05,1558930113.4333332
45,-2.44752000E-05,1558930113.6416667
46,-2.41052400E-05,1558930113.85
47,-2.42701800E-05,1558930114.0583332
48,-2.41206000E-05,1558930114.2666667
49,-2.42454800E-05,1558930114.475
50,-2.44231200E-05,1558930116.12
51,-2.41112500E-05,1558930116.3283331
52,-2.40190700E-05,1558930116.5366666
53,-2.41172500E-05,1558930116.745
54,-2.45252800E-05,1558930116.9533331
55,-2.43590100E-05,1558930117.1616666
56,-2.45232900E-05,1558930117.37
57,-2.42548200E-05,1558930117.5783331
58,-2.42835400E-05,1558930117.7866666
59,-2.38668100E-05,1558930117.995
60,-2.41065600E-05,1558930118.2033331
61,-2.41159200E-05,1558930118.4116666
62,-2.40785200E-05,1558930118.62
63,-2.41880400E-05,1558930118.8283331
64,-2.42855500E-05,1558930119.0366666
65,-2.44164400E-05,1558930119.245
66,-2.45132800E-05,1558930119.4533331
67,-2.44885700E-05,1558930119.6616666
68,-2.43249400E-05,1558930119.87
69,-2.44057600E-05,1558930120.0783331
70,-2.43122600E-05,1558930120.2866666
71,-2.42621700E-05,1558930120.495
72,-2.46508500E-05,1558930120.7033331
73,-2.43316200E-05,1558930120.9116666
74,-2.42207600E-05,1558930121.12
75,-2.40431200E-05,1558930122.719
76,-2.44404800E-05,1558930122.9273334
77,-2.44358000E-05,1558930123.1356668
78,-2.44010700E-05,1558930123.344
79,-2.41252600E-05,1558930123.5523334
80,-2.47376600E-05,1558930123.7606668
81,-2.43022300E-05,1558930123.969
82,-2.41673400E-05,1558930124.1773334
83,-2.44257900E-05,1558930124.3856668
84,-2.43109200E-05,1558930124.594
85,-2.42154200E-05,1558930124.8023334
86,-2.42835400E-05,1558930125.0106668
87,-2.40077300E-05,1558930125.219
88,-2.40224200E-05,1558930125.4273334
89,-2.42468100E-05,1558930125.6356668
90,-2.44117700E-05,1558930125.844
91,-2.42040800E-05,1558930126.0523334
92,-2.43650100E-05,1558930126.2606668
93,-2.44905700E-05,1558930126.469
94,-2.41419700E-05,1558930126.6773334
95,-2.45212900E-05,1558930126.8856668
96,-2.42888800E-05,1558930127.094
97,-2.43149300E-05,1558930127.3023334
98,-2.44918900E-05,1558930127.5106668
99,-2.44277900E-05,1558930127.719
100,-2.40718500E-05,1558930129.32
101,-2.46254600E-05,1558930129.5283332
102,-2.44591800E-05,1558930129.7366667
103,-2.44117600E-05,1558930129.945
104,-2.43276200E-05,1558930130.1533332
105,-2.44371500E-05,1558930130.3616667
106,-2.40544800E-05,1558930130.57
107,-2.44498300E-05,1558930130.7783332
108,-2.42648400E-05,1558930130.9866667
109,-2.42374600E-05,1558930131.195
110,-2.42361200E-05,1558930131.4033332
111,-2.44498300E-05,1558930131.6116667
112,-2.42147600E-05,1558930131.82
113,-2.42054100E-05,1558930132.0283332
114,-2.44338100E-05,1558930132.2366667
115,-2.40458000E-05,1558930132.445
116,-2.44605200E-05,1558930132.6533332
117,-2.44718600E-05,1558930132.8616667
118,-2.44217900E-05,1558930133.07
119,-2.41793600E-05,1558930133.2783332
120,-2.45366400E-05,1558930133.4866667
121,-2.45847300E-05,1558930133.695
122,-2.45907300E-05,1558930133.9033332
123,-2.41513100E-05,1558930134.1116667
124,-2.42555000E-05,1558930134.32
125,-2.44511600E-05,1558930135.919
126,-2.42942300E-05,1558930136.1273332
127,-2.43256100E-05,1558930136.3356667
128,-2.44351400E-05,1558930136.544
129,-2.46608700E-05,1558930136.7523332
130,-2.45319800E-05,1558930136.9606667
131,-2.42140900E-05,1558930137.169
132,-2.42534900E-05,1558930137.3773332
133,-2.44591700E-05,1558930137.5856667
