,SQUID_Volt(V),timestamp
0,-2.17638500E-05,1558929183.406
1,-2.42909400E-05,1558929183.6143332
2,-2.47023100E-05,1558929183.8226666
3,-2.18700500E-05,1558929184.031
4,-2.25184900E-05,1558929184.2393332
5,-2.45033100E-05,1558929184.4476666
6,-2.50395700E-05,1558929184.656
7,-2.16797100E-05,1558929184.8643332
8,-2.40985900E-05,1558929185.0726666
9,-2.37506600E-05,1558929185.281
10,-2.35209100E-05,1558929185.4893332
11,-2.43376800E-05,1558929185.6976666
12,-2.17150900E-05,1558929185.906
13,-2.17812200E-05,1558929186.1143332
14,-2.42007800E-05,1558929186.3226666
15,-2.40278200E-05,1558929186.531
16,-2.44979600E-05,1558929186.7393332
17,-2.20022600E-05,1558929186.9476666
18,-2.19668700E-05,1558929187.156
19,-2.17605100E-05,1558929187.3643332
20,-2.17491600E-05,1558929187.5726666
21,-2.17939100E-05,1558929187.781
22,-2.21565300E-05,1558929187.9893332
23,-2.19201200E-05,1558929188.1976666
24,-2.22987800E-05,1558929188.406
25,-2.19268100E-05,1558929190.753
26,-2.18473400E-05,1558929190.9613333
27,-2.18005900E-05,1558929191.1696668
28,-2.15708600E-05,1558929191.378
29,-2.20022700E-05,1558929191.5863333
30,-2.18346400E-05,1558929191.7946668
31,-2.31268900E-05,1558929192.003
32,-2.19722200E-05,1558929192.2113333
33,-2.21051000E-05,1558929192.4196668
34,-2.20396600E-05,1558929192.628
35,-2.19815700E-05,1558929192.8363333
36,-2.20677200E-05,1558929193.0446668
37,-2.17010800E-05,1558929193.253
38,-2.49300500E-05,1558929193.4613333
39,-2.19134500E-05,1558929193.6696668
40,-2.19895900E-05,1558929193.878
41,-2.46629200E-05,1558929194.0863333
42,-2.46709400E-05,1558929194.2946668
43,-2.16543400E-05,1558929194.503
44,-2.28691100E-05,1558929194.7113333
45,-2.22106300E-05,1558929194.9196668
46,-2.24497000E-05,1558929195.128
47,-2.32050200E-05,1558929195.3363333
48,-2.39756900E-05,1558929195.5446668
49,-2.18967500E-05,1558929195.753
50,-2.46896300E-05,1558929197.399
51,-2.44158000E-05,1558929197.6073332
52,-2.49908100E-05,1558929197.8156667
53,-2.22413500E-05,1558929198.024
54,-2.19889000E-05,1558929198.2323332
55,-2.20296500E-05,1558929198.4406667
56,-2.19434900E-05,1558929198.649
57,-2.20777400E-05,1558929198.8573332
58,-2.17778800E-05,1558929199.0656667
59,-2.21251400E-05,1558929199.274
60,-2.46629100E-05,1558929199.4823332
61,-2.22787400E-05,1558929199.6906667
62,-2.20269900E-05,1558929199.899
63,-2.25391900E-05,1558929200.1073332
64,-2.25532200E-05,1558929200.3156667
65,-2.23822600E-05,1558929200.524
66,-2.23542100E-05,1558929200.7323332
67,-2.48352100E-05,1558929200.9406667
68,-2.46235100E-05,1558929201.149
69,-2.44171300E-05,1558929201.3573332
70,-2.26560800E-05,1558929201.5656667
71,-2.17765500E-05,1558929201.774
72,-2.18186100E-05,1558929201.9823332
73,-2.24463700E-05,1558929202.1906667
74,-2.24096300E-05,1558929202.399
75,-2.24510500E-05,1558929203.998
76,-2.18466600E-05,1558929204.2063332
77,-2.43356500E-05,1558929204.4146667
78,-2.41533400E-05,1558929204.623
79,-2.48659400E-05,1558929204.8313332
80,-2.23134700E-05,1558929205.0396667
81,-2.20850700E-05,1558929205.248
82,-2.21992800E-05,1558929205.4563332
83,-2.22259900E-05,1558929205.6646667
84,-2.26407100E-05,1558929205.873
85,-2.28163400E-05,1558929206.0813332
86,-2.22881000E-05,1558929206.2896667
87,-2.45974500E-05,1558929206.498
88,-2.50215500E-05,1558929206.7063332
89,-2.24657400E-05,1558929206.9146667
90,-2.26554000E-05,1558929207.123
91,-2.22947700E-05,1558929207.3313332
92,-2.44759000E-05,1558929207.5396667
93,-2.49467000E-05,1558929207.748
94,-2.47250000E-05,1558929207.9563332
95,-2.47290300E-05,1558929208.1646667
96,-2.46442100E-05,1558929208.373
97,-2.23522100E-05,1558929208.5813332
98,-2.23568800E-05,1558929208.7896667
99,-2.28337000E-05,1558929208.998
100,-2.26053200E-05,1558929210.598
101,-2.45219700E-05,1558929210.8063333
102,-2.45166300E-05,1558929211.0146668
103,-2.44451600E-05,1558929211.223
104,-2.45847500E-05,1558929211.4313333
105,-2.41333100E-05,1558929211.6396668
106,-2.40257800E-05,1558929211.848
107,-2.41593400E-05,1558929212.0563333
108,-2.42328100E-05,1558929212.2646668
109,-2.43403300E-05,1558929212.473
110,-2.41399800E-05,1558929212.6813333
111,-2.48558800E-05,1558929212.8896668
112,-2.43329900E-05,1558929213.098
113,-2.42134400E-05,1558929213.3063333
114,-2.43637000E-05,1558929213.5146668
115,-2.42762000E-05,1558929213.723
116,-2.41373000E-05,1558929213.9313333
117,-2.42161000E-05,1558929214.1396668
118,-2.44839100E-05,1558929214.348
119,-2.12863500E-05,1558929214.5563333
120,-2.44097900E-05,1558929214.7646668
121,-2.45153000E-05,1558929214.973
122,-2.45680600E-05,1558929215.1813333
123,-2.17244500E-05,1558929215.3896668
124,-2.19535100E-05,1558929215.598
125,-2.45814200E-05,1558929217.199
126,-2.43209700E-05,1558929217.4073331
127,-2.38741900E-05,1558929217.6156666
128,-2.39429700E-05,1558929217.824
129,-2.44445100E-05,1558929218.0323331
130,-2.45941000E-05,1558929218.2406666
131,-2.22593900E-05,1558929218.449
132,-2.16082600E-05,1558929218.6573331
133,-2.17932400E-05,1558929218.8656666
134,-2.42201200E-05,1558929219.074
135,-2.40812100E-05,1558929219.2823331
136,-2.41747000E-05,1558929219.4906666
137,-2.44779000E-05,1558929219.699
138,-2.44845800E-05,1558929219.9073331
139,-2.16576700E-05,1558929220.1156666
140,-2.40498300E-05,1558929220.324
141,-2.40057400E-05,1558929220.5323331
142,-2.42328100E-05,1558929220.7406666
143,-2.36010300E-05,1558929220.949
144,-2.34915200E-05,1558929221.1573331
145,-2.35816700E-05,1558929221.3656666
146,-2.30901600E-05,1558929221.574
147,-2.34748200E-05,1558929221.7823331
148,-2.32330700E-05,1558929221.9906666
149,-2.41874000E-05,1558929222.199
150,-2.40698500E-05,1558929223.798
151,-2.42281300E-05,1558929224.0063334
152,-2.44438300E-05,1558929224.2146668
153,-2.38675100E-05,1558929224.423
154,-2.42408300E-05,1558929224.6313334
155,-2.15782000E-05,1558929224.8396668
156,-2.43423200E-05,1558929225.048
157,-2.43630300E-05,1558929225.2563334
158,-2.42608500E-05,1558929225.4646668
159,-2.34040300E-05,1558929225.673
160,-2.32123700E-05,1558929225.8813334
161,-2.35736700E-05,1558929226.0896668
162,-2.37960400E-05,1558929226.298
163,-2.38801900E-05,1558929226.5063334
164,-2.47710600E-05,1558929226.7146668
165,-2.45967800E-05,1558929226.923
166,-2.13411200E-05,1558929227.1313334
167,-2.45573700E-05,1558929227.3396668
168,-2.44051100E-05,1558929227.548
169,-2.44298200E-05,1558929227.7563334
170,-2.39930600E-05,1558929227.9646668
171,-2.41152700E-05,1558929228.173
172,-2.35636400E-05,1558929228.3813334
173,-2.37953800E-05,1558929228.5896668
174,-2.39536500E-05,1558929228.798
