,SQUID_Volt(V),timestamp
0,-2.17845300E-05,1558929664.986
1,-2.16456300E-05,1558929665.1943333
2,-2.20563300E-05,1558929665.4026668
3,-2.13491100E-05,1558929665.611
4,-2.10766400E-05,1558929665.8193333
5,-2.13090400E-05,1558929666.0276668
6,-2.13551300E-05,1558929666.236
7,-2.17665100E-05,1558929666.4443333
8,-2.14452900E-05,1558929666.6526668
9,-2.16703500E-05,1558929666.861
10,-2.11634600E-05,1558929667.0693333
11,-2.20156000E-05,1558929667.2776668
12,-2.09611100E-05,1558929667.486
13,-2.15601500E-05,1558929667.6943333
14,-2.18179300E-05,1558929667.9026668
15,-2.16850400E-05,1558929668.111
16,-2.13691400E-05,1558929668.3193333
17,-2.12562800E-05,1558929668.5276668
18,-2.16049000E-05,1558929668.736
19,-2.16489700E-05,1558929668.9443333
20,-2.11808300E-05,1558929669.1526668
21,-2.12416000E-05,1558929669.361
22,-2.15334300E-05,1558929669.5693333
23,-2.10799800E-05,1558929669.7776668
24,-2.16576500E-05,1558929669.986
25,-2.10926800E-05,1558929672.336
26,-2.10606200E-05,1558929672.5443332
27,-2.13230700E-05,1558929672.7526667
28,-2.08809800E-05,1558929672.961
29,-2.12155400E-05,1558929673.1693332
30,-2.10799800E-05,1558929673.3776667
31,-2.11374100E-05,1558929673.586
32,-2.11400800E-05,1558929673.7943332
33,-2.11768200E-05,1558929674.0026667
34,-2.08943300E-05,1558929674.211
35,-2.11594500E-05,1558929674.4193332
36,-2.11861700E-05,1558929674.6276667
37,-2.13491100E-05,1558929674.836
38,-2.07373900E-05,1558929675.0443332
39,-2.13658000E-05,1558929675.2526667
40,-2.09925000E-05,1558929675.461
41,-2.08128500E-05,1558929675.6693332
42,-2.12796600E-05,1558929675.8776667
43,-2.10719700E-05,1558929676.086
44,-2.10412500E-05,1558929676.2943332
45,-2.06873000E-05,1558929676.5026667
46,-2.13865100E-05,1558929676.711
47,-2.12262400E-05,1558929676.9193332
48,-2.08796200E-05,1558929677.1276667
49,-2.13264000E-05,1558929677.336
50,-2.11400800E-05,1558929678.98
51,-2.11587800E-05,1558929679.1883333
52,-2.08429000E-05,1558929679.3966668
53,-2.10138700E-05,1558929679.605
54,-2.15080600E-05,1558929679.8133333
55,-2.13003700E-05,1558929680.0216668
56,-2.09851600E-05,1558929680.23
57,-2.10539300E-05,1558929680.4383333
58,-2.10819900E-05,1558929680.6466668
59,-2.12823200E-05,1558929680.855
60,-2.10539400E-05,1558929681.0633333
61,-2.12636400E-05,1558929681.2716668
62,-2.14158900E-05,1558929681.48
63,-2.12142200E-05,1558929681.6883333
64,-2.12863300E-05,1558929681.8966668
65,-2.07941500E-05,1558929682.105
66,-2.13738200E-05,1558929682.3133333
67,-2.09998500E-05,1558929682.5216668
68,-2.12843400E-05,1558929682.73
69,-2.18740300E-05,1558929682.9383333
70,-2.10973300E-05,1558929683.1466668
71,-2.17571500E-05,1558929683.355
72,-2.14205800E-05,1558929683.5633333
73,-2.10966700E-05,1558929683.7716668
74,-2.14539600E-05,1558929683.98
75,-2.15815100E-05,1558929685.579
76,-2.09838200E-05,1558929685.7873333
77,-2.11347500E-05,1558929685.9956667
78,-2.13671400E-05,1558929686.204
79,-2.13070300E-05,1558929686.4123333
80,-2.10786400E-05,1558929686.6206667
81,-2.10839900E-05,1558929686.829
82,-2.16409600E-05,1558929687.0373333
83,-2.13237300E-05,1558929687.2456667
84,-2.12977000E-05,1558929687.454
85,-2.12035400E-05,1558929687.6623333
86,-2.14179000E-05,1558929687.8706667
87,-2.11040200E-05,1558929688.079
88,-2.13965400E-05,1558929688.2873333
89,-2.11641200E-05,1558929688.4956667
90,-2.15187300E-05,1558929688.704
91,-2.12603000E-05,1558929688.9123333
92,-2.09671100E-05,1558929689.1206667
93,-2.13557900E-05,1558929689.329
94,-2.12436000E-05,1558929689.5373333
95,-2.11040200E-05,1558929689.7456667
96,-2.15154100E-05,1558929689.954
97,-2.11708000E-05,1558929690.1623333
98,-2.15735100E-05,1558929690.3706667
99,-2.15160800E-05,1558929690.579
100,-2.15915300E-05,1558929692.18
101,-2.12863500E-05,1558929692.3883333
102,-2.13397700E-05,1558929692.5966668
103,-2.13123900E-05,1558929692.805
104,-2.14793300E-05,1558929693.0133333
105,-2.13384200E-05,1558929693.2216668
106,-2.14239100E-05,1558929693.43
107,-2.15761800E-05,1558929693.6383333
108,-2.14466100E-05,1558929693.8466668
109,-2.10659500E-05,1558929694.055
110,-2.17671700E-05,1558929694.2633333
111,-2.15975500E-05,1558929694.4716668
112,-2.16142400E-05,1558929694.68
113,-2.15154100E-05,1558929694.8883333
114,-2.15881900E-05,1558929695.0966668
115,-2.11427600E-05,1558929695.305
116,-2.14492900E-05,1558929695.5133333
117,-2.11768200E-05,1558929695.7216668
118,-2.10759700E-05,1558929695.93
119,-2.13531100E-05,1558929696.1383333
120,-2.11814900E-05,1558929696.3466668
121,-2.12850100E-05,1558929696.555
122,-2.11634600E-05,1558929696.7633333
123,-2.14860200E-05,1558929696.9716668
124,-2.12516100E-05,1558929697.18
125,-2.12963500E-05,1558929698.779
126,-2.16663200E-05,1558929698.9873333
127,-2.13978700E-05,1558929699.1956668
128,-2.15447900E-05,1558929699.404
129,-2.12262300E-05,1558929699.6123333
130,-2.12329200E-05,1558929699.8206668
131,-2.12863500E-05,1558929700.029
132,-2.10719700E-05,1558929700.2373333
133,-2.14593000E-05,1558929700.4456668
134,-2.09958400E-05,1558929700.654
135,-2.10225500E-05,1558929700.8623333
136,-2.12743300E-05,1558929701.0706668
137,-2.11354100E-05,1558929701.279
138,-2.14639700E-05,1558929701.4873333
139,-2.13751600E-05,1558929701.6956668
140,-2.10632900E-05,1558929701.904
141,-2.14239200E-05,1558929702.1123333
142,-2.10192200E-05,1558929702.3206668
143,-2.12496200E-05,1558929702.529
144,-2.11895100E-05,1558929702.7373333
145,-2.13130500E-05,1558929702.9456668
146,-2.13270700E-05,1558929703.154
147,-2.12936800E-05,1558929703.3623333
148,-2.13237300E-05,1558929703.5706668
