,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-4.23569800E-05,1558928289.816,+1.57076350E+00,+1.10498000E-04,+5.08520600E-03
1,-4.21532800E-05,1558928290.0243332,+1.57076480E+00,+1.10471000E-04,+5.08520600E-03
2,-4.21272400E-05,1558928290.2326667,+1.57076350E+00,+1.10709000E-04,+5.08521900E-03
3,-4.20831700E-05,1558928290.441,+1.57076480E+00,+1.10788000E-04,+5.08510200E-03
4,-4.22180700E-05,1558928290.6493332,+1.57076350E+00,+1.10788000E-04,+5.08502400E-03
5,-4.21967000E-05,1558928290.8576667,+1.57076480E+00,+1.10841000E-04,+5.08508900E-03
6,-4.22294200E-05,1558928291.066,+1.57076600E+00,+1.10498000E-04,+5.08551800E-03
7,-4.21900200E-05,1558928291.2743332,+1.57076970E+00,+1.10537000E-04,+5.08490700E-03
8,-4.22574800E-05,1558928291.4826667,+1.57076600E+00,+1.11158000E-04,+5.08512800E-03
9,-4.22234200E-05,1558928291.691,+1.57076480E+00,+1.10762000E-04,+5.08525800E-03
10,-4.22367700E-05,1558928291.8993332,+1.57076600E+00,+1.10484000E-04,+5.08490700E-03
11,-4.22193900E-05,1558928292.1076667,+1.57076350E+00,+1.10762000E-04,+5.08497200E-03
12,-4.21386000E-05,1558928292.316,+1.57076350E+00,+1.10788000E-04,+5.08538800E-03
13,-4.22988600E-05,1558928292.5243332,+1.57076480E+00,+1.10260000E-04,+5.08499800E-03
14,-4.22661600E-05,1558928292.7326667,+1.57076480E+00,+1.10577000E-04,+5.08533600E-03
15,-4.22040400E-05,1558928292.941,+1.57076720E+00,+1.10735000E-04,+5.08518000E-03
16,-4.20978500E-05,1558928293.1493332,+1.57076720E+00,+1.10920000E-04,+5.08533600E-03
17,-4.22481200E-05,1558928293.3576667,+1.57076970E+00,+1.10445000E-04,+5.08572600E-03
18,-4.23195800E-05,1558928293.566,+1.57076850E+00,+1.10471000E-04,+5.08518000E-03
19,-4.22554700E-05,1558928293.7743332,+1.57076970E+00,+1.10907000E-04,+5.08499800E-03
20,-4.22153900E-05,1558928293.9826667,+1.57077100E+00,+1.10656000E-04,+5.08555700E-03
21,-4.21926900E-05,1558928294.191,+1.57076850E+00,+1.10550000E-04,+5.08499800E-03
22,-4.21225700E-05,1558928294.3993332,+1.57076970E+00,+1.10537000E-04,+5.08497200E-03
23,-4.21873600E-05,1558928294.6076667,+1.57077220E+00,+1.10366000E-04,+5.08497200E-03
24,-4.22741600E-05,1558928294.816,+1.57076970E+00,+1.10418000E-04,+5.08480300E-03
25,-4.21319200E-05,1558928298.614,+1.57076850E+00,+1.10999000E-04,+5.08502400E-03
26,-4.19182000E-05,1558928298.8223333,+1.57077100E+00,+1.10867000E-04,+5.08502400E-03
27,-4.19155300E-05,1558928299.0306668,+1.57076970E+00,+1.10841000E-04,+5.08507600E-03
28,-4.20230600E-05,1558928299.239,+1.57076850E+00,+1.10656000E-04,+5.08549200E-03
29,-4.19516000E-05,1558928299.4473333,+1.57076850E+00,+1.10564000E-04,+5.08536200E-03
30,-4.19128800E-05,1558928299.6556668,+1.57076720E+00,+1.10696000E-04,+5.08580400E-03
31,-4.18915100E-05,1558928299.864,+1.57076230E+00,+1.10458000E-04,+5.08531000E-03
32,-4.20097100E-05,1558928300.0723333,+1.57076480E+00,+1.10207000E-04,+5.08516700E-03
33,-4.19669600E-05,1558928300.2806668,+1.57076100E+00,+1.10682000E-04,+5.08510200E-03
34,-4.20557800E-05,1558928300.489,+1.57076230E+00,+1.10564000E-04,+5.08536200E-03
35,-4.17726300E-05,1558928300.6973333,+1.57076100E+00,+1.10366000E-04,+5.08499800E-03
36,-4.20584500E-05,1558928300.9056668,+1.57076480E+00,+1.10524000E-04,+5.08492000E-03
37,-4.20784900E-05,1558928301.114,+1.57076600E+00,+1.10260000E-04,+5.08499800E-03
38,-4.21212400E-05,1558928301.3223333,+1.57076350E+00,+1.10630000E-04,+5.08519300E-03
39,-4.20317500E-05,1558928301.5306668,+1.57076480E+00,+1.10735000E-04,+5.08512800E-03
40,-4.20264000E-05,1558928301.739,+1.57076600E+00,+1.10577000E-04,+5.08499800E-03
41,-4.21065300E-05,1558928301.9473333,+1.57076480E+00,+1.10630000E-04,+5.08463300E-03
42,-4.20564500E-05,1558928302.1556668,+1.57076100E+00,+1.10656000E-04,+5.08482900E-03
43,-4.20704800E-05,1558928302.364,+1.57076230E+00,+1.10299000E-04,+5.08492000E-03
44,-4.20290700E-05,1558928302.5723333,+1.57075980E+00,+1.10643000E-04,+5.08525800E-03
45,-4.20130400E-05,1558928302.7806668,+1.57076350E+00,+1.10894000E-04,+5.08544000E-03
46,-4.21018700E-05,1558928302.989,+1.57076100E+00,+1.10788000E-04,+5.08519300E-03
47,-4.20885100E-05,1558928303.1973333,+1.57075610E+00,+1.10788000E-04,+5.08481600E-03
48,-4.21486200E-05,1558928303.4056668,+1.57075980E+00,+1.10498000E-04,+5.08515400E-03
49,-4.21185700E-05,1558928303.614,+1.57075860E+00,+1.10062000E-04,+5.08536200E-03
50,-4.19889900E-05,1558928307.214,+1.57075980E+00,+1.09811000E-04,+5.08521900E-03
51,-4.19309000E-05,1558928307.4223332,+1.57075980E+00,+1.10498000E-04,+5.08502400E-03
52,-4.20617900E-05,1558928307.6306667,+1.57076100E+00,+1.10577000E-04,+5.08490700E-03
53,-4.19689700E-05,1558928307.839,+1.57075860E+00,+1.09692000E-04,+5.08456800E-03
54,-4.19636200E-05,1558928308.0473332,+1.57076100E+00,+1.10352000E-04,+5.08462000E-03
55,-4.20157200E-05,1558928308.2556667,+1.57076230E+00,+1.10379000E-04,+5.08520600E-03
56,-4.19703000E-05,1558928308.464,+1.57075980E+00,+1.10339000E-04,+5.08534900E-03
57,-4.19743100E-05,1558928308.6723332,+1.57076100E+00,+1.10379000E-04,+5.08523200E-03
58,-4.18808100E-05,1558928308.8806667,+1.57075980E+00,+1.10524000E-04,+5.08568700E-03
59,-4.20718200E-05,1558928309.089,+1.57076100E+00,+1.10088000E-04,+5.08537500E-03
60,-4.20517800E-05,1558928309.2973332,+1.57076100E+00,+1.10049000E-04,+5.08505000E-03
61,-4.19075400E-05,1558928309.5056667,+1.57076350E+00,+1.10326000E-04,+5.08524500E-03
62,-4.19335700E-05,1558928309.714,+1.57076720E+00,+1.09983000E-04,+5.08536200E-03
