"Latest: Time (s)","Latest: Force (N)","Latest: Force 4 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Total Force (N)"
0,711.84,407.81,284.49,337,1741.14
2,711.84,409.04,283.27,337,1741.15
4,711.84,407.81,283.27,337,1739.92
6,710.62,409.04,283.27,337,1739.93
8,711.84,407.81,283.27,337,1739.92
10,711.84,407.81,283.27,337,1739.92
12,714.29,405.37,282.05,338.22,1739.93
14,713.06,406.59,282.05,338.22,1739.92
16,714.29,405.37,282.05,338.22,1739.93
18,713.06,405.37,282.05,338.22,1738.7
20,714.29,405.37,282.05,339.44,1741.15
22,713.06,405.37,282.05,338.22,1738.7
24,713.06,405.37,282.05,338.22,1738.7
26,713.06,405.37,282.05,338.22,1738.7
28,714.29,405.37,282.05,338.22,1739.93
30,714.29,405.37,282.05,338.22,1739.93
32,713.06,405.37,282.05,338.22,1738.7
34,713.06,405.37,282.05,338.22,1738.7
36,714.29,405.37,282.05,339.44,1741.15
38,713.06,405.37,282.05,338.22,1738.7
40,714.29,405.37,282.05,338.22,1739.93
42,713.06,405.37,282.05,338.22,1738.7
44,714.29,406.59,282.05,338.22,1741.15
46,713.06,405.37,282.05,338.22,1738.7
48,713.06,405.37,282.05,338.22,1738.7
50,714.29,405.37,282.05,338.22,1739.93
52,714.29,406.59,282.05,339.44,1742.37
54,714.29,405.37,282.05,338.22,1739.93
56,714.29,405.37,280.83,339.44,1739.93
58,714.29,406.59,282.05,339.44,1742.37
60,714.29,405.37,282.05,338.22,1739.93
62,714.29,405.37,282.05,339.44,1741.15
64,714.29,405.37,282.05,338.22,1739.93
66,714.29,405.37,282.05,339.44,1741.15
68,714.29,405.37,282.05,338.22,1739.93
70,714.29,406.59,282.05,338.22,1741.15
72,714.29,405.37,282.05,339.44,1741.15
74,714.29,405.37,282.05,338.22,1739.93
76,714.29,405.37,282.05,338.22,1739.93
78,714.29,404.15,282.05,338.22,1738.71
80,713.06,405.37,282.05,338.22,1738.7
82,714.29,405.37,282.05,339.44,1741.15
84,714.29,405.37,282.05,338.22,1739.93
86,714.29,405.37,282.05,338.22,1739.93
88,714.29,405.37,282.05,338.22,1739.93
90,714.29,405.37,282.05,338.22,1739.93
92,714.29,405.37,282.05,339.44,1741.15
94,714.29,404.15,282.05,338.22,1738.71
96,713.06,405.37,283.27,338.22,1739.92
98,714.29,405.37,282.05,338.22,1739.93
100,713.06,405.37,282.05,338.22,1738.7
102,714.29,405.37,282.05,338.22,1739.93
104,714.29,405.37,283.27,339.44,1742.37
106,714.29,406.59,283.27,338.22,1742.37
108,711.84,409.04,284.49,337,1742.37
110,711.84,407.81,283.27,337,1739.92
112,710.62,407.81,283.27,337,1738.7
114,711.84,407.81,283.27,338.22,1741.14
116,709.4,409.04,284.49,338.22,1741.15
118,710.62,409.04,284.49,338.22,1742.37
120,711.84,407.81,283.27,337,1739.92
122,711.84,407.81,283.27,338.22,1741.14
124,711.84,405.37,282.05,339.44,1738.7
126,713.06,405.37,282.05,339.44,1739.92
128,714.29,405.37,282.05,339.44,1741.15
130,714.29,405.37,282.05,339.44,1741.15
132,713.06,405.37,282.05,339.44,1739.92
134,714.29,405.37,282.05,338.22,1739.93
136,714.29,405.37,280.83,339.44,1739.93
138,714.29,404.15,282.05,338.22,1738.71
140,714.29,405.37,282.05,339.44,1741.15
142,713.06,404.15,282.05,339.44,1738.7
144,714.29,404.15,282.05,338.22,1738.71
146,714.29,405.37,282.05,338.22,1739.93
148,714.29,406.59,282.05,338.22,1741.15
150,711.84,406.59,282.05,338.22,1738.7
152,713.06,407.81,282.05,338.22,1741.14
154,711.84,406.59,282.05,338.22,1738.7
156,711.84,407.81,283.27,338.22,1741.14
158,711.84,406.59,282.05,338.22,1738.7
160,711.84,406.59,283.27,338.22,1739.92
162,710.62,406.59,283.27,338.22,1738.7
164,711.84,407.81,282.05,338.22,1739.92
166,713.06,406.59,283.27,338.22,1741.14
168,714.29,404.15,280.83,339.44,1738.71
170,711.84,407.81,283.27,337,1739.92
172,711.84,407.81,283.27,338.22,1741.14
174,711.84,407.81,282.05,338.22,1739.92
176,710.62,407.81,283.27,338.22,1739.92
178,711.84,407.81,283.27,337,1739.92
180,711.84,407.81,283.27,337,1739.92
182,714.29,406.59,283.27,338.22,1742.37
184,713.06,406.59,283.27,338.22,1741.14
186,713.06,407.81,282.05,338.22,1741.14
188,713.06,406.59,282.05,338.22,1739.92
190,711.84,407.81,282.05,338.22,1739.92
192,713.06,406.59,282.05,338.22,1739.92
194,713.06,406.59,282.05,338.22,1739.92
196,711.84,409.04,283.27,338.22,1742.37
198,711.84,409.04,283.27,337,1741.15
200,711.84,409.04,283.27,337,1741.15
202,711.84,409.04,282.05,338.22,1741.15
204,710.62,407.81,283.27,338.22,1739.92
206,713.06,407.81,282.05,338.22,1741.14
208,713.06,407.81,283.27,337,1741.14
210,713.06,407.81,283.27,339.44,1743.58
