"Latest: Time (s)","Latest: Force 1 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Force 4 (N)","Latest: Total Force (N)"
0,291.82,719.17,319.9,402.93,1733.82
1,291.82,717.95,319.9,402.93,1732.6
2,291.82,717.95,318.68,402.93,1731.38
3,291.82,719.17,319.9,402.93,1733.82
4,291.82,717.95,318.68,402.93,1731.38
5,291.82,717.95,318.68,402.93,1731.38
6,291.82,717.95,319.9,402.93,1732.6
7,291.82,717.95,319.9,402.93,1732.6
8,291.82,717.95,319.9,402.93,1732.6
9,291.82,717.95,319.9,402.93,1732.6
10,291.82,719.17,319.9,402.93,1733.82
11,291.82,717.95,319.9,402.93,1732.6
12,291.82,717.95,319.9,402.93,1732.6
13,291.82,717.95,319.9,402.93,1732.6
14,291.82,719.17,319.9,402.93,1733.82
15,290.6,717.95,319.9,401.71,1730.16
16,291.82,717.95,319.9,402.93,1732.6
17,291.82,717.95,319.9,402.93,1732.6
18,291.82,717.95,319.9,402.93,1732.6
19,291.82,717.95,319.9,402.93,1732.6
20,291.82,717.95,319.9,401.71,1731.38
21,290.6,717.95,319.9,401.71,1730.16
22,291.82,717.95,319.9,402.93,1732.6
23,291.82,719.17,319.9,402.93,1733.82
24,291.82,719.17,319.9,402.93,1733.82
25,291.82,719.17,319.9,401.71,1732.6
26,291.82,719.17,319.9,402.93,1733.82
27,291.82,719.17,319.9,402.93,1733.82
28,291.82,717.95,321.12,402.93,1733.82
29,291.82,719.17,318.68,401.71,1731.38
30,290.6,717.95,319.9,402.93,1731.38
31,291.82,719.17,319.9,402.93,1733.82
32,291.82,719.17,319.9,402.93,1733.82
33,291.82,719.17,319.9,402.93,1733.82
34,291.82,719.17,318.68,401.71,1731.38
35,291.82,719.17,319.9,401.71,1732.6
36,291.82,719.17,319.9,402.93,1733.82
37,291.82,717.95,319.9,402.93,1732.6
38,291.82,717.95,319.9,402.93,1732.6
39,291.82,717.95,319.9,402.93,1732.6
40,291.82,717.95,319.9,402.93,1732.6
41,291.82,717.95,319.9,402.93,1732.6
42,291.82,717.95,318.68,402.93,1731.38
43,291.82,717.95,319.9,404.15,1733.82
44,291.82,719.17,319.9,402.93,1733.82
45,291.82,719.17,318.68,401.71,1731.38
46,291.82,717.95,318.68,402.93,1731.38
47,291.82,717.95,318.68,401.71,1730.16
48,291.82,717.95,319.9,402.93,1732.6
49,291.82,717.95,318.68,402.93,1731.38
50,291.82,717.95,318.68,402.93,1731.38
51,291.82,717.95,318.68,402.93,1731.38
52,291.82,717.95,319.9,402.93,1732.6
53,290.6,717.95,319.9,402.93,1731.38
54,291.82,717.95,319.9,401.71,1731.38
55,291.82,717.95,319.9,401.71,1731.38
56,291.82,717.95,319.9,401.71,1731.38
57,291.82,717.95,319.9,401.71,1731.38
58,291.82,719.17,319.9,402.93,1733.82
59,291.82,717.95,319.9,401.71,1731.38
60,291.82,717.95,319.9,402.93,1732.6
61,291.82,717.95,318.68,402.93,1731.38
62,290.6,717.95,319.9,402.93,1731.38
63,290.6,717.95,319.9,402.93,1731.38
64,290.6,717.95,319.9,402.93,1731.38
65,291.82,717.95,318.68,402.93,1731.38
66,291.82,717.95,319.9,402.93,1732.6
67,291.82,716.73,318.68,401.71,1728.94
68,291.82,717.95,319.9,402.93,1732.6
69,291.82,717.95,319.9,402.93,1732.6
70,291.82,717.95,321.12,402.93,1733.82
71,290.6,717.95,319.9,401.71,1730.16
72,290.6,717.95,319.9,402.93,1731.38
73,291.82,717.95,319.9,401.71,1731.38
74,291.82,717.95,318.68,402.93,1731.38
75,290.6,716.73,319.9,402.93,1730.16
76,291.82,717.95,318.68,401.71,1730.16
77,291.82,717.95,319.9,402.93,1732.6
78,291.82,717.95,318.68,402.93,1731.38
79,291.82,717.95,318.68,402.93,1731.38
80,291.82,717.95,319.9,401.71,1731.38
81,290.6,717.95,318.68,401.71,1728.94
82,291.82,716.73,319.9,402.93,1731.38
83,291.82,717.95,319.9,402.93,1732.6
84,291.82,717.95,319.9,402.93,1732.6
85,291.82,717.95,319.9,402.93,1732.6
86,291.82,717.95,318.68,401.71,1730.16
87,291.82,717.95,319.9,402.93,1732.6
88,291.82,716.73,319.9,402.93,1731.38
89,291.82,716.73,319.9,401.71,1730.16
90,291.82,719.17,319.9,402.93,1733.82
91,290.6,717.95,319.9,401.71,1730.16
92,290.6,717.95,319.9,402.93,1731.38
93,291.82,717.95,319.9,402.93,1732.6
94,290.6,717.95,319.9,402.93,1731.38
95,290.6,717.95,319.9,402.93,1731.38
96,290.6,717.95,319.9,402.93,1731.38
97,291.82,717.95,318.68,402.93,1731.38
98,291.82,717.95,318.68,402.93,1731.38
99,290.6,717.95,319.9,402.93,1731.38
100,291.82,717.95,319.9,402.93,1732.6
101,291.82,717.95,319.9,402.93,1732.6
102,291.82,716.73,318.68,402.93,1730.16
103,291.82,717.95,319.9,402.93,1732.6
104,291.82,716.73,319.9,401.71,1730.16
105,291.82,716.73,318.68,402.93,1730.16
106,290.6,717.95,318.68,402.93,1730.16
107,291.82,717.95,318.68,402.93,1731.38
108,291.82,717.95,319.9,401.71,1731.38
109,291.82,717.95,318.68,401.71,1730.16
110,291.82,716.73,318.68,402.93,1730.16
111,291.82,716.73,318.68,402.93,1730.16
112,291.82,716.73,318.68,402.93,1730.16
113,291.82,717.95,318.68,402.93,1731.38
114,291.82,717.95,318.68,402.93,1731.38
115,291.82,716.73,318.68,402.93,1730.16
116,293.04,717.95,318.68,402.93,1732.6
117,291.82,717.95,318.68,402.93,1731.38
118,293.04,716.73,318.68,402.93,1731.38
