"Latest: Time (s)","Latest: Force 1 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Force 4 (N)","Latest: Total Force (N)"
0,286.94,722.83,330.89,400.49,1741.15
4,286.94,721.61,330.89,400.49,1739.93
8,286.94,721.61,330.89,401.71,1741.15
12,286.94,721.61,330.89,400.49,1739.93
16,286.94,722.83,330.89,400.49,1741.15
20,286.94,722.83,330.89,400.49,1741.15
24,286.94,721.61,329.67,401.71,1739.93
28,286.94,722.83,329.67,400.49,1739.93
32,286.94,722.83,330.89,401.71,1742.37
36,286.94,722.83,332.11,401.71,1743.59
40,286.94,721.61,330.89,401.71,1741.15
44,286.94,722.83,332.11,400.49,1742.37
48,286.94,721.61,332.11,401.71,1742.37
52,286.94,722.83,332.11,400.49,1742.37
56,286.94,721.61,332.11,400.49,1741.15
60,286.94,721.61,330.89,400.49,1739.93
64,286.94,722.83,332.11,400.49,1742.37
68,286.94,721.61,330.89,400.49,1739.93
72,286.94,721.61,330.89,400.49,1739.93
76,286.94,721.61,330.89,400.49,1739.93
80,286.94,721.61,330.89,400.49,1739.93
84,286.94,722.83,330.89,401.71,1742.37
88,288.16,721.61,330.89,400.49,1741.15
92,288.16,725.27,332.11,399.27,1744.81
96,286.94,721.61,332.11,399.27,1739.93
100,286.94,721.61,330.89,399.27,1738.71
104,288.16,722.83,332.11,399.27,1742.37
108,286.94,721.61,329.67,399.27,1737.49
112,291.82,711.84,326.01,406.59,1736.26
116,282.05,715.51,334.55,402.93,1735.04
120,280.83,720.39,338.22,401.71,1741.15
124,278.39,728.94,341.88,399.27,1748.48
128,293.04,728.94,334.55,398.05,1754.58
132,284.49,720.39,330.89,396.83,1732.6
136,277.17,715.51,335.78,400.49,1728.95
140,278.39,716.73,337,401.71,1733.83
144,278.39,715.51,337,401.71,1732.61
148,280.83,716.73,333.33,399.27,1730.16
152,279.61,719.17,333.33,396.83,1728.94
156,280.83,717.95,333.33,398.05,1730.16
160,278.39,716.73,335.78,398.05,1728.95
164,273.5,713.06,329.67,418.8,1735.03
168,289.38,731.38,334.55,404.15,1759.46
172,288.16,721.61,332.11,402.93,1744.81
176,275.95,727.72,346.76,391.94,1742.37
180,299.15,715.51,335.78,415.14,1765.58
184,288.16,721.61,332.11,400.49,1742.37
188,288.16,721.61,333.33,400.49,1743.59
192,286.94,720.39,332.11,399.27,1738.71
196,286.94,721.61,332.11,400.49,1741.15
200,286.94,720.39,333.33,399.27,1739.93
204,286.94,720.39,332.11,399.27,1738.71
208,285.71,720.39,333.33,399.27,1738.7
212,286.94,720.39,333.33,400.49,1741.15
216,286.94,721.61,333.33,400.49,1742.37
220,286.94,721.61,333.33,399.27,1741.15
224,286.94,721.61,332.11,399.27,1739.93
228,286.94,721.61,332.11,400.49,1741.15
232,286.94,721.61,333.33,399.27,1741.15
236,286.94,720.39,333.33,399.27,1739.93
240,286.94,721.61,333.33,400.49,1742.37
244,286.94,721.61,333.33,400.49,1742.37
248,286.94,721.61,333.33,400.49,1742.37
252,286.94,721.61,333.33,399.27,1741.15
256,286.94,720.39,332.11,400.49,1739.93
260,286.94,721.61,333.33,400.49,1742.37
264,286.94,720.39,333.33,400.49,1741.15
268,286.94,721.61,332.11,400.49,1741.15
272,285.71,720.39,333.33,400.49,1739.92
276,286.94,721.61,333.33,400.49,1742.37
280,286.94,720.39,333.33,400.49,1741.15
284,286.94,720.39,333.33,399.27,1739.93
288,286.94,721.61,333.33,400.49,1742.37
292,288.16,720.39,333.33,399.27,1741.15
296,286.94,720.39,333.33,400.49,1741.15
300,286.94,721.61,333.33,399.27,1741.15
304,286.94,720.39,333.33,400.49,1741.15
308,286.94,720.39,333.33,400.49,1741.15
312,286.94,721.61,332.11,400.49,1741.15
316,286.94,721.61,333.33,399.27,1741.15
320,286.94,721.61,333.33,400.49,1742.37
324,286.94,721.61,333.33,399.27,1741.15
328,289.38,719.17,332.11,399.27,1739.93
332,286.94,721.61,333.33,400.49,1742.37
336,286.94,721.61,332.11,400.49,1741.15
340,286.94,721.61,333.33,399.27,1741.15
344,286.94,721.61,333.33,400.49,1742.37
348,286.94,721.61,333.33,399.27,1741.15
352,288.16,721.61,332.11,400.49,1742.37
356,285.71,721.61,333.33,399.27,1739.92
360,285.71,720.39,333.33,399.27,1738.7
364,286.94,720.39,332.11,400.49,1739.93
368,286.94,720.39,333.33,399.27,1739.93
372,286.94,720.39,332.11,400.49,1739.93
376,286.94,720.39,333.33,400.49,1741.15
380,286.94,721.61,332.11,399.27,1739.93
384,286.94,721.61,332.11,399.27,1739.93
388,286.94,721.61,332.11,400.49,1741.15
392,286.94,721.61,332.11,399.27,1739.93
396,286.94,721.61,332.11,400.49,1741.15
400,286.94,720.39,332.11,399.27,1738.71
404,286.94,720.39,333.33,399.27,1739.93
408,286.94,720.39,332.11,400.49,1739.93
412,286.94,720.39,332.11,399.27,1738.71
416,286.94,721.61,333.33,399.27,1741.15
420,286.94,721.61,332.11,399.27,1739.93
424,288.16,720.39,332.11,399.27,1739.93
428,286.94,720.39,332.11,400.49,1739.93
432,286.94,721.61,332.11,399.27,1739.93
436,286.94,721.61,333.33,399.27,1741.15
440,286.94,720.39,333.33,400.49,1741.15
444,288.16,721.61,332.11,399.27,1741.15
448,288.16,721.61,333.33,399.27,1742.37
452,286.94,721.61,333.33,399.27,1741.15
456,286.94,721.61,333.33,399.27,1741.15
460,286.94,720.39,332.11,400.49,1739.93
464,288.16,720.39,333.33,400.49,1742.37
468,286.94,721.61,332.11,399.27,1739.93
472,288.16,720.39,332.11,399.27,1739.93
476,286.94,721.61,330.89,400.49,1739.93
480,288.16,720.39,333.33,400.49,1742.37
484,286.94,721.61,332.11,399.27,1739.93
488,286.94,721.61,333.33,399.27,1741.15
492,288.16,721.61,333.33,399.27,1742.37
496,288.16,720.39,332.11,400.49,1741.15
500,288.16,721.61,332.11,399.27,1741.15
504,286.94,720.39,333.33,399.27,1739.93
508,286.94,720.39,333.33,399.27,1739.93
512,286.94,721.61,332.11,399.27,1739.93
516,288.16,720.39,333.33,399.27,1741.15
520,286.94,721.61,332.11,399.27,1739.93
524,288.16,721.61,332.11,399.27,1741.15
528,288.16,721.61,333.33,400.49,1743.59
532,288.16,721.61,333.33,400.49,1743.59
536,286.94,721.61,333.33,400.49,1742.37
540,288.16,721.61,333.33,399.27,1742.37
544,286.94,721.61,333.33,399.27,1741.15
548,288.16,721.61,333.33,399.27,1742.37
552,286.94,721.61,333.33,399.27,1741.15
556,286.94,721.61,333.33,399.27,1741.15
560,286.94,721.61,333.33,399.27,1741.15
564,286.94,721.61,333.33,400.49,1742.37
568,286.94,721.61,333.33,399.27,1741.15
572,286.94,721.61,333.33,398.05,1739.93
576,289.38,715.51,318.68,406.59,1730.16
580,295.48,714.29,326.01,404.15,1739.93
584,288.16,719.17,330.89,400.49,1738.71
588,283.27,720.39,335.78,401.71,1741.15
592,286.94,720.39,333.33,400.49,1741.15
596,286.94,721.61,333.33,401.71,1743.59
600,285.71,721.61,335.78,400.49,1743.59
604,288.16,721.61,334.55,402.93,1747.25
608,285.71,719.17,334.55,402.93,1742.36
612,285.71,719.17,335.78,401.71,1742.37
616,285.71,717.95,334.55,402.93,1741.14
620,285.71,717.95,334.55,402.93,1741.14
624,284.49,716.73,335.78,404.15,1741.15
628,284.49,716.73,335.78,404.15,1741.15
632,282.05,715.51,338.22,405.37,1741.15
636,279.61,716.73,339.44,406.59,1742.37
640,283.27,716.73,334.55,429.79,1764.34
644,295.48,716.73,332.11,406.59,1750.91
648,286.94,720.39,332.11,400.49,1739.93
652,288.16,706.96,324.79,395.6,1715.51
656,288.16,720.39,332.11,400.49,1741.15
660,288.16,721.61,333.33,400.49,1743.59
664,288.16,719.17,332.11,400.49,1739.93
668,288.16,720.39,332.11,400.49,1741.15
672,288.16,720.39,333.33,399.27,1741.15
676,289.38,720.39,332.11,399.27,1741.15
680,288.16,720.39,332.11,399.27,1739.93
684,288.16,720.39,330.89,399.27,1738.71
688,288.16,721.61,333.33,400.49,1743.59
692,288.16,720.39,330.89,399.27,1738.71
696,288.16,720.39,330.89,399.27,1738.71
700,288.16,720.39,330.89,399.27,1738.71
704,288.16,721.61,330.89,399.27,1739.93
708,286.94,720.39,332.11,399.27,1738.71
712,288.16,721.61,332.11,399.27,1741.15
716,286.94,721.61,330.89,399.27,1738.71
720,288.16,720.39,332.11,400.49,1741.15
724,288.16,720.39,332.11,400.49,1741.15
728,286.94,720.39,332.11,400.49,1739.93
732,286.94,720.39,332.11,400.49,1739.93
736,288.16,720.39,330.89,399.27,1738.71
740,286.94,720.39,332.11,400.49,1739.93
744,288.16,721.61,333.33,400.49,1743.59
748,288.16,721.61,332.11,399.27,1741.15
752,288.16,720.39,332.11,399.27,1739.93
756,286.94,721.61,332.11,401.71,1742.37
760,288.16,720.39,332.11,399.27,1739.93
764,288.16,721.61,330.89,400.49,1741.15
768,288.16,720.39,330.89,399.27,1738.71
772,288.16,720.39,332.11,400.49,1741.15
776,286.94,720.39,332.11,399.27,1738.71
780,284.49,717.95,333.33,401.71,1737.48
784,285.71,719.17,334.55,402.93,1742.36
788,296.7,722.83,332.11,401.71,1753.35
792,286.94,716.73,335.78,406.59,1746.04
796,286.94,717.95,328.45,396.83,1730.17
800,286.94,716.73,330.89,400.49,1735.05
804,282.05,715.51,334.55,401.71,1733.82
808,285.71,717.95,332.11,399.27,1735.04
812,283.27,717.95,334.55,400.49,1736.26
816,283.27,716.73,334.55,399.27,1733.82
820,282.05,716.73,334.55,400.49,1733.82
824,282.05,715.51,334.55,400.49,1732.6
828,282.05,715.51,334.55,401.71,1733.82
832,283.27,716.73,333.33,399.27,1732.6
836,282.05,717.95,334.55,396.83,1731.38
840,282.05,716.73,333.33,399.27,1731.38
844,284.49,716.73,333.33,398.05,1732.6
848,280.83,717.95,334.55,398.05,1731.38
852,288.16,720.39,332.11,399.27,1739.93
856,288.16,721.61,328.45,401.71,1739.93
860,285.71,722.83,324.79,395.6,1728.93
864,286.94,721.61,333.33,396.83,1738.71
868,284.49,722.83,339.44,394.38,1741.14
872,273.5,728.94,343.1,391.94,1737.48
876,285.71,732.6,326.01,401.71,1746.03
880,300.37,726.5,333.33,389.5,1749.7
884,286.94,721.61,333.33,399.27,1741.15
888,288.16,720.39,334.55,399.27,1742.37
892,285.71,721.61,333.33,398.05,1738.7
896,286.94,721.61,332.11,399.27,1739.93
900,286.94,720.39,332.11,399.27,1738.71
904,286.94,721.61,332.11,398.05,1738.71
908,286.94,720.39,332.11,399.27,1738.71
912,286.94,720.39,332.11,398.05,1737.49
916,286.94,720.39,332.11,399.27,1738.71
920,286.94,720.39,332.11,399.27,1738.71
924,286.94,721.61,330.89,399.27,1738.71
928,285.71,720.39,330.89,399.27,1736.26
932,286.94,721.61,332.11,399.27,1739.93
936,286.94,719.17,332.11,400.49,1738.71
940,286.94,721.61,330.89,399.27,1738.71
944,286.94,721.61,333.33,399.27,1741.15
948,286.94,720.39,333.33,399.27,1739.93
952,286.94,721.61,332.11,399.27,1739.93
956,288.16,720.39,330.89,399.27,1738.71
960,286.94,721.61,332.11,400.49,1741.15
964,286.94,720.39,332.11,400.49,1739.93
968,288.16,720.39,332.11,400.49,1741.15
972,286.94,720.39,332.11,400.49,1739.93
976,286.94,721.61,333.33,399.27,1741.15
980,286.94,720.39,332.11,399.27,1738.71
984,288.16,721.61,333.33,400.49,1743.59
988,286.94,720.39,332.11,400.49,1739.93
992,286.94,720.39,332.11,399.27,1738.71
996,288.16,720.39,332.11,400.49,1741.15
1000,286.94,720.39,332.11,399.27,1738.71
