,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-1.62548000E-06,1558918882.454,+1.56998010E+00,+1.17864000E-04,+1.48960100E-03
1,-1.64018000E-06,1558918882.7171578,+1.56998260E+00,+1.18181000E-04,+1.48961400E-03
2,-1.60679000E-06,1558918882.9803157,+1.56998140E+00,+1.95981030E-02,+1.48940600E-03
3,-1.52464000E-06,1558918883.2434738,+1.56998140E+00,+1.96047430E-02,+1.48906800E-03
4,+1.07452000E-06,1558918883.5066316,+1.56998140E+00,+1.96054030E-02,+1.48964000E-03
5,-1.66024000E-06,1558918883.7697895,+1.56998140E+00,+3.91111550E-02,+1.48984800E-03
6,-1.67226000E-06,1558918884.0329473,+1.56998140E+00,+3.91137290E-02,+1.48974400E-03
7,-1.49662000E-06,1558918884.2961051,+1.56998140E+00,+3.91149300E-02,+1.49004300E-03
8,-1.67160000E-06,1558918884.5592632,+1.56998140E+00,+5.86220760E-02,+1.48966600E-03
9,-1.67960000E-06,1558918884.822421,+1.56997770E+00,+5.86316210E-02,+1.48983500E-03
10,-1.70966000E-06,1558918885.085579,+1.56998010E+00,+5.86345120E-02,+1.48951000E-03
11,-1.69230000E-06,1558918885.3487368,+1.56998260E+00,+7.83303860E-02,+1.48902900E-03
12,-4.67480000E-07,1558918885.6118948,+1.56998010E+00,+7.83245910E-02,+1.48982200E-03
13,-1.64354000E-06,1558918885.8750527,+1.56997770E+00,+7.83245510E-02,+1.48961400E-03
14,-1.66154000E-06,1558918886.1382105,+1.56997890E+00,+7.83251060E-02,+1.48980900E-03
15,-2.90571000E-06,1558918886.4013684,+1.56998010E+00,+7.83253960E-02,+1.49005600E-03
16,-1.58207000E-06,1558918886.6645262,+1.56998140E+00,+7.83264520E-02,+1.48967900E-03
17,-1.54201000E-06,1558918886.9276843,+1.56998010E+00,+7.83269940E-02,+1.49010800E-03
18,-1.60211000E-06,1558918887.1908422,+1.56998010E+00,+7.83279840E-02,+1.49005600E-03
19,-1.58541000E-06,1558918887.454,+1.56998140E+00,+7.83285120E-02,+1.48974400E-03
20,-1.58474000E-06,1558918889.672,+1.56997890E+00,+8.88709220E-02,+1.48975700E-03
21,-1.64018000E-06,1558918889.9351578,+1.56998010E+00,+9.80953860E-02,+1.48956200E-03
22,-1.63684000E-06,1558918890.1983156,+1.56998010E+00,+9.80980920E-02,+1.48957500E-03
