,SQUID_Volt(V),timestamp,Temp(V),SQUID_Curr(A)
0,+8.36120000E-07,1558906563.34,+1.47400000E-06,+9.28400000E-06
1,+8.96890000E-07,1558906563.5483332,+1.17700000E-06,+9.18000000E-06
2,+9.62340000E-07,1558906563.7566667,+1.22700000E-06,+9.23200000E-06
3,+8.77520000E-07,1558906563.965,+1.27600000E-06,+9.41400000E-06
4,+9.36960000E-07,1558906564.1733332,+1.05300000E-06,+9.47900000E-06
5,+9.16920000E-07,1558906564.3816667,+1.17700000E-06,+9.15400000E-06
6,+9.26940000E-07,1558906564.59,+1.35000000E-06,+9.12800000E-06
7,+8.90880000E-07,1558906564.7983332,+1.58600000E-06,+9.23200000E-06
8,+9.87040000E-07,1558906565.0066667,+1.58600000E-06,+9.08900000E-06
9,+9.30950000E-07,1558906565.215,+1.49900000E-06,+9.15400000E-06
10,+1.00174000E-06,1558906565.4233332,+1.82100000E-06,+9.08900000E-06
11,+9.52980000E-07,1558906565.6316667,+1.67300000E-06,+9.46600000E-06
12,+9.81700000E-07,1558906565.84,+1.48700000E-06,+9.07600000E-06
13,+9.54330000E-07,1558906566.0483332,+8.55000000E-07,+9.11500000E-06
14,+8.72840000E-07,1558906566.2566667,+1.71000000E-06,+9.41400000E-06
15,+9.58330000E-07,1558906566.465,+1.58600000E-06,+9.33600000E-06
16,+8.84200000E-07,1558906566.6733332,+1.47400000E-06,+9.28400000E-06
17,+9.53650000E-07,1558906566.8816667,+1.47400000E-06,+9.28400000E-06
18,+9.34950000E-07,1558906567.09,+1.21400000E-06,+9.40100000E-06
19,+9.63000000E-07,1558906567.2983332,+1.46200000E-06,+9.41400000E-06
20,+9.56320000E-07,1558906567.5066667,+1.57300000E-06,+9.51800000E-06
21,+9.29620000E-07,1558906567.715,+1.47400000E-06,+9.37500000E-06
22,+9.18260000E-07,1558906567.9233332,+1.28800000E-06,+9.21900000E-06
23,+8.68840000E-07,1558906568.1316667,+1.45000000E-06,+9.49200000E-06
24,+8.96220000E-07,1558906568.34,+1.64800000E-06,+9.47900000E-06
25,+8.53480000E-07,1558906572.389,+1.40000000E-06,+9.45300000E-06
26,+8.16750000E-07,1558906572.5973332,+1.56100000E-06,+9.38800000E-06
27,+8.52810000E-07,1558906572.8056667,+1.22700000E-06,+9.41400000E-06
28,+8.62830000E-07,1558906573.014,+1.51100000E-06,+9.42700000E-06
29,+8.40130000E-07,1558906573.2223332,+1.62300000E-06,+9.44000000E-06
30,+8.28110000E-07,1558906573.4306667,+1.38800000E-06,+9.47900000E-06
31,+8.54810000E-07,1558906573.639,+1.38800000E-06,+9.21900000E-06
32,+8.34120000E-07,1558906573.8473332,+1.73400000E-06,+9.36200000E-06
33,+8.86870000E-07,1558906574.0556667,+1.41200000E-06,+9.25800000E-06
34,+8.93560000E-07,1558906574.264,+1.42500000E-06,+9.49200000E-06
35,+8.77520000E-07,1558906574.4723332,+1.28800000E-06,+9.23200000E-06
36,+8.74850000E-07,1558906574.6806667,+1.71000000E-06,+9.07600000E-06
37,+8.23420000E-07,1558906574.889,+1.38800000E-06,+9.33600000E-06
38,+9.08240000E-07,1558906575.0973332,+1.52400000E-06,+9.31000000E-06
39,+8.67510000E-07,1558906575.3056667,+1.54900000E-06,+9.15400000E-06
40,+8.40120000E-07,1558906575.514,+1.47400000E-06,+9.23200000E-06
41,+7.78020000E-07,1558906575.7223332,+1.54900000E-06,+9.42700000E-06
42,+7.68000000E-07,1558906575.9306667,+1.66000000E-06,+9.27100000E-06
43,+8.25430000E-07,1558906576.139,+1.49900000E-06,+9.40100000E-06
44,+7.42620000E-07,1558906576.3473332,+1.36300000E-06,+9.51800000E-06
45,+8.33450000E-07,1558906576.5556667,+1.45000000E-06,+9.11500000E-06
46,+7.86700000E-07,1558906576.764,+1.41200000E-06,+9.49200000E-06
47,+7.89370000E-07,1558906576.9723332,+1.66000000E-06,+9.40100000E-06
48,+7.74680000E-07,1558906577.1806667,+1.49900000E-06,+9.14100000E-06
49,+7.27930000E-07,1558906577.389,+1.90800000E-06,+9.37500000E-06
50,+6.45790000E-07,1558906580.911,+1.90800000E-06,+9.34900000E-06
51,+6.43790000E-07,1558906581.1193333,+1.38800000E-06,+9.25800000E-06
52,+7.05230000E-07,1558906581.3276668,+1.57300000E-06,+9.37500000E-06
53,+7.00550000E-07,1558906581.536,+1.40000000E-06,+9.37500000E-06
54,+6.80510000E-07,1558906581.7443333,+1.87100000E-06,+9.34900000E-06
55,+6.61150000E-07,1558906581.9526668,+1.15200000E-06,+9.34900000E-06
56,+6.69160000E-07,1558906582.161,+1.57300000E-06,+9.12800000E-06
57,+6.80520000E-07,1558906582.3693333,+1.14000000E-06,+9.19300000E-06
58,+7.10570000E-07,1558906582.5776668,+1.15200000E-06,+9.41400000E-06
59,+6.66490000E-07,1558906582.786,+1.80900000E-06,+9.32300000E-06
60,+7.05890000E-07,1558906582.9943333,+1.47400000E-06,+9.59600000E-06
61,+7.09900000E-07,1558906583.2026668,+1.41200000E-06,+9.34900000E-06
62,+7.18580000E-07,1558906583.411,+1.68500000E-06,+9.14100000E-06
63,+6.68500000E-07,1558906583.6193333,+1.31300000E-06,+9.20600000E-06
64,+7.09230000E-07,1558906583.8276668,+1.64800000E-06,+9.37500000E-06
65,+7.30600000E-07,1558906584.036,+1.31300000E-06,+9.31000000E-06
66,+7.19920000E-07,1558906584.2443333,+1.23900000E-06,+9.08900000E-06
67,+7.49300000E-07,1558906584.4526668,+1.28800000E-06,+9.29700000E-06
68,+7.34610000E-07,1558906584.661,+1.53600000E-06,+9.21900000E-06
69,+8.72850000E-07,1558906584.8693333,+1.82100000E-06,+9.49200000E-06
70,+8.35450000E-07,1558906585.0776668,+1.66000000E-06,+9.25800000E-06
71,+8.50140000E-07,1558906585.286,+1.52400000E-06,+9.44000000E-06
72,+8.70840000E-07,1558906585.4943333,+1.51100000E-06,+9.25800000E-06
73,+8.73510000E-07,1558906585.7026668,+1.33800000E-06,+9.44000000E-06
74,+9.14920000E-07,1558906585.911,+1.27600000E-06,+9.44000000E-06
75,+1.00842000E-06,1558906589.511,+1.43700000E-06,+9.25800000E-06
76,+9.61000000E-07,1558906589.7193332,+1.66000000E-06,+9.25800000E-06
77,+9.44300000E-07,1558906589.9276667,+1.35000000E-06,+9.41400000E-06
78,+9.44980000E-07,1558906590.136,+1.27600000E-06,+9.62200000E-06
79,+9.81030000E-07,1558906590.3443332,+1.93300000E-06,+9.23200000E-06
80,+9.49650000E-07,1558906590.5526667,+1.51100000E-06,+9.41400000E-06
81,+9.42300000E-07,1558906590.761,+1.64800000E-06,+9.36200000E-06
82,+1.00374000E-06,1558906590.9693332,+1.71000000E-06,+9.41400000E-06
83,+9.82370000E-07,1558906591.1776667,+1.53600000E-06,+9.45300000E-06
84,+1.02644000E-06,1558906591.386,+1.49900000E-06,+9.37500000E-06
85,+9.99070000E-07,1558906591.5943332,+1.56100000E-06,+9.40100000E-06
86,+1.04715000E-06,1558906591.8026667,+1.38800000E-06,+9.59600000E-06
87,+9.91720000E-07,1558906592.011,+1.74700000E-06,+9.45300000E-06
88,+1.04581000E-06,1558906592.2193332,+1.45000000E-06,+9.53100000E-06
89,+1.01376000E-06,1558906592.4276667,+1.47400000E-06,+9.01100000E-06
90,+1.01376000E-06,1558906592.636,+1.82100000E-06,+9.25800000E-06
91,+1.01375000E-06,1558906592.8443332,+1.38800000E-06,+9.20600000E-06
92,+9.78360000E-07,1558906593.0526667,+1.47400000E-06,+9.24500000E-06
93,+1.00908000E-06,1558906593.261,+1.75900000E-06,+9.44000000E-06
94,+9.89720000E-07,1558906593.4693332,+1.30100000E-06,+9.38800000E-06
95,+9.79030000E-07,1558906593.6776667,+1.64800000E-06,+9.41400000E-06
96,+9.87040000E-07,1558906593.886,+1.25100000E-06,+9.18000000E-06
97,+1.00574000E-06,1558906594.0943332,+1.41200000E-06,+9.37500000E-06
98,+9.68340000E-07,1558906594.3026667,+1.43700000E-06,+9.37500000E-06
99,+9.67680000E-07,1558906594.511,+1.43700000E-06,+9.34900000E-06
100,+9.03570000E-07,1558906598.112,+1.37500000E-06,+9.47900000E-06
101,+9.76360000E-07,1558906598.3203332,+1.64800000E-06,+9.18000000E-06
102,+9.29610000E-07,1558906598.5286667,+1.42500000E-06,+9.49200000E-06
103,+8.72180000E-07,1558906598.737,+1.15200000E-06,+9.28400000E-06
104,+9.23600000E-07,1558906598.9453332,+9.79000000E-07,+9.49200000E-06
105,+8.94890000E-07,1558906599.1536667,+1.69700000E-06,+9.54400000E-06
106,+9.34960000E-07,1558906599.362,+1.71000000E-06,+9.41400000E-06
107,+9.44970000E-07,1558906599.5703332,+1.35000000E-06,+9.59600000E-06
108,+9.98400000E-07,1558906599.7786667,+1.77200000E-06,+9.62200000E-06
109,+1.00708000E-06,1558906599.987,+1.52400000E-06,+9.41400000E-06
110,+9.84380000E-07,1558906600.1953332,+1.63500000E-06,+9.23200000E-06
111,+9.27610000E-07,1558906600.4036667,+1.37500000E-06,+9.57000000E-06
112,+9.84370000E-07,1558906600.612,+1.54900000E-06,+9.33600000E-06
113,+9.38290000E-07,1558906600.8203332,+1.43700000E-06,+9.36200000E-06
114,+9.79700000E-07,1558906601.0286667,+1.46200000E-06,+9.31000000E-06
115,+9.57670000E-07,1558906601.237,+1.77200000E-06,+9.25800000E-06
116,+9.88380000E-07,1558906601.4453332,+1.52400000E-06,+9.59600000E-06
117,+1.03112000E-06,1558906601.6536667,+1.42500000E-06,+9.36200000E-06
118,+9.85050000E-07,1558906601.862,+1.53600000E-06,+9.54400000E-06
119,+1.03246000E-06,1558906602.0703332,+1.82100000E-06,+9.54400000E-06
120,+1.00174000E-06,1558906602.2786667,+1.59800000E-06,+9.62200000E-06
121,+1.02044000E-06,1558906602.487,+1.56100000E-06,+9.36200000E-06
122,+1.02511000E-06,1558906602.6953332,+1.59800000E-06,+9.54400000E-06
123,+9.87710000E-07,1558906602.9036667,+1.66000000E-06,+9.59600000E-06
124,+1.02644000E-06,1558906603.112,+1.38800000E-06,+9.49200000E-06
125,+1.04048000E-06,1558906606.711,+1.23900000E-06,+9.44000000E-06
126,+9.64340000E-07,1558906606.9193332,+1.48700000E-06,+9.28400000E-06
127,+9.61670000E-07,1558906607.1276667,+1.57300000E-06,+9.18000000E-06
128,+1.01576000E-06,1558906607.336,+1.49900000E-06,+9.51800000E-06
129,+9.85710000E-07,1558906607.5443332,+1.31300000E-06,+9.44000000E-06
130,+9.71020000E-07,1558906607.7526667,+1.07800000E-06,+9.41400000E-06
131,+9.78360000E-07,1558906607.961,+1.67300000E-06,+9.45300000E-06
132,+9.54990000E-07,1558906608.1693332,+1.82100000E-06,+9.23200000E-06
133,+8.94890000E-07,1558906608.3776667,+1.56100000E-06,+9.72600000E-06
134,+9.63670000E-07,1558906608.586,+1.46200000E-06,+9.41400000E-06
135,+9.26940000E-07,1558906608.7943332,+1.09000000E-06,+9.45300000E-06
136,+9.63000000E-07,1558906609.0026667,+1.42500000E-06,+9.42700000E-06
137,+9.73020000E-07,1558906609.211,+1.62300000E-06,+9.54400000E-06
138,+1.00775000E-06,1558906609.4193332,+1.49900000E-06,+9.90800000E-06
139,+9.80370000E-07,1558906609.6276667,+1.28800000E-06,+9.62200000E-06
140,+9.97730000E-07,1558906609.836,+1.64800000E-06,+9.70000000E-06
141,+1.08321000E-06,1558906610.0443332,+1.27600000E-06,+9.47900000E-06
142,+1.05049000E-06,1558906610.2526667,+1.61100000E-06,+9.46600000E-06
