,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.15175000E-05,1558916202.075,+1.57015370E+00,+1.72514970E-02,+5.51756200E-03
1,-3.88148000E-05,1558916204.575,+1.57015370E+00,+3.90841710E-02,+5.51696400E-03
2,-3.60873000E-05,1558916207.075,+1.57015240E+00,+5.85953960E-02,+5.51743200E-03
3,-3.41526000E-05,1558916209.357,+1.57015370E+00,+9.80352130E-02,+5.51769200E-03
4,-4.42825000E-05,1558916211.857,+1.57015490E+00,+1.17205010E-01,+5.51704200E-03
5,-3.80240000E-05,1558916214.357,+1.57015240E+00,+1.36845540E-01,+5.51758800E-03
6,-3.73339000E-05,1558916214.383,+1.57015620E+00,+1.95237360E-01,+5.51758800E-03
7,-3.69409000E-05,1558916216.883,+1.57015740E+00,+2.15287270E-01,+5.51693800E-03
8,-3.66665000E-05,1558916219.383,+1.57015990E+00,+2.54433150E-01,+5.51751000E-03
9,-3.26645000E-05,1558916219.409,+1.57015240E+00,+2.93628310E-01,+5.51740600E-03
10,-3.66598000E-05,1558916221.909,+1.57014750E+00,+3.32597450E-01,+5.51761400E-03
11,-3.18810000E-05,1558916224.409,+1.57014750E+00,+3.51944600E-01,+5.51751000E-03
12,-3.94695000E-05,1558916224.504,+1.57015000E+00,+4.02222290E-01,+5.51771800E-03
13,-3.33818000E-05,1558916227.004,+1.57015370E+00,+4.29593070E-01,+5.51753600E-03
14,-3.27590000E-05,1558916229.504,+1.57015490E+00,+4.48645320E-01,+5.51784800E-03
