,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.74417000E-05,1558917051.251,+1.57010160E+00,+1.12003000E-04,+5.51787400E-03
1,-3.49829000E-05,1558917051.5141578,+1.57010410E+00,+1.12095000E-04,+5.51779600E-03
2,-3.77257000E-05,1558917051.7773156,+1.57010410E+00,+1.95895350E-02,+5.51756200E-03
3,-3.72252000E-05,1558917052.0404737,+1.57010160E+00,+1.95933240E-02,+5.51760100E-03
4,-3.62040000E-05,1558917052.3036315,+1.57010290E+00,+1.95938250E-02,+5.51782200E-03
5,-3.82461000E-05,1558917052.5667894,+1.57010160E+00,+3.89795610E-02,+5.51758800E-03
6,-3.62842000E-05,1558917052.8299472,+1.57009910E+00,+3.89878910E-02,+5.51728900E-03
7,-3.77791000E-05,1558917053.093105,+1.57010040E+00,+3.89910860E-02,+5.51782200E-03
8,-3.67513000E-05,1558917053.3562632,+1.57010160E+00,+5.84515120E-02,+5.51780900E-03
9,-3.24334000E-05,1558917053.619421,+1.57010290E+00,+5.84633800E-02,+5.51771800E-03
10,-3.68113000E-05,1558917053.8825788,+1.57010160E+00,+5.84612940E-02,+5.51784800E-03
11,-3.57370000E-05,1558917054.1457367,+1.57010160E+00,+7.83205250E-02,+5.51775700E-03
12,-3.82127000E-05,1558917054.4088948,+1.57010040E+00,+7.83165120E-02,+5.51777000E-03
13,-3.65377000E-05,1558917054.6720526,+1.57010290E+00,+7.83168280E-02,+5.51758800E-03
14,-3.69180000E-05,1558917054.9352105,+1.57010290E+00,+7.83136600E-02,+5.51736700E-03
15,-3.75254000E-05,1558917055.1983683,+1.57010410E+00,+7.83218980E-02,+5.51795200E-03
16,-3.69782000E-05,1558917055.4615262,+1.57010160E+00,+7.83184260E-02,+5.51849800E-03
17,-3.75855000E-05,1558917055.7246842,+1.57010660E+00,+7.83193760E-02,+5.51771800E-03
18,-3.55033000E-05,1558917055.987842,+1.57010530E+00,+7.83198650E-02,+5.51752300E-03
19,-3.61573000E-05,1558917056.251,+1.57010530E+00,+7.83197590E-02,+5.51779600E-03
20,-3.65445000E-05,1558917058.469,+1.57010040E+00,+8.87790910E-02,+5.51761400E-03
21,-3.56100000E-05,1558917058.732158,+1.57010410E+00,+9.80915440E-02,+5.51801700E-03
22,-3.34946000E-05,1558917058.9953158,+1.57010530E+00,+9.80932870E-02,+5.51771800E-03
23,-3.61640000E-05,1558917059.2584739,+1.57010660E+00,+1.09898310E-01,+5.51766600E-03
24,-3.51030000E-05,1558917059.5216317,+1.57010410E+00,+1.17269580E-01,+5.51777000E-03
25,-3.30409000E-05,1558917059.7847896,+1.57010780E+00,+1.17269770E-01,+5.51821200E-03
26,-3.60372000E-05,1558917060.0479474,+1.57010530E+00,+1.36653240E-01,+5.51800400E-03
27,-3.53432000E-05,1558917060.3111053,+1.57010780E+00,+1.36637000E-01,+5.51786100E-03
28,-3.56701000E-05,1558917060.5742633,+1.57010530E+00,+1.36643730E-01,+5.51782200E-03
29,-3.59304000E-05,1558917060.8374212,+1.57010780E+00,+1.56681060E-01,+5.51769200E-03
30,-3.55833000E-05,1558917061.100579,+1.57010530E+00,+1.56689780E-01,+5.51791300E-03
31,-3.98611000E-05,1558917061.3637369,+1.57010530E+00,+1.56694800E-01,+5.51816000E-03
32,-3.42420000E-05,1558917061.626895,+1.57010410E+00,+1.75817690E-01,+5.51792600E-03
33,-3.93740000E-05,1558917061.8900528,+1.57010530E+00,+1.75824690E-01,+5.51810800E-03
