,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-1.94067000E-05,1558914977.642,+1.57023920E+00,+1.20834000E-04,+3.99084900E-03
1,-1.94334000E-05,1558914977.8503332,+1.57024170E+00,+1.19158000E-04,+3.99084900E-03
2,-1.91664000E-05,1558914978.0586667,+1.57024170E+00,+1.95651380E-02,+3.99084900E-03
3,-1.93732000E-05,1558914978.267,+1.57024420E+00,+1.95696530E-02,+3.99043300E-03
4,-1.92199000E-05,1558914978.4753332,+1.57023670E+00,+1.95709600E-02,+3.99071900E-03
5,-1.92131000E-05,1558914978.6836667,+1.57023800E+00,+3.90934250E-02,+3.99087500E-03
6,-1.92866000E-05,1558914978.892,+1.57024170E+00,+3.90952860E-02,+3.99079700E-03
7,-1.94733000E-05,1558914979.1003332,+1.57024040E+00,+3.90964350E-02,+3.99110900E-03
8,-1.90931000E-05,1558914979.3086667,+1.57024290E+00,+5.86003600E-02,+3.99105700E-03
9,-1.85524000E-05,1558914979.517,+1.57024540E+00,+5.86076470E-02,+3.99092700E-03
10,-1.91665000E-05,1558914979.7253332,+1.57024290E+00,+5.86090330E-02,+3.99068000E-03
11,-1.92264000E-05,1558914979.9336667,+1.57024170E+00,+7.82292880E-02,+3.99084900E-03
12,-1.91330000E-05,1558914980.142,+1.57024170E+00,+7.82283510E-02,+3.99095300E-03
13,-1.94268000E-05,1558914980.3503332,+1.57024170E+00,+7.82308330E-02,+3.99069300E-03
14,-1.89061000E-05,1558914980.5586667,+1.57023920E+00,+9.79744590E-02,+3.99099200E-03
15,-1.89997000E-05,1558914980.767,+1.57024040E+00,+9.79816810E-02,+3.99082300E-03
16,-1.90462000E-05,1558914980.9753332,+1.57023920E+00,+9.79839120E-02,+3.99075800E-03
17,-1.92197000E-05,1558914981.1836667,+1.57023800E+00,+9.79866580E-02,+3.99074500E-03
18,-1.88393000E-05,1558914981.392,+1.57023550E+00,+9.79886380E-02,+3.99074500E-03
19,-1.88728000E-05,1558914981.6003332,+1.57024040E+00,+9.79895880E-02,+3.99071900E-03
20,-1.89195000E-05,1558914981.8086667,+1.57024040E+00,+9.79898000E-02,+3.99095300E-03
21,-1.92798000E-05,1558914982.017,+1.57023920E+00,+9.79912250E-02,+3.99100500E-03
22,-1.86393000E-05,1558914982.2253332,+1.57023920E+00,+9.79922290E-02,+3.99069300E-03
23,-1.89128000E-05,1558914982.4336667,+1.57024040E+00,+9.79923080E-02,+3.99078400E-03
24,-1.86191000E-05,1558914982.642,+1.57024420E+00,+9.79932060E-02,+3.99058900E-03
25,-1.87994000E-05,1558914986.525,+1.57024420E+00,+9.85273030E-02,+3.99056300E-03
26,-1.82455000E-05,1558914986.7333333,+1.57024540E+00,+1.17145140E-01,+3.99068000E-03
27,-1.86259000E-05,1558914986.9416668,+1.57024170E+00,+1.17149070E-01,+3.99092700E-03
28,-1.86058000E-05,1558914987.15,+1.57024540E+00,+1.09085960E-01,+3.99097900E-03
29,-1.85124000E-05,1558914987.3583333,+1.57024790E+00,+1.35032700E-01,+3.99086200E-03
30,-1.86860000E-05,1558914987.5666668,+1.57024660E+00,+1.35149050E-01,+3.99084900E-03
31,-1.85257000E-05,1558914987.775,+1.57024790E+00,+1.42753610E-01,+3.99118700E-03
32,-1.82589000E-05,1558914987.9833333,+1.57024790E+00,+1.55095680E-01,+3.99078400E-03
33,-1.85858000E-05,1558914988.1916668,+1.57024790E+00,+1.55145080E-01,+3.99101800E-03
34,-1.86059000E-05,1558914988.4,+1.57024910E+00,+1.62783170E-01,+3.99092700E-03
35,-1.85124000E-05,1558914988.6083333,+1.57024790E+00,+1.74053880E-01,+3.99084900E-03
36,-1.82989000E-05,1558914988.8166668,+1.57025040E+00,+1.74051900E-01,+3.99075800E-03
37,-1.83722000E-05,1558914989.025,+1.57024910E+00,+1.83283180E-01,+3.99082300E-03
38,-1.83322000E-05,1558914989.2333333,+1.57024420E+00,+1.92881870E-01,+3.99083600E-03
39,-1.83589000E-05,1558914989.4416668,+1.57024660E+00,+1.93053030E-01,+3.99091400E-03
40,-1.82722000E-05,1558914989.65,+1.57024660E+00,+1.93094370E-01,+3.99070600E-03
41,-1.82989000E-05,1558914989.8583333,+1.57024040E+00,+1.93119200E-01,+3.99118700E-03
42,-1.82055000E-05,1558914990.0666668,+1.57024170E+00,+1.93139670E-01,+3.99081000E-03
43,-1.84524000E-05,1558914990.275,+1.57024170E+00,+1.93154730E-01,+3.99091400E-03
44,-1.82923000E-05,1558914990.4833333,+1.57024420E+00,+1.93172690E-01,+3.99086200E-03
45,-1.81587000E-05,1558914990.6916668,+1.57023670E+00,+1.93183650E-01,+3.99086200E-03
46,-1.81052000E-05,1558914990.9,+1.57024040E+00,+1.93195140E-01,+3.99043300E-03
47,-1.79318000E-05,1558914991.1083333,+1.57024040E+00,+1.93201480E-01,+3.99107000E-03
48,-1.81520000E-05,1558914991.3166668,+1.57024040E+00,+1.93211520E-01,+3.99062800E-03
49,-1.80118000E-05,1558914991.525,+1.57024040E+00,+1.93221430E-01,+3.99083600E-03
50,-1.82455000E-05,1558914995.104,+1.57024040E+00,+1.95326770E-01,+3.99122600E-03
51,-1.79318000E-05,1558914995.3123333,+1.57023920E+00,+2.13077450E-01,+3.99091400E-03
52,-1.81120000E-05,1558914995.5206668,+1.57024420E+00,+2.13110070E-01,+3.99092700E-03
53,-1.80320000E-05,1558914995.729,+1.57024040E+00,+2.16788790E-01,+3.99068000E-03
54,-1.78584000E-05,1558914995.9373333,+1.57024170E+00,+2.32096430E-01,+3.99090100E-03
55,-1.78250000E-05,1558914996.1456668,+1.57024290E+00,+2.32078860E-01,+3.99078400E-03
56,-1.77249000E-05,1558914996.354,+1.57024290E+00,+2.53833020E-01,+3.99095300E-03
57,-1.78317000E-05,1558914996.5623333,+1.57024660E+00,+2.53791810E-01,+3.99084900E-03
58,-1.78383000E-05,1558914996.7706668,+1.57024290E+00,+2.53813080E-01,+3.99055000E-03
59,-1.78718000E-05,1558914996.979,+1.57024420E+00,+2.73684170E-01,+3.99120000E-03
60,-1.90796000E-05,1558914997.1873333,+1.57024420E+00,+2.73705430E-01,+3.99087500E-03
61,-1.76650000E-05,1558914997.3956668,+1.57024170E+00,+2.73715730E-01,+3.99074500E-03
62,-1.76248000E-05,1558914997.604,+1.57024290E+00,+2.93001060E-01,+3.99084900E-03
63,-1.77649000E-05,1558914997.8123333,+1.57024420E+00,+2.93015980E-01,+3.99084900E-03
64,-1.75914000E-05,1558914998.0206668,+1.57024290E+00,+2.93030910E-01,+3.99084900E-03
65,-1.75181000E-05,1558914998.229,+1.57024420E+00,+2.93039890E-01,+3.99108300E-03
