,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,-4.27774000E-05,1558914607.153,+1.16187000E-04,+6.03892200E-03
1,-4.27042000E-05,1558914607.3613334,+1.16293000E-04,+6.03851900E-03
2,-4.30243000E-05,1558914607.5696669,+1.95715540E-02,+6.03876600E-03
3,-4.28242000E-05,1558914607.778,+1.95768610E-02,+6.03881800E-03
4,-4.28108000E-05,1558914607.9863334,+1.95774160E-02,+6.03877900E-03
5,-4.28777000E-05,1558914608.1946669,+3.90572530E-02,+6.03911700E-03
6,-4.26173000E-05,1558914608.403,+3.90597080E-02,+6.03903900E-03
7,-4.25640000E-05,1558914608.6113334,+3.90619390E-02,+6.03931200E-03
8,-4.25573000E-05,1558914608.8196669,+5.85474480E-02,+6.03906500E-03
9,-4.27976000E-05,1558914609.028,+5.85557910E-02,+6.03905200E-03
10,-4.26707000E-05,1558914609.2363334,+5.85581540E-02,+6.03914300E-03
11,-4.26774000E-05,1558914609.4446669,+7.81691290E-02,+6.03887000E-03
12,-4.26841000E-05,1558914609.653,+7.81687460E-02,+6.03868800E-03
13,-4.26508000E-05,1558914609.8613334,+7.81726270E-02,+6.03918200E-03
14,-4.25906000E-05,1558914610.0696669,+9.79107750E-02,+6.03888300E-03
15,-4.26574000E-05,1558914610.278,+9.79118310E-02,+6.03897400E-03
16,-4.26240000E-05,1558914610.4863334,+9.79125700E-02,+6.03879200E-03
17,-4.49263000E-05,1558914610.6946669,+9.79164380E-02,+6.03893500E-03
18,-4.22569000E-05,1558914610.903,+9.79154750E-02,+6.03858400E-03
19,-4.25440000E-05,1558914611.1113334,+9.79187620E-02,+6.03831100E-03
20,-4.25440000E-05,1558914611.3196669,+9.79202930E-02,+6.03858400E-03
21,-4.00479000E-05,1558914611.528,+9.79220230E-02,+6.03876600E-03
22,-4.24037000E-05,1558914611.7363334,+9.79230650E-02,+6.03866200E-03
23,-4.22904000E-05,1558914611.9446669,+9.79240290E-02,+6.03911700E-03
24,-4.24305000E-05,1558914612.153,+9.79247420E-02,+6.03879200E-03
25,-4.24639000E-05,1558914616.037,+9.79257980E-02,+6.03883100E-03
26,-4.23972000E-05,1558914616.2453332,+1.17061520E-01,+6.03858400E-03
27,-4.23036000E-05,1558914616.4536667,+1.17065820E-01,+6.03877900E-03
28,-4.23972000E-05,1558914616.662,+1.08491740E-01,+6.03837600E-03
29,-4.22569000E-05,1558914616.8703332,+1.36825730E-01,+6.03877900E-03
30,-4.24104000E-05,1558914617.0786667,+1.36821500E-01,+6.03861000E-03
31,-4.22571000E-05,1558914617.287,+1.43648400E-01,+6.03853200E-03
32,-4.21569000E-05,1558914617.4953332,+1.56881550E-01,+6.03853200E-03
33,-4.23637000E-05,1558914617.7036667,+1.56885250E-01,+6.03881800E-03
34,-4.22904000E-05,1558914617.912,+1.65111190E-01,+6.03893500E-03
35,-4.29043000E-05,1558914618.1203332,+1.76032440E-01,+6.03894800E-03
36,-4.22303000E-05,1558914618.3286667,+1.76034950E-01,+6.03863600E-03
37,-4.20901000E-05,1558914618.537,+1.84742700E-01,+6.03851900E-03
38,-4.21102000E-05,1558914618.7453332,+1.95199720E-01,+6.03842800E-03
39,-4.23170000E-05,1558914618.9536667,+1.95204870E-01,+6.03814200E-03
40,-4.22035000E-05,1558914619.162,+1.95207510E-01,+6.03845400E-03
41,-4.19968000E-05,1558914619.3703332,+1.95208310E-01,+6.03853200E-03
42,-4.21035000E-05,1558914619.5786667,+1.95208830E-01,+6.03842800E-03
43,-4.20835000E-05,1558914619.787,+1.95212530E-01,+6.03833700E-03
44,-4.22035000E-05,1558914619.9953332,+1.95211740E-01,+6.03872700E-03
45,-4.19899000E-05,1558914620.2036667,+1.95215570E-01,+6.03849300E-03
46,-4.19032000E-05,1558914620.412,+1.95214640E-01,+6.03894800E-03
47,-4.17964000E-05,1558914620.6203332,+1.95213590E-01,+6.03880500E-03
48,-4.19967000E-05,1558914620.8286667,+1.95212800E-01,+6.03838900E-03
49,-4.19433000E-05,1558914621.037,+1.95216890E-01,+6.03879200E-03
50,-4.18498000E-05,1558914624.598,+2.00528300E-01,+6.03832400E-03
51,-4.19234000E-05,1558914624.8063333,+2.15253060E-01,+6.03870100E-03
52,-4.20168000E-05,1558914625.0146668,+2.15259930E-01,+6.03864900E-03
53,-4.21702000E-05,1558914625.223,+2.20818580E-01,+6.03866200E-03
54,-4.19433000E-05,1558914625.4313333,+2.34417980E-01,+6.03868800E-03
55,-4.17831000E-05,1558914625.6396668,+2.34424850E-01,+6.03894800E-03
56,-4.15562000E-05,1558914625.848,+2.54086330E-01,+6.03866200E-03
57,-4.19634000E-05,1558914626.0563333,+2.54028090E-01,+6.03861000E-03
58,-4.17030000E-05,1558914626.2646668,+2.54033370E-01,+6.03893500E-03
59,-4.17098000E-05,1558914626.473,+2.73912920E-01,+6.03835000E-03
60,-4.23304000E-05,1558914626.6813333,+2.73929560E-01,+6.03881800E-03
61,-4.17631000E-05,1558914626.8896668,+2.73936820E-01,+6.03845400E-03
62,-4.15495000E-05,1558914627.098,+2.93230070E-01,+6.03867500E-03
63,-4.17564000E-05,1558914627.3063333,+2.93241690E-01,+6.03863600E-03
64,-4.15428000E-05,1558914627.5146668,+2.93246980E-01,+6.03780400E-03
65,-4.13360000E-05,1558914627.723,+2.93252260E-01,+6.03850600E-03
66,-4.14561000E-05,1558914627.9313333,+2.93256750E-01,+6.03837600E-03
67,-4.13962000E-05,1558914628.1396668,+2.93257810E-01,+6.03836300E-03
68,-4.13760000E-05,1558914628.348,+2.93265070E-01,+6.03855800E-03
69,-4.10423000E-05,1558914628.5563333,+2.93268110E-01,+6.03822000E-03
70,-4.10691000E-05,1558914628.7646668,+2.93271540E-01,+6.03825900E-03
71,-4.12626000E-05,1558914628.973,+2.93276030E-01,+6.03835000E-03
72,-4.10758000E-05,1558914629.1813333,+2.93276300E-01,+6.03818100E-03
73,-4.10824000E-05,1558914629.3896668,+2.93280260E-01,+6.03789500E-03
74,-4.10423000E-05,1558914629.598,+2.93283300E-01,+6.03814200E-03
75,-4.10157000E-05,1558914633.32,+3.07196930E-01,+6.03825900E-03
76,-4.09222000E-05,1558914633.5283332,+3.12335290E-01,+6.03858400E-03
77,-4.08287000E-05,1558914633.7366667,+3.12339650E-01,+6.03827200E-03
78,-4.10224000E-05,1558914633.945,+3.27353030E-01,+6.03818100E-03
79,-4.09090000E-05,1558914634.1533332,+3.32224740E-01,+6.03829800E-03
80,-4.07555000E-05,1558914634.3616667,+3.32230290E-01,+6.03854500E-03
81,-4.06486000E-05,1558914634.57,+3.48470470E-01,+6.03871400E-03
82,-4.08022000E-05,1558914634.7783332,+3.51537030E-01,+6.03896100E-03
83,-4.08421000E-05,1558914634.9866667,+3.51540200E-01,+6.03832400E-03
84,-4.07488000E-05,1558914635.195,+3.68027120E-01,+6.03864900E-03
85,-4.06954000E-05,1558914635.4033332,+3.70569490E-01,+6.03867500E-03
86,-4.03482000E-05,1558914635.6116667,+3.70571600E-01,+6.03818100E-03
87,-4.06086000E-05,1558914635.82,+3.89044070E-01,+6.03818100E-03
88,-4.04952000E-05,1558914636.0283332,+3.89903860E-01,+6.03812900E-03
89,-4.07154000E-05,1558914636.2366667,+3.89910860E-01,+6.03792100E-03
90,-4.05619000E-05,1558914636.445,+3.89899890E-01,+6.03786900E-03
91,-4.06219000E-05,1558914636.6533332,+3.89908480E-01,+6.03796000E-03
92,-4.04617000E-05,1558914636.8616667,+3.89897250E-01,+6.03798600E-03
93,-4.03483000E-05,1558914637.07,+3.89915740E-01,+6.03825900E-03
94,-4.05085000E-05,1558914637.2783332,+3.89933840E-01,+6.03816800E-03
95,-4.03617000E-05,1558914637.4866667,+3.89940310E-01,+6.03831100E-03
96,-4.01882000E-05,1558914637.695,+3.89930010E-01,+6.03820700E-03
97,-4.02282000E-05,1558914637.9033332,+3.89932520E-01,+6.03832400E-03
98,-4.01148000E-05,1558914638.1116667,+3.89934500E-01,+6.03820700E-03
99,-4.03817000E-05,1558914638.32,+3.89940040E-01,+6.03818100E-03
100,-3.96743000E-05,1558914641.958,+3.99982230E-01,+6.03819400E-03
101,-4.00279000E-05,1558914642.1663332,+4.09829490E-01,+6.03833700E-03
102,-3.99078000E-05,1558914642.3746667,+4.09832000E-01,+6.03829800E-03
103,-3.98745000E-05,1558914642.583,+4.20059380E-01,+6.03814200E-03
104,-3.97210000E-05,1558914642.7913332,+4.29142840E-01,+6.03832400E-03
105,-3.98612000E-05,1558914642.9996667,+4.29142570E-01,+6.03825900E-03
106,-3.96208000E-05,1558914643.208,+4.39678320E-01,+6.03814200E-03
107,-3.99279000E-05,1558914643.4163332,+4.48160620E-01,+6.03849300E-03
108,-3.98479000E-05,1558914643.6246667,+4.48165640E-01,+6.03823300E-03
109,-3.98212000E-05,1558914643.833,+4.61123700E-01,+6.03814200E-03
110,-3.95809000E-05,1558914644.0413332,+4.68353730E-01,+6.03823300E-03
111,-3.95808000E-05,1558914644.2496667,+4.68360470E-01,+6.03863600E-03
112,-3.99947000E-05,1558914644.458,+4.81059660E-01,+6.03864900E-03
113,-3.94741000E-05,1558914644.6663332,+4.87367150E-01,+6.03851900E-03
114,-3.96676000E-05,1558914644.8746667,+4.87373360E-01,+6.03811600E-03
115,-3.94875000E-05,1558914645.083,+4.87378770E-01,+6.03815500E-03
116,-3.93673000E-05,1558914645.2913332,+4.87377850E-01,+6.03836300E-03
117,-3.95341000E-05,1558914645.4996667,+4.87377720E-01,+6.03840200E-03
118,-3.94073000E-05,1558914645.708,+4.87385110E-01,+6.03840200E-03
119,-3.93806000E-05,1558914645.9163332,+4.87374940E-01,+6.03822000E-03
120,-3.93539000E-05,1558914646.1246667,+4.87388810E-01,+6.03838900E-03
