,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,-3.12056000E-05,1558914104.05,+1.17930000E-04,+4.99432900E-03
1,-3.10721000E-05,1558914104.2583332,+1.17798000E-04,+4.99445900E-03
2,-3.10921000E-05,1558914104.4666667,+2.69685400E-03,+4.99405600E-03
3,-3.11722000E-05,1558914104.675,+1.95730190E-02,+4.99429000E-03
4,-3.10654000E-05,1558914104.8833332,+1.95751580E-02,+4.99440700E-03
5,-3.12724000E-05,1558914105.0916667,+1.96700250E-02,+4.99442000E-03
6,-3.11255000E-05,1558914105.3,+3.88917180E-02,+4.99422500E-03
7,-3.11588000E-05,1558914105.5083332,+3.89056060E-02,+4.99462800E-03
8,-3.08451000E-05,1558914105.7166667,+4.25139060E-02,+4.99427700E-03
9,-3.09252000E-05,1558914105.925,+5.83310340E-02,+4.99419900E-03
10,-3.09854000E-05,1558914106.1333332,+5.83545720E-02,+4.99390000E-03
11,-3.10186000E-05,1558914106.3416667,+5.53209630E-02,+4.99442000E-03
12,-3.10854000E-05,1558914106.55,+7.80859980E-02,+4.99434200E-03
13,-3.08252000E-05,1558914106.7583332,+7.80905260E-02,+4.99409500E-03
14,-3.08385000E-05,1558914106.9666667,+8.40927010E-02,+4.99447200E-03
15,-3.08252000E-05,1558914107.175,+9.78082380E-02,+4.99425100E-03
16,-3.08584000E-05,1558914107.3833332,+9.78133860E-02,+4.99419900E-03
17,-3.07650000E-05,1558914107.5916667,+9.78168580E-02,+4.99452400E-03
18,-3.07452000E-05,1558914107.8,+9.78207790E-02,+4.99452400E-03
19,-3.07650000E-05,1558914108.0083332,+9.78227200E-02,+4.99435500E-03
20,-3.07050000E-05,1558914108.2166667,+9.78240270E-02,+4.99453700E-03
21,-3.07184000E-05,1558914108.425,+9.78269840E-02,+4.99416000E-03
22,-3.06917000E-05,1558914108.6333332,+9.78286740E-02,+4.99399100E-03
23,-3.06116000E-05,1558914108.8416667,+9.78293470E-02,+4.99404300E-03
24,-3.06249000E-05,1558914109.05,+9.78305490E-02,+4.99482300E-03
25,-3.05849000E-05,1558914112.713,+1.01154310E-01,+4.99453700E-03
26,-3.04648000E-05,1558914112.9213333,+1.16950080E-01,+4.99430300E-03
27,-3.05448000E-05,1558914113.1296668,+1.16954110E-01,+4.99413400E-03
28,-3.05848000E-05,1558914113.338,+1.03412590E-01,+4.99431600E-03
29,-3.06583000E-05,1558914113.5463333,+1.35625830E-01,+4.99432900E-03
30,-3.10588000E-05,1558914113.7546668,+1.35652770E-01,+4.99449800E-03
31,-3.02845000E-05,1558914113.963,+1.45046240E-01,+4.99414700E-03
32,-3.04381000E-05,1558914114.1713333,+1.55600460E-01,+4.99439400E-03
33,-3.03714000E-05,1558914114.3796668,+1.55639150E-01,+4.99449800E-03
34,-3.03713000E-05,1558914114.588,+1.66300230E-01,+4.99419900E-03
35,-3.04581000E-05,1558914114.7963333,+1.74685440E-01,+4.99442000E-03
36,-3.01711000E-05,1558914115.0046668,+1.74715030E-01,+4.99417300E-03
37,-3.05983000E-05,1558914115.213,+1.85863060E-01,+4.99412100E-03
38,-3.02112000E-05,1558914115.4213333,+1.93786820E-01,+4.99448500E-03
39,-3.06517000E-05,1558914115.6296668,+1.93813630E-01,+4.99436800E-03
40,-3.01577000E-05,1558914115.838,+1.93829090E-01,+4.99412100E-03
41,-3.02179000E-05,1558914116.0463333,+1.93843610E-01,+4.99408200E-03
42,-3.01378000E-05,1558914116.2546668,+1.93854440E-01,+4.99412100E-03
43,-3.01912000E-05,1558914116.463,+1.93861050E-01,+4.99447200E-03
44,-3.00177000E-05,1558914116.6713333,+1.93866590E-01,+4.99426400E-03
45,-3.02379000E-05,1558914116.8796668,+1.93873330E-01,+4.99431600E-03
46,-2.97172000E-05,1558914117.088,+1.93879930E-01,+4.99425100E-03
47,-2.98976000E-05,1558914117.2963333,+1.93883500E-01,+4.99430300E-03
48,-3.03113000E-05,1558914117.5046668,+1.93887060E-01,+4.99439400E-03
49,-2.99242000E-05,1558914117.713,+1.93889310E-01,+4.99404300E-03
50,-2.98374000E-05,1558914121.296,+1.98114400E-01,+4.99457600E-03
51,-2.96572000E-05,1558914121.5043333,+2.13795260E-01,+4.99395200E-03
52,-2.96772000E-05,1558914121.7126667,+2.13807940E-01,+4.99449800E-03
