,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-2.62229200E-05,1558943741.559,+1.21376000E-04
1,-2.63624900E-05,1558943741.7673333,+1.19052000E-04
2,-2.63284200E-05,1558943741.9756668,+2.05019800E-03
3,-2.63177400E-05,1558943742.184,+1.95760560E-02
4,-2.64185800E-05,1558943742.3923333,+1.95777980E-02
5,-2.65488000E-05,1558943742.6006668,+1.97634920E-02
6,-2.65728500E-05,1558943742.809,+3.90934510E-02
7,-2.66182600E-05,1558943743.0173333,+3.90944810E-02
8,-2.66650100E-05,1558943743.2256668,+4.31339100E-02
9,-2.67938900E-05,1558943743.434,+5.86050860E-02
10,-2.67725400E-05,1558943743.6423333,+5.86079640E-02
11,-2.65408200E-05,1558943743.8506668,+5.50696440E-02
12,-2.68807500E-05,1558943744.059,+7.82756920E-02
13,-2.70149800E-05,1558943744.2673333,+7.82775140E-02
14,-2.70563800E-05,1558943744.4756668,+7.82802860E-02
15,-2.70871000E-05,1558943744.684,+7.82816060E-02
16,-2.70837600E-05,1558943744.8923333,+7.82854880E-02
17,-2.70557100E-05,1558943745.1006668,+7.82878770E-02
18,-2.71725900E-05,1558943745.309,+7.82895270E-02
19,-2.72113200E-05,1558943745.5173333,+7.82898570E-02
20,-2.74837900E-05,1558943745.7256668,+7.82912570E-02
21,-2.69561900E-05,1558943745.934,+7.82930260E-02
22,-3.40532100E-05,1558943746.1423333,+7.82940160E-02
23,-2.75392500E-05,1558943746.3506668,+7.82943860E-02
24,-2.74330500E-05,1558943746.559,+7.82966430E-02
25,-2.73001500E-05,1558943750.194,+8.42245060E-02
26,-2.74424100E-05,1558943750.4023333,+9.80621050E-02
27,-2.75839900E-05,1558943750.6106668,+9.80646130E-02
28,-2.74898200E-05,1558943750.819,+1.05459430E-01
29,-2.77903300E-05,1558943751.0273333,+1.17234310E-01
30,-2.78183900E-05,1558943751.2356668,+1.17237230E-01
31,-2.77415900E-05,1558943751.444,+1.36808160E-01
32,-2.77649700E-05,1558943751.6523333,+1.36793370E-01
33,-2.79806700E-05,1558943751.8606668,+1.36793770E-01
34,-2.78197300E-05,1558943752.069,+1.56849720E-01
35,-2.78871800E-05,1558943752.2773333,+1.56851830E-01
36,-2.79486100E-05,1558943752.4856668,+1.56860150E-01
37,-2.81362800E-05,1558943752.694,+1.76000080E-01
38,-2.79653200E-05,1558943752.9023333,+1.75995320E-01
39,-2.79359200E-05,1558943753.1106668,+1.76007210E-01
40,-2.79245700E-05,1558943753.319,+1.76013810E-01
41,-2.79205700E-05,1558943753.5273333,+1.76015400E-01
42,-2.82124100E-05,1558943753.7356668,+1.76015130E-01
43,-2.80581300E-05,1558943753.944,+1.76014080E-01
44,-2.79299200E-05,1558943754.1523333,+1.76015660E-01
45,-2.83226000E-05,1558943754.3606668,+1.76015930E-01
46,-2.81523000E-05,1558943754.569,+1.76018830E-01
47,-2.80641500E-05,1558943754.7773333,+1.76020950E-01
48,-2.80815100E-05,1558943754.9856668,+1.76021870E-01
49,-2.81082200E-05,1558943755.194,+1.76023590E-01
50,-2.80955400E-05,1558943758.91,+1.91565120E-01
51,-2.79786600E-05,1558943759.1183333,+1.95189420E-01
52,-2.81162400E-05,1558943759.3266668,+1.95191930E-01
53,-2.80487900E-05,1558943759.535,+2.11891850E-01
54,-2.81476300E-05,1558943759.7433333,+2.15231140E-01
55,-2.80748400E-05,1558943759.9516668,+2.15230340E-01
56,-2.80654900E-05,1558943760.16,+2.32837480E-01
57,-2.80801800E-05,1558943760.3683333,+2.34385360E-01
58,-2.81743500E-05,1558943760.5766668,+2.34389320E-01
59,-2.82130800E-05,1558943760.785,+2.54521640E-01
60,-2.83399600E-05,1558943760.9933333,+2.54463130E-01
61,-2.67485400E-05,1558943761.2016668,+2.54463530E-01
62,-2.82618400E-05,1558943761.41,+2.74377150E-01
63,-2.83366200E-05,1558943761.6183333,+2.74385070E-01
64,-2.86391400E-05,1558943761.8266668,+2.74389430E-01
65,-2.83579900E-05,1558943762.035,+2.74389960E-01
66,-2.86144500E-05,1558943762.2433333,+2.74393650E-01
67,-2.86004100E-05,1558943762.4516668,+2.74396960E-01
68,-2.85683500E-05,1558943762.66,+2.74397350E-01
69,-2.87359900E-05,1558943762.8683333,+2.74400130E-01
70,-2.85830500E-05,1558943763.0766668,+2.74402500E-01
71,-2.86017600E-05,1558943763.285,+2.74406070E-01
72,-2.88408300E-05,1558943763.4933333,+2.74402640E-01
73,-2.86852300E-05,1558943763.7016668,+2.74407790E-01
74,-2.87159500E-05,1558943763.91,+2.74405410E-01
75,-2.92288500E-05,1558943767.599,+2.79206330E-01
76,-2.89490200E-05,1558943767.8073332,+2.93740040E-01
77,-2.91614000E-05,1558943768.0156667,+2.93741360E-01
78,-2.92235000E-05,1558943768.224,+3.00103760E-01
79,-2.91540500E-05,1558943768.4323332,+3.12819990E-01
80,-2.93036400E-05,1558943768.6406667,+3.12823160E-01
81,-2.91273200E-05,1558943768.849,+3.21183410E-01
82,-2.91073000E-05,1558943769.0573332,+3.32741670E-01
83,-2.92949500E-05,1558943769.2656667,+3.32744840E-01
84,-2.92508800E-05,1558943769.474,+3.41284980E-01
85,-2.92962900E-05,1558943769.6823332,+3.52086710E-01
86,-2.92141500E-05,1558943769.8906667,+3.52093050E-01
87,-2.93957900E-05,1558943770.099,+3.60923240E-01
88,-2.93477200E-05,1558943770.3073332,+3.71152190E-01
89,-2.93176500E-05,1558943770.5156667,+3.71156020E-01
90,-2.92635700E-05,1558943770.724,+3.71158790E-01
91,-2.93604000E-05,1558943770.9323332,+3.71160510E-01
92,-2.94165000E-05,1558943771.1406667,+3.71160640E-01
93,-2.93517100E-05,1558943771.349,+3.71163550E-01
94,-2.92535400E-05,1558943771.5573332,+3.71165920E-01
95,-2.93116600E-05,1558943771.7656667,+3.71168430E-01
96,-2.93069700E-05,1558943771.974,+3.71165000E-01
97,-2.93096500E-05,1558943772.1823332,+3.71169090E-01
