,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,-2.90434000E-05,1558989989.13,+2.59310000E-05,+1.26089000E-04,+4.99715100E-03
1,-2.90499000E-05,1558989989.3383334,+3.74280000E-05,+1.21772000E-04,+4.99663000E-03
2,-2.91233000E-05,1558989989.5466669,+3.72670000E-05,+1.99362900E-03,+4.99660400E-03
3,-2.91500000E-05,1558989989.755,+3.76630000E-05,+1.95728610E-02,+4.99647400E-03
4,-2.90501000E-05,1558989989.9633334,+3.86170000E-05,+1.95752900E-02,+4.99634400E-03
5,-2.91434000E-05,1558989990.1716669,+3.89270000E-05,+1.94188110E-02,+4.99609700E-03
6,-2.91501000E-05,1558989990.38,+3.89270000E-05,+3.89488540E-02,+4.99669600E-03
7,-2.91300000E-05,1558989990.5883334,+3.95710000E-05,+3.89625970E-02,+4.99655200E-03
8,-2.90165000E-05,1558989990.7966669,+3.97940000E-05,+4.30252870E-02,+4.99631800E-03
9,-2.91835000E-05,1558989991.005,+4.02160000E-05,+5.84272870E-02,+4.99657800E-03
10,-2.90434000E-05,1558989991.2133334,+4.08850000E-05,+5.84378350E-02,+4.99668300E-03
11,-2.91568000E-05,1558989991.4216669,+4.12560000E-05,+5.56344130E-02,+4.99665600E-03
12,-2.91568000E-05,1558989991.63,+4.17020000E-05,+7.82820550E-02,+4.99690400E-03
13,-2.92435000E-05,1558989991.8383334,+4.17150000E-05,+7.82858440E-02,+4.99663000E-03
14,-2.91901000E-05,1558989992.0466669,+4.23960000E-05,+7.82887490E-02,+4.99647400E-03
15,-2.92501000E-05,1558989992.255,+4.21240000E-05,+7.82915340E-02,+4.99639600E-03
16,-2.91967000E-05,1558989992.4633334,+4.26930000E-05,+7.82934220E-02,+4.99596700E-03
17,-2.94237000E-05,1558989992.6716669,+4.28670000E-05,+7.82948080E-02,+4.99659100E-03
18,-2.94771000E-05,1558989992.88,+4.34620000E-05,+7.82964450E-02,+4.99659100E-03
19,-2.92568000E-05,1558989993.0883334,+4.34370000E-05,+7.82962340E-02,+4.99646100E-03
20,-2.94303000E-05,1558989993.2966669,+4.38080000E-05,+7.82990330E-02,+4.99695600E-03
21,-2.93836000E-05,1558989993.505,+4.41680000E-05,+7.83000360E-02,+4.99639600E-03
22,-2.93769000E-05,1558989993.7133334,+4.44650000E-05,+7.83008810E-02,+4.99631800E-03
23,-2.92902000E-05,1558989993.9216669,+4.49610000E-05,+7.83020430E-02,+4.99652600E-03
24,-2.94036000E-05,1558989994.13,+4.48490000E-05,+7.83036270E-02,+4.99691700E-03
25,-2.94704000E-05,1558989997.849,+4.53940000E-05,+7.83038910E-02,+4.99663000E-03
26,-2.95439000E-05,1558989998.0573332,+4.54810000E-05,+9.80681910E-02,+4.99696900E-03
27,-2.95038000E-05,1558989998.2656667,+4.58770000E-05,+9.80714650E-02,+4.99659100E-03
28,-2.95105000E-05,1558989998.474,+4.59020000E-05,+9.80732070E-02,+4.99673500E-03
29,-2.96173000E-05,1558989998.6823332,+4.60140000E-05,+1.17240450E-01,+4.99673500E-03
30,-2.94837000E-05,1558989998.8906667,+4.68930000E-05,+1.17244080E-01,+4.99678700E-03
31,-2.96173000E-05,1558989999.099,+4.69800000E-05,+1.17247250E-01,+4.99648700E-03
32,-2.95706000E-05,1558989999.3073332,+4.72280000E-05,+1.36331910E-01,+4.99647400E-03
33,-2.95438000E-05,1558989999.5156667,+4.74760000E-05,+1.36359250E-01,+4.99642200E-03
34,-2.94771000E-05,1558989999.724,+4.74510000E-05,+1.40199620E-01,+4.99674800E-03
35,-2.94637000E-05,1558989999.9323332,+4.77230000E-05,+1.56389580E-01,+4.99663000E-03
36,-2.93503000E-05,1558990000.1406667,+4.79220000E-05,+1.56410190E-01,+4.99643500E-03
37,-2.94437000E-05,1558990000.349,+4.82690000E-05,+1.60548530E-01,+4.99640900E-03
38,-2.92902000E-05,1558990000.5573332,+4.84420000E-05,+1.75541920E-01,+4.99647400E-03
39,-2.93903000E-05,1558990000.7656667,+4.82560000E-05,+1.75566880E-01,+4.99630500E-03
40,-2.92434000E-05,1558990000.974,+4.85540000E-05,+1.75591450E-01,+4.99672200E-03
41,-2.92635000E-05,1558990001.1823332,+4.88880000E-05,+1.75610730E-01,+4.99674800E-03
42,-2.92168000E-05,1558990001.3906667,+4.84920000E-05,+1.75625260E-01,+4.99638300E-03
43,-2.92435000E-05,1558990001.599,+4.93340000E-05,+1.75636880E-01,+4.99622700E-03
44,-2.92168000E-05,1558990001.8073332,+4.88380000E-05,+1.75644940E-01,+4.99650000E-03
45,-2.92502000E-05,1558990002.0156667,+4.88510000E-05,+1.75651280E-01,+4.99639600E-03
46,-2.91835000E-05,1558990002.224,+4.91610000E-05,+1.75659470E-01,+4.99646100E-03
47,-2.91701000E-05,1558990002.4323332,+4.95940000E-05,+1.75662370E-01,+4.99663000E-03
48,-2.91501000E-05,1558990002.6406667,+4.94460000E-05,+1.75669500E-01,+4.99618800E-03
49,-2.91835000E-05,1558990002.849,+4.94080000E-05,+1.75673200E-01,+4.99655200E-03
50,-2.90100000E-05,1558990006.393,+4.98420000E-05,+1.77392240E-01,+4.99639600E-03
51,-2.91100000E-05,1558990006.6013331,+5.05730000E-05,+1.94811030E-01,+4.99656500E-03
52,-2.89164000E-05,1558990006.8096666,+5.02140000E-05,+1.94817370E-01,+4.99670900E-03
53,-2.90232000E-05,1558990007.018,+5.05850000E-05,+1.98352130E-01,+4.99637000E-03
54,-2.89833000E-05,1558990007.2263331,+5.05730000E-05,+2.14822240E-01,+4.99677400E-03
55,-2.90098000E-05,1558990007.4346666,+5.05610000E-05,+2.14829770E-01,+4.99704700E-03
56,-2.89231000E-05,1558990007.643,+5.07220000E-05,+2.19861290E-01,+4.99622700E-03
57,-2.88498000E-05,1558990007.8513331,+5.06350000E-05,+2.33960090E-01,+4.99674800E-03
58,-2.88031000E-05,1558990008.0596666,+5.06230000E-05,+2.33976200E-01,+4.99665600E-03
59,-2.88498000E-05,1558990008.268,+5.07460000E-05,+2.54318510E-01,+4.99643500E-03
60,-2.87296000E-05,1558990008.4763331,+5.10810000E-05,+2.54284440E-01,+4.99676100E-03
61,-2.87630000E-05,1558990008.6846666,+5.08080000E-05,+2.54291040E-01,+4.99669600E-03
62,-2.86897000E-05,1558990008.893,+5.13160000E-05,+2.74193170E-01,+4.99676100E-03
63,-2.87431000E-05,1558990009.1013331,+5.13410000E-05,+2.74203870E-01,+4.99652600E-03
64,-2.85562000E-05,1558990009.3096666,+5.12790000E-05,+2.74210600E-01,+4.99613600E-03
65,-2.88899000E-05,1558990009.518,+5.14770000E-05,+2.74213510E-01,+4.99661700E-03
66,-2.85160000E-05,1558990009.7263331,+5.10070000E-05,+2.74216280E-01,+4.99676100E-03
67,-2.85427000E-05,1558990009.9346666,+5.13660000E-05,+2.74217870E-01,+4.99643500E-03
68,-2.85428000E-05,1558990010.143,+5.16510000E-05,+2.74223940E-01,+4.99642200E-03
