,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-2.79956000E-05,1558941705.855,+1.12557000E-04
1,-2.93970000E-05,1558941706.0633333,+1.13323000E-04
2,-2.91433000E-05,1558941706.2716668,+1.77240900E-03
3,-2.92434000E-05,1558941706.48,+1.95948950E-02
4,-2.88764000E-05,1558941706.6883333,+1.95969670E-02
5,-2.88497000E-05,1558941706.8966668,+1.94317890E-02
6,-2.91834000E-05,1558941707.105,+3.89976470E-02
7,-2.90967000E-05,1558941707.3133333,+3.90057930E-02
8,-2.88431000E-05,1558941707.5216668,+4.28543500E-02
9,-2.87764000E-05,1558941707.73,+5.84852680E-02
10,-2.92502000E-05,1558941707.9383333,+5.84947730E-02
11,-2.95705000E-05,1558941708.1466668,+5.56232580E-02
12,-2.89699000E-05,1558941708.355,+7.83342020E-02
13,-2.87631000E-05,1558941708.5633333,+7.83323270E-02
14,-2.92502000E-05,1558941708.7716668,+7.83326570E-02
15,-2.89500000E-05,1558941708.98,+7.83329740E-02
16,-2.91300000E-05,1558941709.1883333,+7.83333700E-02
17,-2.90166000E-05,1558941709.3966668,+7.83336870E-02
18,-2.85160000E-05,1558941709.605,+7.83343730E-02
19,-2.87230000E-05,1558941709.8133333,+7.83348750E-02
20,-2.96306000E-05,1558941710.0216668,+7.83350990E-02
21,-2.78755000E-05,1558941710.23,+7.83356540E-02
22,-2.92768000E-05,1558941710.4383333,+7.83359310E-02
23,-2.82492000E-05,1558941710.6466668,+7.83367100E-02
24,-2.89299000E-05,1558941710.855,+7.83371320E-02
25,-2.91301000E-05,1558941714.487,+8.44879570E-02
26,-2.84493000E-05,1558941714.6953332,+9.81096840E-02
27,-2.83293000E-05,1558941714.9036667,+9.81120990E-02
28,-2.86163000E-05,1558941715.112,+1.05764400E-01
29,-2.81623000E-05,1558941715.3203332,+1.17288440E-01
30,-2.86162000E-05,1558941715.5286667,+1.17290660E-01
31,-2.84493000E-05,1558941715.737,+1.36819390E-01
32,-2.87697000E-05,1558941715.9453332,+1.36798260E-01
33,-2.87097000E-05,1558941716.1536667,+1.36801430E-01
34,-2.85629000E-05,1558941716.362,+1.56855930E-01
35,-2.83626000E-05,1558941716.5703332,+1.56862000E-01
36,-2.83227000E-05,1558941716.7786667,+1.56865700E-01
37,-2.85094000E-05,1558941716.987,+1.76006680E-01
38,-2.81958000E-05,1558941717.1953332,+1.76014870E-01
39,-2.86763000E-05,1558941717.4036667,+1.76017250E-01
40,-2.80689000E-05,1558941717.612,+1.76020550E-01
41,-2.82357000E-05,1558941717.8203332,+1.76020950E-01
42,-2.89299000E-05,1558941718.0286667,+1.76023190E-01
43,-2.79421000E-05,1558941718.237,+1.76022270E-01
44,-2.80090000E-05,1558941718.4453332,+1.76025440E-01
45,-2.81491000E-05,1558941718.6536667,+1.76028870E-01
46,-2.85628000E-05,1558941718.862,+1.76029930E-01
47,-2.93571000E-05,1558941719.0703332,+1.76030190E-01
48,-2.82760000E-05,1558941719.2786667,+1.76032040E-01
49,-2.80958000E-05,1558941719.487,+1.76032570E-01
50,-2.71947000E-05,1558941723.188,+1.76034420E-01
51,-2.75150000E-05,1558941723.3963332,+1.95194830E-01
52,-2.85961000E-05,1558941723.6046667,+1.95199590E-01
53,-2.82759000E-05,1558941723.813,+1.95202760E-01
54,-2.77152000E-05,1558941724.0213332,+2.15233510E-01
55,-2.96706000E-05,1558941724.2296667,+2.15240650E-01
