,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-2.91568000E-05,1558940797.189,+1.12319000E-04
1,-2.97507000E-05,1558940797.3973331,+1.12742000E-04
2,-2.95371000E-05,1558940797.6056666,+1.95775870E-02
3,-2.97840000E-05,1558940797.814,+1.95831190E-02
4,-3.00377000E-05,1558940798.0223331,+1.95844390E-02
5,-2.98240000E-05,1558940798.2306666,+3.90839730E-02
6,-2.93235000E-05,1558940798.439,+3.90859530E-02
7,-2.97378000E-05,1558940798.6473331,+3.90874050E-02
8,-2.97510000E-05,1558940798.8556666,+5.85880820E-02
9,-2.97376000E-05,1558940799.064,+5.85948150E-02
10,-2.97310000E-05,1558940799.2723331,+5.85972570E-02
11,-2.98512000E-05,1558940799.4806666,+7.82642460E-02
12,-2.83692000E-05,1558940799.689,+7.82650380E-02
13,-2.96973000E-05,1558940799.8973331,+7.82690250E-02
14,-2.93636000E-05,1558940800.1056666,+9.80269890E-02
15,-2.94170000E-05,1558940800.314,+9.80341570E-02
16,-2.94638000E-05,1558940800.5223331,+9.80379990E-02
17,-2.91968000E-05,1558940800.7306666,+9.80407840E-02
18,-2.90833000E-05,1558940800.939,+9.80426190E-02
19,-2.91568000E-05,1558940801.1473331,+9.80450480E-02
20,-2.92903000E-05,1558940801.3556666,+9.80464610E-02
21,-2.91500000E-05,1558940801.564,+9.80480580E-02
22,-2.91500000E-05,1558940801.7723331,+9.80481640E-02
23,-2.86162000E-05,1558940801.9806666,+9.80485200E-02
24,-2.91501000E-05,1558940802.189,+9.80500390E-02
25,-2.91904000E-05,1558940806.046,+1.00882070E-01
26,-2.90036000E-05,1558940806.2543333,+1.17214170E-01
27,-2.92639000E-05,1558940806.4626667,+1.17216990E-01
28,-2.91437000E-05,1558940806.671,+1.04331670E-01
29,-2.93506000E-05,1558940806.8793333,+1.36877240E-01
30,-2.94239000E-05,1558940807.0876667,+1.36874070E-01
31,-2.87367000E-05,1558940807.296,+1.47060860E-01
32,-2.85298000E-05,1558940807.5043333,+1.56940850E-01
33,-2.89368000E-05,1558940807.7126667,+1.56942960E-01
34,-2.90036000E-05,1558940807.921,+1.68388810E-01
35,-2.91771000E-05,1558940808.1293333,+1.76098470E-01
36,-2.89101000E-05,1558940808.3376667,+1.76101380E-01
37,-2.90502000E-05,1558940808.546,+1.88059530E-01
38,-2.90036000E-05,1558940808.7543333,+1.95272620E-01
39,-2.88835000E-05,1558940808.9626667,+1.95274470E-01
40,-2.79158000E-05,1558940809.171,+1.95279100E-01
41,-2.84296000E-05,1558940809.3793333,+1.95277770E-01
42,-2.84564000E-05,1558940809.5876667,+1.95281340E-01
43,-2.85765000E-05,1558940809.796,+1.95282930E-01
44,-2.85965000E-05,1558940810.0043333,+1.95282660E-01
45,-2.86031000E-05,1558940810.2126667,+1.95284250E-01
46,-2.86499000E-05,1558940810.421,+1.95282400E-01
47,-2.79691000E-05,1558940810.6293333,+1.95283190E-01
48,-2.88101000E-05,1558940810.8376667,+1.95284770E-01
49,-2.83495000E-05,1558940811.046,+1.95286360E-01
50,-2.85031000E-05,1558940814.607,+2.02852750E-01
51,-2.79424000E-05,1558940814.8153334,+2.15328740E-01
52,-2.95708000E-05,1558940815.0236669,+2.15332960E-01
53,-2.78357000E-05,1558940815.232,+2.24276210E-01
54,-2.79691000E-05,1558940815.4403334,+2.34493260E-01
55,-2.75221000E-05,1558940815.6486669,+2.34497620E-01
56,-2.81094000E-05,1558940815.857,+2.54549370E-01
57,-2.81494000E-05,1558940816.0653334,+2.54489150E-01
58,-2.78557000E-05,1558940816.2736669,+2.54484530E-01
59,-2.78958000E-05,1558940816.482,+2.74396160E-01
60,-2.74754000E-05,1558940816.6903334,+2.74404480E-01
61,-2.82562000E-05,1558940816.8986669,+2.74402240E-01
62,-2.91905000E-05,1558940817.107,+2.93727230E-01
63,-2.80359000E-05,1558940817.3153334,+2.93735550E-01
64,-2.79959000E-05,1558940817.5236669,+2.93742150E-01
65,-2.82160000E-05,1558940817.732,+2.93740830E-01
66,-2.71684000E-05,1558940817.9403334,+2.93741620E-01
67,-2.75888000E-05,1558940818.1486669,+2.93746640E-01
68,-2.86966000E-05,1558940818.357,+2.93748230E-01
69,-2.74820000E-05,1558940818.5653334,+2.93749940E-01
70,-2.59336000E-05,1558940818.7736669,+2.93752450E-01
71,-2.73552000E-05,1558940818.982,+2.93752980E-01
72,-2.75288000E-05,1558940819.1903334,+2.93751660E-01
73,-2.81160000E-05,1558940819.3986669,+2.93757740E-01
74,-2.79091000E-05,1558940819.607,+2.93754830E-01
75,-2.69749000E-05,1558940823.311,+2.93756680E-01
76,-2.72150000E-05,1558940823.5193334,+3.12831480E-01
77,-2.66145000E-05,1558940823.7276669,+3.12835050E-01
78,-2.73618000E-05,1558940823.936,+3.12837960E-01
79,-2.72752000E-05,1558940824.1443334,+3.32753420E-01
80,-2.67279000E-05,1558940824.3526669,+3.32758710E-01
81,-2.68481000E-05,1558940824.561,+3.32762670E-01
82,-2.62541000E-05,1558940824.7693334,+3.52092520E-01
83,-2.68013000E-05,1558940824.9776669,+3.52095690E-01
84,-2.64075000E-05,1558940825.186,+3.52102030E-01
85,-2.67812000E-05,1558940825.3943334,+3.71148100E-01
86,-2.66411000E-05,1558940825.6026669,+3.71159450E-01
87,-2.68547000E-05,1558940825.811,+3.71157340E-01
88,-2.67880000E-05,1558940826.0193334,+3.90512440E-01
89,-2.67746000E-05,1558940826.2276669,+3.90516140E-01
90,-2.67279000E-05,1558940826.436,+3.90517460E-01
91,-2.65276000E-05,1558940826.6443334,+3.90517720E-01
92,-2.64276000E-05,1558940826.8526669,+3.90516670E-01
93,-2.68481000E-05,1558940827.061,+3.90512700E-01
94,-2.65611000E-05,1558940827.2693334,+3.90512700E-01
95,-2.71282000E-05,1558940827.4776669,+3.90518650E-01
96,-2.64873000E-05,1558940827.686,+3.90517190E-01
97,-2.60868000E-05,1558940827.8943334,+3.90518250E-01
98,-2.59068000E-05,1558940828.1026669,+3.90518780E-01
99,-2.63406000E-05,1558940828.311,+3.90519970E-01
100,-2.57732000E-05,1558940831.766,+4.03460060E-01
101,-2.62672000E-05,1558940831.9743333,+4.10437680E-01
102,-2.60536000E-05,1558940832.1826668,+4.10437950E-01
103,-2.67075000E-05,1558940832.391,+4.24736150E-01
104,-2.56264000E-05,1558940832.5993333,+4.29767670E-01
105,-2.54797000E-05,1558940832.8076668,+4.29770710E-01
106,-2.53928000E-05,1558940833.016,+4.44359340E-01
107,-2.57265000E-05,1558940833.2243333,+4.48817280E-01
108,-2.61203000E-05,1558940833.4326668,+4.48819920E-01
109,-2.58066000E-05,1558940833.641,+4.64830730E-01
110,-2.54663000E-05,1558940833.8493333,+4.69040100E-01
111,-2.47388000E-05,1558940834.0576668,+4.69041690E-01
112,-2.57799000E-05,1558940834.266,+4.85805150E-01
113,-2.56531000E-05,1558940834.4743333,+4.88080600E-01
114,-2.57867000E-05,1558940834.6826668,+4.88081390E-01
115,-2.55264000E-05,1558940834.891,+4.88082980E-01
116,-2.57400000E-05,1558940835.0993333,+4.88085490E-01
117,-2.52795000E-05,1558940835.3076668,+4.88087070E-01
118,-2.55931000E-05,1558940835.516,+4.88087730E-01
119,-2.59801000E-05,1558940835.7243333,+4.88091300E-01
120,-2.70813000E-05,1558940835.9326668,+4.88089450E-01
121,-2.61404000E-05,1558940836.141,+4.88091960E-01
122,-2.63272000E-05,1558940836.3493333,+4.88089980E-01
123,-2.52861000E-05,1558940836.5576668,+4.88090640E-01
124,-2.55398000E-05,1558940836.766,+4.88087200E-01
125,-2.61403000E-05,1558940840.366,+4.21660080E-01
126,-2.58534000E-05,1558940840.5743332,+4.93981570E-01
127,-2.56332000E-05,1558940840.7826667,+4.93862050E-01
128,-2.53995000E-05,1558940840.991,+5.07725730E-01
129,-2.58134000E-05,1558940841.1993332,+5.13505960E-01
130,-2.55597000E-05,1558940841.4076667,+5.13752670E-01
131,-2.67142000E-05,1558940841.616,+5.27930050E-01
132,-2.60802000E-05,1558940841.8243332,+5.33222140E-01
133,-2.70879000E-05,1558940842.0326667,+5.33500940E-01
134,-2.54063000E-05,1558940842.241,+5.49368590E-01
135,-2.58466000E-05,1558940842.4493332,+5.52683450E-01
136,-2.58600000E-05,1558940842.6576667,+5.52778540E-01
137,-2.54196000E-05,1558940842.866,+5.69502790E-01
138,-2.50793000E-05,1558940843.0743332,+5.72358830E-01
139,-2.54262000E-05,1558940843.2826667,+5.72446920E-01
140,-2.61470000E-05,1558940843.491,+5.72473070E-01
141,-2.57133000E-05,1558940843.6993332,+5.72508990E-01
142,-2.49924000E-05,1558940843.9076667,+5.72543990E-01
143,-2.56864000E-05,1558940844.116,+5.72564070E-01
144,-2.63873000E-05,1558940844.3243332,+5.72605140E-01
145,-2.54128000E-05,1558940844.5326667,+5.72637370E-01
146,-2.55864000E-05,1558940844.741,+5.72669070E-01
147,-2.57131000E-05,1558940844.9493332,+5.72689670E-01
148,-2.62204000E-05,1558940845.1576667,+5.72700760E-01
149,-2.59935000E-05,1558940845.366,+5.72724140E-01
150,-2.53929000E-05,1558940848.966,+5.85336050E-01
151,-2.55331000E-05,1558940849.1743333,+5.91653050E-01
152,-2.56798000E-05,1558940849.3826668,+5.91702850E-01
153,-2.58533000E-05,1558940849.591,+6.04748480E-01
154,-2.50391000E-05,1558940849.7993333,+6.10635990E-01
155,-2.55530000E-05,1558940850.0076668,+6.10696480E-01
156,-2.46053000E-05,1558940850.216,+6.25927340E-01
157,-2.68077000E-05,1558940850.4243333,+6.30262090E-01
