,SQUID_Volt(V),timestamp,MOD_CURR(A)
0,-3.06116000E-05,1558941036.324,+1.13877000E-04
1,-3.05782000E-05,1558941036.5323331,+1.14260000E-04
2,-3.07651000E-05,1558941036.7406666,+2.28728700E-03
3,-3.07184000E-05,1558941036.949,+1.95706040E-02
4,-3.08986000E-05,1558941037.1573331,+1.95732040E-02
5,-3.09520000E-05,1558941037.3656666,+1.96638470E-02
6,-3.08852000E-05,1558941037.574,+3.90444070E-02
7,-3.12123000E-05,1558941037.7823331,+3.90471670E-02
8,-2.96973000E-05,1558941037.9906666,+4.34436730E-02
9,-3.05782000E-05,1558941038.199,+5.85367280E-02
10,-3.00177000E-05,1558941038.4073331,+5.85414940E-02
11,-3.05582000E-05,1558941038.6156666,+5.57112990E-02
12,-3.09185000E-05,1558941038.824,+7.83061610E-02
13,-3.08852000E-05,1558941039.0323331,+7.83049340E-02
14,-3.01912000E-05,1558941039.2406666,+7.83072840E-02
15,-3.03179000E-05,1558941039.449,+7.83078120E-02
16,-3.05382000E-05,1558941039.6573331,+7.83088150E-02
17,-3.02379000E-05,1558941039.8656666,+7.83103990E-02
18,-3.07250000E-05,1558941040.074,+7.83104780E-02
19,-3.07384000E-05,1558941040.2823331,+7.83112840E-02
20,-3.06250000E-05,1558941040.4906666,+7.83115080E-02
21,-3.27338000E-05,1558941040.699,+7.83128150E-02
22,-3.12990000E-05,1558941040.9073331,+7.83134090E-02
23,-2.84894000E-05,1558941041.1156666,+7.83136070E-02
24,-2.76353000E-05,1558941041.324,+7.83123660E-02
25,-3.00778000E-05,1558941044.958,+8.50192480E-02
26,-3.06450000E-05,1558941045.1663332,+9.80824620E-02
27,-3.08517000E-05,1558941045.3746667,+9.80835310E-02
28,-3.06116000E-05,1558941045.583,+1.05083740E-01
29,-3.05915000E-05,1558941045.7913332,+1.17254580E-01
30,-3.01512000E-05,1558941045.9996667,+1.17259660E-01
31,-3.06918000E-05,1558941046.208,+1.36822820E-01
32,-3.07584000E-05,1558941046.4163332,+1.36811990E-01
33,-3.04448000E-05,1558941046.6246667,+1.36817280E-01
34,-2.82291000E-05,1558941046.833,+1.56877060E-01
35,-2.99842000E-05,1558941047.0413332,+1.56885510E-01
36,-2.99042000E-05,1558941047.2496667,+1.56889470E-01
37,-3.02913000E-05,1558941047.458,+1.76033760E-01
38,-3.03046000E-05,1558941047.6663332,+1.76041150E-01
39,-3.04113000E-05,1558941047.8746667,+1.76044060E-01
40,-3.00844000E-05,1558941048.083,+1.76046960E-01
41,-3.04114000E-05,1558941048.2913332,+1.76050000E-01
42,-3.08051000E-05,1558941048.4996667,+1.76050790E-01
43,-3.04248000E-05,1558941048.708,+1.76053830E-01
44,-3.00177000E-05,1558941048.9163332,+1.76053830E-01
45,-3.07585000E-05,1558941049.1246667,+1.76056870E-01
46,-2.90833000E-05,1558941049.333,+1.76059640E-01
47,-3.00509000E-05,1558941049.5413332,+1.76060830E-01
48,-2.95172000E-05,1558941049.7496667,+1.76063600E-01
49,-3.01912000E-05,1558941049.958,+1.76063600E-01
50,-3.02044000E-05,1558941053.675,+1.91707230E-01
51,-2.90900000E-05,1558941053.8833332,+1.95231290E-01
52,-3.01312000E-05,1558941054.0916667,+1.95234460E-01
53,-2.98641000E-05,1558941054.3,+2.12127200E-01
54,-3.01645000E-05,1558941054.5083332,+2.15274190E-01
55,-2.98175000E-05,1558941054.7166667,+2.15275780E-01
56,-3.02580000E-05,1558941054.925,+2.33126720E-01
57,-2.98308000E-05,1558941055.1333332,+2.34433960E-01
58,-2.86629000E-05,1558941055.3416667,+2.34437000E-01
59,-2.98775000E-05,1558941055.55,+2.54531680E-01
60,-2.93837000E-05,1558941055.7583332,+2.54460360E-01
61,-2.98108000E-05,1558941055.9666667,+2.54459960E-01
62,-3.00577000E-05,1558941056.175,+2.74368560E-01
63,-2.96772000E-05,1558941056.3833332,+2.74376220E-01
64,-3.00376000E-05,1558941056.5916667,+2.74382560E-01
65,-2.93970000E-05,1558941056.8,+2.74383880E-01
66,-2.93635000E-05,1558941057.0083332,+2.74387840E-01
67,-2.97041000E-05,1558941057.2166667,+2.74389690E-01
68,-2.98374000E-05,1558941057.425,+2.74389690E-01
69,-2.97240000E-05,1558941057.6333332,+2.74391010E-01
70,-2.90500000E-05,1558941057.8416667,+2.74391810E-01
71,-2.98642000E-05,1558941058.05,+2.74393520E-01
72,-2.98374000E-05,1558941058.2583332,+2.74394180E-01
73,-2.91035000E-05,1558941058.4666667,+2.74397880E-01
74,-2.91767000E-05,1558941058.675,+2.74401050E-01
75,-2.85427000E-05,1558941062.363,+2.79976970E-01
76,-2.94571000E-05,1558941062.5713332,+2.93726700E-01
77,-2.97240000E-05,1558941062.7796667,+2.93730000E-01
78,-2.95171000E-05,1558941062.988,+2.99762350E-01
79,-2.93103000E-05,1558941063.1963332,+3.12806390E-01
80,-2.86429000E-05,1558941063.4046667,+3.12807710E-01
81,-2.92769000E-05,1558941063.613,+3.20880840E-01
82,-2.92503000E-05,1558941063.8213332,+3.32726080E-01
83,-2.93570000E-05,1558941064.0296667,+3.32731100E-01
84,-2.95172000E-05,1558941064.238,+3.41079740E-01
85,-2.96106000E-05,1558941064.4463332,+3.52067830E-01
86,-2.96172000E-05,1558941064.6546667,+3.52070470E-01
87,-2.95305000E-05,1558941064.863,+3.60817980E-01
88,-2.93904000E-05,1558941065.0713332,+3.71121150E-01
89,-2.95505000E-05,1558941065.2796667,+3.71123530E-01
90,-2.99643000E-05,1558941065.488,+3.71128280E-01
91,-2.95104000E-05,1558941065.6963332,+3.71129470E-01
92,-2.90233000E-05,1558941065.9046667,+3.71131190E-01
93,-3.05583000E-05,1558941066.113,+3.71132770E-01
94,-2.92301000E-05,1558941066.3213332,+3.71132770E-01
95,-2.83626000E-05,1558941066.5296667,+3.71133040E-01
96,-2.82492000E-05,1558941066.738,+3.71137790E-01
97,-2.81090000E-05,1558941066.9463332,+3.71136740E-01
98,-2.85428000E-05,1558941067.1546667,+3.71138850E-01
99,-2.82225000E-05,1558941067.363,+3.71134890E-01
100,-2.82290000E-05,1558941070.901,+3.83698450E-01
101,-2.80490000E-05,1558941071.1093333,+3.90486160E-01
102,-2.72214000E-05,1558941071.3176668,+3.90486950E-01
103,-2.89298000E-05,1558941071.526,+4.03950310E-01
104,-2.79155000E-05,1558941071.7343333,+4.10402150E-01
105,-2.73483000E-05,1558941071.9426668,+4.10404530E-01
106,-2.72748000E-05,1558941072.151,+4.25221250E-01
107,-2.78220000E-05,1558941072.3593333,+4.29731220E-01
108,-2.79756000E-05,1558941072.5676668,+4.29737160E-01
109,-2.72815000E-05,1558941072.776,+4.44858440E-01
110,-2.72815000E-05,1558941072.9843333,+4.48781620E-01
111,-2.74750000E-05,1558941073.1926668,+4.48787160E-01
112,-2.78488000E-05,1558941073.401,+4.66647110E-01
113,-2.70478000E-05,1558941073.6093333,+4.68997970E-01
114,-2.71346000E-05,1558941073.8176668,+4.69000750E-01
115,-2.69679000E-05,1558941074.026,+4.68999820E-01
116,-2.65740000E-05,1558941074.2343333,+4.69003650E-01
117,-2.66274000E-05,1558941074.4426668,+4.69003130E-01
118,-2.69878000E-05,1558941074.651,+4.69008410E-01
119,-2.72481000E-05,1558941074.8593333,+4.69006290E-01
120,-2.61871000E-05,1558941075.0676668,+4.69007620E-01
121,-2.60735000E-05,1558941075.276,+4.69009460E-01
122,-2.58733000E-05,1558941075.4843333,+4.69006030E-01
123,-2.61269000E-05,1558941075.6926668,+4.69004970E-01
124,-2.66675000E-05,1558941075.901,+4.69003790E-01
125,-2.64809000E-05,1558941079.501,+4.80976060E-01
126,-2.42384000E-05,1558941079.7093332,+4.88035560E-01
127,-2.56199000E-05,1558941079.9176667,+4.88038070E-01
128,-2.52194000E-05,1558941080.126,+5.08280960E-01
129,-2.74617000E-05,1558941080.3343332,+5.08153900E-01
130,-2.82893000E-05,1558941080.5426667,+5.08146640E-01
131,-2.85363000E-05,1558941080.751,+5.28023950E-01
132,-2.66342000E-05,1558941080.9593332,+5.28032140E-01
133,-2.53528000E-05,1558941081.1676667,+5.28041650E-01
134,-2.72949000E-05,1558941081.376,+5.47347770E-01
135,-2.77754000E-05,1558941081.5843332,+5.47357670E-01
136,-2.88432000E-05,1558941081.7926667,+5.47366520E-01
137,-2.62605000E-05,1558941082.001,+5.66670650E-01
138,-2.72817000E-05,1558941082.2093332,+5.66676860E-01
139,-2.80424000E-05,1558941082.4176667,+5.66683730E-01
140,-2.42050000E-05,1558941082.626,+5.66693500E-01
141,-2.67411000E-05,1558941082.8343332,+5.66696140E-01
142,-2.66209000E-05,1558941083.0426667,+5.66703540E-01
